hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K
confirm_K3_i000022,GRU,0.0309899798366508,0.0261890474828433,128,0.0020786837715007,128.0,128.0,0.0143898213195165,37.59735166803992,3
confirm_K3_i000022,Transformer,0.0354938743689493,0.0289004675252921,256,0.0024621506637463,256.0,256.0,0.0162601319985946,-2.733045893403593,3
confirm_K3_i000056,GRU,0.0215629343191594,0.0164837375393272,128,0.0069167677479588,128.0,128.0,0.0168695523604322,2.8699218120817998,3
confirm_K3_i000056,Transformer,0.0279658848556628,0.0153088359464747,8,0.0,,,0.0246088422104287,-0.3569835364943743,3
confirm_K3_i000150,GRU,0.0392647786538661,0.0240776057290203,32,0.0168855222018723,32.0,32.0,0.0549553632862574,0.7859639831099363,3
confirm_K3_i000150,Transformer,0.0396331119359131,0.0272552462055208,128,0.0132662328545076,128.0,128.0,0.0639209533236629,0.72386169761423,3
confirm_K3_i000321,GRU,0.0426928040392232,0.0342178410769792,128,0.00967625854936,128.0,128.0,0.0232655661449544,10.235883544653506,3
confirm_K3_i000321,Transformer,0.0328466049824928,0.0235607583783566,8,0.0,,,0.0209106266767495,-25.15936277476621,3
confirm_K3_i000341,GRU,0.0242548031774904,0.0156336502823765,8,0.0,,,0.0193868210416963,1.2005918685155907,3
confirm_K3_i000341,Transformer,0.0260777634387132,0.0195984062082372,32,0.005799200811832,32.0,32.0,0.0270267305773427,1.2269387167607475,3
confirm_K3_i000517,GRU,0.0431880636732337,0.0347952109614622,128,0.0130565561597812,128.0,128.0,0.0514985943760423,0.4148098401694999,3
confirm_K3_i000517,Transformer,0.0370914376280369,0.0319277729274258,8,0.0,,,0.0457151527132539,-0.006991649931267,3
confirm_K3_i000617,GRU,0.0193322214814518,0.0155341177961929,32,0.0017494209811245,32.0,32.0,0.0182737752078772,-24.316971175759942,3
confirm_K3_i000617,Transformer,0.0214555083246453,0.015937256088116,8,0.0,,,0.0165924846409559,11.02930631938068,3
confirm_K3_i000682,GRU,0.0450421912971092,0.0276833623617754,8,0.0,,,0.0429984499359837,0.6670011477216903,3
confirm_K3_i000682,Transformer,0.052737820073588,0.0343772748691126,32,0.007314311810869,32.0,32.0,0.0873490412379018,0.45475205357991,3
confirm_K3_i000718,GRU,0.0363458708243292,0.0301091562177282,32,0.0015672502734682,32.0,32.0,0.0221657823807322,1.4214930205025442,3
