architecture,outcome,K_a,K_b,hmm_a,hmm_b,profile_rms_distance,outcome_absolute_difference
GRU,A_width_shape,3,4,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,0.0069610270328386
GRU,A_width_shape,3,4,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,0.0013875693817249
GRU,A_width_shape,3,4,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,0.0028213746657964
GRU,A_width_shape,3,4,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,0.002068962884017
GRU,A_width_shape,3,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,0.0087174083539034
GRU,A_width_shape,3,4,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,0.0013936906100285
GRU,A_width_shape,3,4,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,0.0070709473812743
GRU,A_width_shape,3,4,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,0.0014983612270044
GRU,A_width_shape,3,4,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,0.0155986134574691
GRU,A_width_shape,3,4,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,0.006841801944142
GRU,A_width_shape,3,4,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,0.0027066029737728
GRU,A_width_shape,3,4,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,0.0116008450962652
GRU,A_width_shape,4,5,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,0.0029125146651059
GRU,A_width_shape,4,5,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,0.0005389138345279
GRU,A_width_shape,4,5,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,0.0076185685467379
GRU,A_width_shape,4,5,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,0.0129662738955193
GRU,A_width_shape,4,5,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,0.009394316684365
GRU,A_width_shape,4,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,0.005342701786393
GRU,A_width_shape,4,5,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,0.0017493326949256
GRU,A_width_shape,4,5,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,0.0090791967205324
