K_a,K_b,pair_index,hmm_a,hmm_b,profile_rms_distance,matching_features,caliper,target_pairs
3,4,0,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,1,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,2,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,3,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,5,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,6,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,7,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,8,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,9,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,10,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
3,4,11,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,0,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,1,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,2,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,3,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,4,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,6,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,7,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,8,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,9,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,10,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
4,5,11,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,0,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,1,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,2,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,3,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,4,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,5,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
5,6,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal,1.5,12
