architecture,outcome,K_a,K_b,n_pairs,matched_mean_difference,random_mean_difference,matched_to_random_ratio,random_ci_low,random_ci_high,permutation_p_lower_is_better
GRU,A_width_shape,3,4,12,0.0057222670840197,0.0122463702877212,0.4672622948333665,0.0076008488051372,0.0168488728304394,0.0017998200179982
GRU,A_width_shape,4,5,12,0.0060449480365272,0.0118733388883151,0.5091194729122275,0.0074320133450058,0.0163240040202731,0.0030996900309969
GRU,A_width_shape,5,6,12,0.0056321872209926,0.0130700901360306,0.430921834690818,0.0085152165404325,0.0177128181984308,0.0003999600039996
GRU,mean_excess_ce_H,3,4,12,0.0089871185637623,0.016666588190438,0.5392296528283151,0.0104479662545218,0.0225239545459897,0.0070992900709929
GRU,mean_excess_ce_H,4,5,12,0.0140294397907864,0.017303100921381,0.8108049449940268,0.0110995745957329,0.0232630064927604,0.153984601539846
GRU,mean_excess_ce_H,5,6,12,0.0062181885431162,0.0189179357312492,0.3286927618030131,0.0114813865665694,0.0262123401895105,0.0002999700029997
GRU,best_shape_rmse,3,4,12,0.0062731184046246,0.010334312329247,0.6070184647769086,0.0067026337059336,0.0137878853744515,0.0120987901209879
GRU,best_shape_rmse,4,5,12,0.005422156572469,0.0109230432456873,0.4963961462488753,0.0070584056124883,0.0147133114791198,0.001999800019998
GRU,best_shape_rmse,5,6,12,0.0043774404401911,0.0116708170835924,0.3750757473823488,0.0075404409388388,0.015748327165972,9.999000099990002e-05
Transformer,A_width_shape,3,4,12,0.0055178005641262,0.0124615812148585,0.4427849459061485,0.0078399088809112,0.017053016524555,0.0017998200179982
Transformer,A_width_shape,4,5,12,0.0036120025814928,0.0124855928468798,0.2892936383389706,0.0078524011811362,0.0169395772303488,9.999000099990002e-05
Transformer,A_width_shape,5,6,12,0.0062205745803904,0.0134814175008704,0.4614184361539718,0.0085212214441058,0.0182506939881112,0.000999900009999
Transformer,mean_excess_ce_H,3,4,12,0.0119578500611089,0.0227503742534163,0.5256111362349687,0.0157455908575085,0.0296106875176841,0.0006999300069993
Transformer,mean_excess_ce_H,4,5,12,0.0123396841302192,0.0225512210461799,0.5471847446730399,0.0152315892612856,0.0296427560244978,0.0026997300269973
Transformer,mean_excess_ce_H,5,6,12,0.0107945373128681,0.0247268883353827,0.4365505746803478,0.0148242683542482,0.0340969271507687,0.0031996800319968
Transformer,best_shape_rmse,3,4,12,0.0057234639540821,0.0111906579838449,0.5114501723084196,0.0069904478736678,0.0153762498392542,0.003999600039996
Transformer,best_shape_rmse,4,5,12,0.0047976997915013,0.0109763906659071,0.4370926598306256,0.0068837257942044,0.014883947942292,0.0006999300069993
Transformer,best_shape_rmse,5,6,12,0.0051951127742022,0.0125696153942534,0.4133072183399754,0.0081540830554196,0.0169037883483458,9.999000099990002e-05
