architecture,outcome,model,feature,development_mean,development_scale,standardized_coefficient,ridge_alpha,intercept
GRU,A_width_shape,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0029371373323315,1.0,0.0324484753419705
GRU,A_width_shape,core_profile,log_gain,-6.86637490599064,2.8741512229655264,-0.0013789097145585,1.0,0.0324484753419705
GRU,A_width_shape,core_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0018794267254383,1.0,0.0324484753419705
GRU,A_width_shape,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0101912833138854,1.0,0.0324484753419705
GRU,A_width_shape,core_profile,log_tau,1.1279984223562816,0.9764976255240192,-0.000732809164622,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,log_gain,-6.86637490599064,2.8741512229655264,0.0038651433212726,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,log_rank,0.6588878379418167,0.5125056740469669,-0.0001540797793296,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0024734517059697,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,log_tau,1.1279984223562816,0.9764976255240192,-0.0031113832771833,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,bayes_ce_h4,1.6657673858144342,0.3865709258634872,-0.0067367167231768,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,symbol_entropy,1.773062756313748,0.3166378224980971,-0.0031383670594943,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,log_min_symbol_prob,-4.917808690203458,2.568527850099785,0.0027975641892045,1.0,0.0324484753419705
GRU,A_width_shape,augmented_profile,log_signal,-3.1257126644878084,2.4583078346494327,0.0023147624081013,1.0,0.0324484753419705
GRU,mean_excess_ce_H,K_only,log_K,1.4715260078625387,0.2587944352041693,0.0100064822080948,1.0,0.0246538282827233
GRU,mean_excess_ce_H,core_profile,log_gain,-6.86637490599064,2.8741512229655264,0.0022877849147159,1.0,0.0246538282827233
GRU,mean_excess_ce_H,core_profile,log_rank,0.6588878379418167,0.5125056740469669,0.0022231359489633,1.0,0.0246538282827233
GRU,mean_excess_ce_H,core_profile,neg_log_sigma,2.309286863221469,1.32101987778327,-0.0031738088693164,1.0,0.0246538282827233
GRU,mean_excess_ce_H,core_profile,log_tau,1.1279984223562816,0.9764976255240192,0.0094124425853302,1.0,0.0246538282827233
