K,feature,set,n,min,q10,median,q90,max
3,log_gain,bank,1000,-11.483604528380434,-9.776592441796591,-5.787423750432715,-2.8346899921695647,-1.3959274246490774
3,log_gain,selected,16,-10.08901953341294,-9.303392845318877,-5.58632966829486,-2.194117931325695,-1.7066552005064388
3,log_rank,bank,1000,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
3,log_rank,selected,16,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453
3,neg_log_sigma,bank,1000,0.0241916912787219,0.717069170388639,2.0059567522543658,3.5857712959401424,5.130136054618856
3,neg_log_sigma,selected,16,0.2466212758662292,0.713472424154862,1.7033853585052454,3.268037682110386,4.155300658676912
3,log_tau,bank,1000,0.0690788750939192,0.3354752996592661,1.0238930097397771,3.3144835526513865,4.611689609665467
3,log_tau,selected,16,0.1060434564624522,0.4790164027124581,0.9368488120005328,3.193179961864171,3.79697159658718
3,bayes_ce_h4,bank,1000,0.1941885309602892,1.1168333080268338,1.8126080660928243,2.0184162786539983,2.065524607887576
3,bayes_ce_h4,selected,16,0.8298066177955417,1.020213842549295,1.670970500879802,1.9829212958086584,2.0216755264223814
3,symbol_entropy,bank,1000,0.2775885348709463,1.298494673963552,1.8497597199544409,2.0256935137669934,2.0678542733439267
3,symbol_entropy,selected,16,0.9084164760285393,1.3059785605027532,1.7231776098545566,1.9907226060682357,2.0226041903044627
3,log_min_symbol_prob,bank,1000,-11.499900534171298,-8.87656120171541,-3.7287669327968462,-2.65056458300202,-2.3128585132456174
3,log_min_symbol_prob,selected,16,-9.483041139740523,-8.868792511662392,-4.537759030522679,-2.874187639978948,-2.7525751294487466
3,log_signal,bank,1000,-8.458615122953823,-5.767614655609616,-3.032130794788303,-0.5489826490580023,0.6575850180948538
3,log_signal,selected,16,-6.242059719334862,-5.413453232953749,-2.3518969374598413,-0.239885946177996,0.2347074061724982
4,log_gain,bank,1000,-11.494869064105457,-9.47583175606612,-5.750577664871853,-2.788988627929194,-1.2708704653055674
4,log_gain,selected,16,-10.619387291110932,-8.75534290124687,-5.031510191374149,-2.790261882431277,-1.8497538042233408
4,log_rank,bank,1000,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098
4,log_rank,selected,16,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098
4,neg_log_sigma,bank,1000,0.0808871471279443,0.9265116300819454,2.30577553304672,3.857901990460341,5.1129356367781815
4,neg_log_sigma,selected,16,0.4603704687687105,0.8019201541535155,1.872182344882596,3.162090610926734,4.303881087338276
4,log_tau,bank,1000,0.0981290291018008,0.3050884685376188,0.8764194191644931,3.100068543342917,4.505755096885651
4,log_tau,selected,16,0.3209995535820405,0.332567981494115,1.1296779646918504,3.3476837723687147,3.774470046074491
4,bayes_ce_h4,bank,1000,0.1470844982619874,1.2390722125182432,1.8299751315678143,2.032730830846347,2.0726184159571948
4,bayes_ce_h4,selected,16,0.4674014342316742,1.0055455390650327,1.655103784300426,1.9691645523923629,2.020175664182502
4,symbol_entropy,bank,1000,0.5238288677320294,1.450305406220931,1.873445492256996,2.039117598136234,2.073484908030764
4,symbol_entropy,selected,16,0.9210325964791628,1.279456032980239,1.7870741669397134,1.9791101864345788,2.0206840420475647
4,log_min_symbol_prob,bank,1000,-11.4988742304077,-8.238564076568819,-3.55819138590103,-2.577414681204653,-2.243648530281126
4,log_min_symbol_prob,selected,16,-9.742177478196927,-8.84129120366744,-3.644676233742095,-2.784204935017047,-2.650406641907632
4,log_signal,bank,1000,-8.400504991503698,-5.798649493437993,-2.8711501443076552,-0.4063089118413889,0.9307777076929468
4,log_signal,selected,16,-6.84254819514328,-5.284394988157567,-2.3262735547071878,-0.0816404489016721,0.6175672270961373
