architecture,outcome,replicate_1,replicate_2,n_hmms,spearman_rho,bootstrap_ci_low,bootstrap_ci_high
GRU,A_width_shape,0,1,16,0.8441176470588234,0.5993871002389841,0.9518072289156626
GRU,A_width_shape,0,2,16,0.7647058823529411,0.4619886651469098,0.8869047619047619
GRU,A_width_shape,1,2,16,0.8735294117647058,0.619887955182073,0.9699248120300752
GRU,mean_excess_ce_H,0,1,16,0.5,-0.0283520953090623,0.8626967839374556
GRU,mean_excess_ce_H,0,2,16,0.4970588235294117,0.0088905423280424,0.7070363429489323
GRU,mean_excess_ce_H,1,2,16,0.4794117647058824,-0.1111194779116465,0.836077753148369
Transformer,A_width_shape,0,1,16,0.8382352941176471,0.5037363655141626,0.9487971057160972
Transformer,A_width_shape,0,2,16,0.75,0.3768458850237747,0.903763011131432
Transformer,A_width_shape,1,2,16,0.7705882352941176,0.4260075993564509,0.9194059879440354
Transformer,mean_excess_ce_H,0,1,16,0.7558823529411764,0.3073263591418577,0.9553588012099342
Transformer,mean_excess_ce_H,0,2,16,0.6147058823529412,0.0872893586267576,0.8705109242941912
Transformer,mean_excess_ce_H,1,2,16,0.7352941176470589,0.2488494941355538,0.92250660882833
