dataset_replicate,architecture,outcome,n_hmms,K_only_rmse,augmented_rmse,augmented_rmse_reduction_percent,mean_squared_error_advantage,exact_two_sided_sign_flip_p
0,GRU,A_width_shape,16,0.0117543980932426,0.0077425732116221,34.13041526921563,7.821843459709756e-05,0.06280517578125
0,GRU,mean_excess_ce_H,16,0.0214868074699085,0.0176612111938245,17.80439593663025,0.000149764514416,0.342529296875
0,Transformer,A_width_shape,16,0.0122566942500883,0.0084794987087392,30.817408546532494,7.832465558863753e-05,0.16278076171875
0,Transformer,mean_excess_ce_H,16,0.0255086396885418,0.0176988645414291,30.616196090694373,0.0003374408927039,0.215484619140625
1,GRU,A_width_shape,16,0.0115222346906892,0.006406639680442,44.39759428247818,9.171686027230764e-05,0.101959228515625
1,GRU,mean_excess_ce_H,16,0.0169750005034992,0.0142469445767405,16.071021183158965,8.517521232108332e-05,0.382843017578125
1,Transformer,A_width_shape,16,0.0131771476815151,0.0085973054623515,34.75594513969212,9.972355980748029e-05,0.25201416015625
1,Transformer,mean_excess_ce_H,16,0.0253750570789511,0.0176297751195962,30.523209998135048,0.0003330845509924,0.09405517578125
2,GRU,A_width_shape,16,0.014712567358188,0.007889009125744,46.37911294690804,0.0001542231732831,0.034454345703125
2,GRU,mean_excess_ce_H,16,0.0189032821339579,0.0112681576212975,40.390470070510325,0.0002303626992576,0.062103271484375
2,Transformer,A_width_shape,16,0.0113504089468193,0.008282565515437,27.02848369390255,6.023089174253058e-05,0.293701171875
2,Transformer,mean_excess_ce_H,16,0.026834209274997,0.0213322779634009,20.503422535064285,0.0002650087043065,0.3148193359375
