dataset_replicate,architecture,outcome,model,n_hmms,rmse,r2
0,GRU,A_width_shape,K_only,16,0.0117543980932426,-0.3708685478190159
0,GRU,A_width_shape,augmented_profile,16,0.0077425732116221,0.4052072538948277
0,GRU,A_width_shape,core_profile,16,0.0077576441559147,0.4028894682153897
0,GRU,mean_excess_ce_H,K_only,16,0.0214868074699085,0.0064384275728023
0,GRU,mean_excess_ce_H,augmented_profile,16,0.0176612111938245,0.3287381444743202
0,GRU,mean_excess_ce_H,core_profile,16,0.0168073581142613,0.3920751326654055
0,Transformer,A_width_shape,K_only,16,0.0122566942500883,-0.1282909441842135
0,Transformer,A_width_shape,augmented_profile,16,0.0084794987087392,0.4599738950812601
0,Transformer,A_width_shape,core_profile,16,0.008768201223166,0.4225752256073114
0,Transformer,mean_excess_ce_H,K_only,16,0.0255086396885418,-0.1441764122377717
0,Transformer,mean_excess_ce_H,augmented_profile,16,0.0176988645414291,0.4491806323491816
0,Transformer,mean_excess_ce_H,core_profile,16,0.0192701701465079,0.3470356207853323
1,GRU,A_width_shape,K_only,16,0.0115222346906892,-0.2246767535199645
1,GRU,A_width_shape,augmented_profile,16,0.006406639680442,0.621375564378345
1,GRU,A_width_shape,core_profile,16,0.0071176954622956,0.5326665738916694
1,GRU,mean_excess_ce_H,K_only,16,0.0169750005034992,-0.1983603546821688
1,GRU,mean_excess_ce_H,augmented_profile,16,0.0142469445767405,0.1558661599823226
1,GRU,mean_excess_ce_H,core_profile,16,0.0145745877273999,0.116593890321904
1,Transformer,A_width_shape,K_only,16,0.0131771476815151,-0.1292211589282845
1,Transformer,A_width_shape,augmented_profile,16,0.0085973054623515,0.5193146395396501
1,Transformer,A_width_shape,core_profile,16,0.009227842477128,0.4462209456834856
1,Transformer,mean_excess_ce_H,K_only,16,0.0253750570789511,-0.0958771677358285
1,Transformer,mean_excess_ce_H,augmented_profile,16,0.0176297751195962,0.471017422786628
1,Transformer,mean_excess_ce_H,core_profile,16,0.0192232964372717,0.3710682069607667
2,GRU,A_width_shape,K_only,16,0.014712567358188,-0.2584161346339413
2,GRU,A_width_shape,augmented_profile,16,0.007889009125744,0.6381802523219318
2,GRU,A_width_shape,core_profile,16,0.0100255588762295,0.4156614573162567
2,GRU,mean_excess_ce_H,K_only,16,0.0189032821339579,-0.50934102016746
2,GRU,mean_excess_ce_H,augmented_profile,16,0.0112681576212975,0.4636864502235305
2,GRU,mean_excess_ce_H,core_profile,16,0.0112001249985848,0.47014299302585
2,Transformer,A_width_shape,K_only,16,0.0113504089468193,-0.0186129882488903
2,Transformer,A_width_shape,augmented_profile,16,0.008282565515437,0.4576046582841857
2,Transformer,A_width_shape,core_profile,16,0.0071421439261606,0.5966859173253807
2,Transformer,mean_excess_ce_H,K_only,16,0.026834209274997,-0.2975285627402777
2,Transformer,mean_excess_ce_H,augmented_profile,16,0.0213322779634009,0.1800001179225298
2,Transformer,mean_excess_ce_H,core_profile,16,0.0226429830103178,0.0761390654606986
