dataset_replicate,hmm_id,architecture,dimension,seed,observed
0,confirm_K3_i000341,GRU,8,1,True
0,confirm_K3_i000321,GRU,8,1,True
0,confirm_K3_i001202,GRU,8,1,True
0,confirm_K3_i000975,GRU,8,1,True
0,confirm_K4_i000448,GRU,8,1,True
0,confirm_K4_i000654,GRU,8,1,True
0,confirm_K4_i000373,GRU,8,1,True
0,confirm_K4_i000909,GRU,8,1,True
0,confirm_K5_i000202,GRU,8,1,True
0,confirm_K5_i001133,GRU,8,1,True
0,confirm_K5_i000312,GRU,8,1,True
0,confirm_K5_i000834,GRU,8,1,True
0,confirm_K6_i000105,GRU,8,1,True
0,confirm_K6_i001189,GRU,8,1,True
0,confirm_K6_i000997,GRU,8,1,True
0,confirm_K6_i000708,GRU,8,1,True
0,confirm_K3_i000341,Transformer,8,1,True
0,confirm_K3_i000321,Transformer,8,1,True
0,confirm_K3_i001202,Transformer,8,1,True
0,confirm_K3_i000975,Transformer,8,1,True
0,confirm_K4_i000448,Transformer,8,1,True
0,confirm_K4_i000654,Transformer,8,1,True
0,confirm_K4_i000373,Transformer,8,1,True
0,confirm_K4_i000909,Transformer,8,1,True
0,confirm_K5_i000202,Transformer,8,1,True
0,confirm_K5_i001133,Transformer,8,1,True
0,confirm_K5_i000312,Transformer,8,1,True
0,confirm_K5_i000834,Transformer,8,1,True
0,confirm_K6_i000105,Transformer,8,1,True
0,confirm_K6_i001189,Transformer,8,1,True
0,confirm_K6_i000997,Transformer,8,1,True
0,confirm_K6_i000708,Transformer,8,1,True
0,confirm_K3_i000341,GRU,32,1,True
0,confirm_K3_i000321,GRU,32,1,True
0,confirm_K3_i001202,GRU,32,1,True
0,confirm_K3_i000975,GRU,32,1,True
0,confirm_K4_i000448,GRU,32,1,True
0,confirm_K4_i000654,GRU,32,1,True
0,confirm_K4_i000373,GRU,32,1,True
0,confirm_K4_i000909,GRU,32,1,True
0,confirm_K5_i000202,GRU,32,1,True
0,confirm_K5_i001133,GRU,32,1,True
0,confirm_K5_i000312,GRU,32,1,True
0,confirm_K5_i000834,GRU,32,1,True
0,confirm_K6_i000105,GRU,32,1,True
0,confirm_K6_i001189,GRU,32,1,True
0,confirm_K6_i000997,GRU,32,1,True
0,confirm_K6_i000708,GRU,32,1,True
0,confirm_K3_i000341,Transformer,32,1,True
0,confirm_K3_i000321,Transformer,32,1,True
0,confirm_K3_i001202,Transformer,32,1,True
0,confirm_K3_i000975,Transformer,32,1,True
0,confirm_K4_i000448,Transformer,32,1,True
0,confirm_K4_i000654,Transformer,32,1,True
0,confirm_K4_i000373,Transformer,32,1,True
0,confirm_K4_i000909,Transformer,32,1,True
0,confirm_K5_i000202,Transformer,32,1,True
0,confirm_K5_i001133,Transformer,32,1,True
0,confirm_K5_i000312,Transformer,32,1,True
0,confirm_K5_i000834,Transformer,32,1,True
0,confirm_K6_i000105,Transformer,32,1,True
0,confirm_K6_i001189,Transformer,32,1,True
0,confirm_K6_i000997,Transformer,32,1,True
0,confirm_K6_i000708,Transformer,32,1,True
0,confirm_K3_i000341,GRU,128,1,True
0,confirm_K3_i000321,GRU,128,1,True
0,confirm_K3_i001202,GRU,128,1,True
0,confirm_K3_i000975,GRU,128,1,True
0,confirm_K4_i000448,GRU,128,1,True
0,confirm_K4_i000654,GRU,128,1,True
0,confirm_K4_i000373,GRU,128,1,True
0,confirm_K4_i000909,GRU,128,1,True
