dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
0,confirm_K3_i000321,GRU,0.0421706352833872,0.0352595188202694,128,0.0245002210409157,3
0,confirm_K3_i000321,Transformer,0.0352188188464726,0.0206580702488645,32,0.0230369853745612,3
0,confirm_K3_i000341,GRU,0.0266219481830322,0.0185699791475358,8,0.0170651833714972,3
0,confirm_K3_i000341,Transformer,0.027289842122997,0.0166557904644018,32,0.0244345439475705,3
0,confirm_K3_i000975,GRU,0.0338690964938006,0.0223070461160049,32,0.0540437069242574,3
0,confirm_K3_i000975,Transformer,0.0428438079167242,0.0365529127693421,8,0.0692254697114604,3
0,confirm_K3_i001202,GRU,0.0197694300308514,0.0169117851869576,256,0.0130053904312444,3
0,confirm_K3_i001202,Transformer,0.0247917537414569,0.0138892034597065,256,0.0217157425142915,3
0,confirm_K4_i000373,GRU,0.0244469309118957,0.0163312573519745,8,0.0090779885249615,4
0,confirm_K4_i000373,Transformer,0.0231292606562905,0.0154506376025639,128,0.0270914733009815,4
0,confirm_K4_i000448,GRU,0.0375238656020392,0.0307755180186159,128,0.0156501202132745,4
0,confirm_K4_i000448,Transformer,0.0361309294142828,0.0290418351683299,128,0.0419459255632205,4
0,confirm_K4_i000654,GRU,0.047525512817903,0.0269778963300133,32,0.0391720169004689,4
0,confirm_K4_i000654,Transformer,0.051056233316806,0.0388235002786412,256,0.0510964446792394,4
0,confirm_K4_i000909,GRU,0.0422293674316307,0.0316830410552128,8,0.0107800170036197,4
0,confirm_K4_i000909,Transformer,0.0424357990577967,0.0329317310737367,32,-0.0013058311738529,4
0,confirm_K5_i000202,GRU,0.0319379982861371,0.0199157428058223,8,0.0087882447347912,5
0,confirm_K5_i000202,Transformer,0.0288466409067381,0.0150829021228843,32,0.0144301341827585,5
0,confirm_K5_i000312,GRU,0.0429118152272448,0.0318276200464982,32,0.0467391053988853,5
0,confirm_K5_i000312,Transformer,0.0597336724915811,0.0383570863249497,128,0.0763470626279036,5
0,confirm_K5_i000834,GRU,0.0458115076632101,0.0368523106189891,8,0.0564768001947841,5
0,confirm_K5_i000834,Transformer,0.03945175531216,0.0297108578338681,128,0.023905119350954,5
0,confirm_K5_i001133,GRU,0.0205282930066508,0.0169201324491303,32,0.0217940100469871,5
0,confirm_K5_i001133,Transformer,0.0218150034134194,0.0170595908100201,128,0.033705058911312,5
0,confirm_K6_i000105,GRU,0.0512607960028443,0.0256825209168669,8,0.0219945786603204,6
0,confirm_K6_i000105,Transformer,0.0483686844778736,0.0272577005897908,8,0.0375770147351336,6
0,confirm_K6_i000708,GRU,0.0475566542644214,0.0408118832836522,256,0.0851592999735615,6
0,confirm_K6_i000708,Transformer,0.0559726158345849,0.0339057804019572,8,0.0826268633059305,6
0,confirm_K6_i000997,GRU,0.0239659780828991,0.0193374969641286,32,0.021873699794903,6
0,confirm_K6_i000997,Transformer,0.0265077982396283,0.016021689389564,8,0.0292924602038608,6
0,confirm_K6_i001189,GRU,0.0363528814794481,0.0276798614348159,8,0.0551021981579266,6
0,confirm_K6_i001189,Transformer,0.0415902172686687,0.0359789556767499,32,0.0743043914032183,6
1,confirm_K3_i000321,GRU,0.0293389642504576,0.024031961013756,128,0.0227835563590837,3
1,confirm_K3_i000321,Transformer,0.0337501854421505,0.0171130786409076,128,0.0234126498570753,3
1,confirm_K3_i000341,GRU,0.0256746485221028,0.0192795685749719,32,0.0227975414943626,3
1,confirm_K3_i000341,Transformer,0.0296536855095147,0.0231823517320692,128,0.0272432768595149,3
1,confirm_K3_i000975,GRU,0.0372195709003625,0.0277758808330113,8,0.0341673531711476,3
1,confirm_K3_i000975,Transformer,0.0392562857966952,0.0221226573293534,256,0.0517188109909869,3
1,confirm_K3_i001202,GRU,0.0261802253578621,0.0122775209084735,8,0.009104021182417,3
1,confirm_K3_i001202,Transformer,0.0193977357689049,0.0153542697443868,32,0.0122427856333644,3
1,confirm_K4_i000373,GRU,0.0191391918223186,0.0128464850308262,256,0.0230738749948421,4
1,confirm_K4_i000373,Transformer,0.0286433671781822,0.0240694022889816,128,0.0241662164129098,4
1,confirm_K4_i000448,GRU,0.0389587771180194,0.0272554525157626,32,0.0106835805720531,4
