pair_index,pair_type,architecture,hmm_a,hmm_b,A_width_a,A_width_b,signed_expected_effect
0,rank_contrast,GRU,bank_K3_i000535,bank_K3_i000588,0.0289219894219993,0.0413679802019307,0.0124459907799313
0,rank_contrast,Transformer,bank_K3_i000535,bank_K3_i000588,0.027545797199005,0.0458289636287356,0.0182831664297306
1,rank_contrast,GRU,bank_K3_i001156,bank_K3_i000981,0.0414297399458891,0.0470112859908099,0.0055815460449207
1,rank_contrast,Transformer,bank_K3_i001156,bank_K3_i000981,0.0473025368893919,0.0559648904594633,0.0086623535700713
2,rank_contrast,GRU,bank_K4_i001162,bank_K4_i000177,0.0208704273329308,0.0450768348857166,0.0242064075527858
2,rank_contrast,Transformer,bank_K4_i001162,bank_K4_i000177,0.0226947983472483,0.0481391483844211,0.0254443500371727
3,rank_contrast,GRU,bank_K4_i000388,bank_K4_i000342,0.0274646657060689,0.0297758060152036,0.0023111403091346
3,rank_contrast,Transformer,bank_K4_i000388,bank_K4_i000342,0.0302299423582093,0.0335495074616069,0.0033195651033976
4,rank_contrast,GRU,bank_K5_i001027,bank_K5_i000474,0.03095486306398,0.0369743312978242,0.0060194682338441
4,rank_contrast,Transformer,bank_K5_i001027,bank_K5_i000474,0.0284523947986249,0.0424672674286835,0.0140148726300585
5,rank_contrast,GRU,bank_K5_i001052,bank_K5_i000809,0.0119778197219572,0.0091335819163622,-0.0028442378055949
5,rank_contrast,Transformer,bank_K5_i001052,bank_K5_i000809,0.0127829586812419,0.0123688790344487,-0.0004140796467931
6,rank_contrast,GRU,bank_K6_i000271,bank_K6_i000573,0.032954383172701,0.0473267665455075,0.0143723833728064
6,rank_contrast,Transformer,bank_K6_i000271,bank_K6_i000573,0.0439427094653671,0.0608289371623739,0.0168862276970068
7,rank_contrast,GRU,bank_K6_i000247,bank_K6_i000250,0.035202192976379,0.036982044182826,0.0017798512064469
7,rank_contrast,Transformer,bank_K6_i000247,bank_K6_i000250,0.0446207330226013,0.0476400860304391,0.0030193530078378
8,sigma_contrast,GRU,bank_K3_i000606,bank_K3_i001280,0.0471170982829007,0.0191689723446661,-0.0279481259382346
8,sigma_contrast,Transformer,bank_K3_i000606,bank_K3_i001280,0.0553382888427257,0.0246535458599451,-0.0306847429827805
9,sigma_contrast,GRU,bank_K4_i001020,bank_K4_i000290,0.0285195582991641,0.0224137844967847,-0.0061057738023794
9,sigma_contrast,Transformer,bank_K4_i001020,bank_K4_i000290,0.0339520153408767,0.0237826789073987,-0.0101693364334779
10,sigma_contrast,GRU,bank_K5_i001077,bank_K5_i000458,0.039809542050982,0.0180669316578547,-0.0217426103931273
10,sigma_contrast,Transformer,bank_K5_i001077,bank_K5_i000458,0.0430894711610784,0.0229865036888522,-0.0201029674722261
11,sigma_contrast,GRU,bank_K6_i000993,bank_K6_i000011,0.0285956434577217,0.0132193243276791,-0.0153763191300425
11,sigma_contrast,Transformer,bank_K6_i000993,bank_K6_i000011,0.0290371071865722,0.0187447036041386,-0.0102924035824336
12,cross_K_matched,GRU,bank_K3_i001156,bank_K4_i000388,0.0414297399458891,0.0274646657060689,0.0139650742398202
12,cross_K_matched,Transformer,bank_K3_i001156,bank_K4_i000388,0.0473025368893919,0.0302299423582093,0.0170725945311826
13,cross_K_matched,GRU,bank_K4_i001162,bank_K5_i001027,0.0208704273329308,0.03095486306398,0.0100844357310491
13,cross_K_matched,Transformer,bank_K4_i001162,bank_K5_i001027,0.0226947983472483,0.0284523947986249,0.0057575964513765
14,cross_K_matched,GRU,bank_K5_i001077,bank_K6_i000993,0.039809542050982,0.0285956434577217,0.0112138985932603
14,cross_K_matched,Transformer,bank_K5_i001077,bank_K6_i000993,0.0430894711610784,0.0290371071865722,0.0140523639745061
15,cross_K_matched,GRU,bank_K5_i000458,bank_K6_i000011,0.0180669316578547,0.0132193243276791,0.0048476073301755
15,cross_K_matched,Transformer,bank_K5_i000458,bank_K6_i000011,0.0229865036888522,0.0187447036041386,0.0042418000847136
16,cross_K_matched,GRU,bank_K3_i000981,bank_K4_i000342,0.0470112859908099,0.0297758060152036,0.0172354799756063
16,cross_K_matched,Transformer,bank_K3_i000981,bank_K4_i000342,0.0559648904594633,0.0335495074616069,0.0224153829978564
17,cross_K_matched,GRU,bank_K4_i000177,bank_K5_i000474,0.0450768348857166,0.0369743312978242,0.0081025035878924
17,cross_K_matched,Transformer,bank_K4_i000177,bank_K5_i000474,0.0481391483844211,0.0424672674286835,0.0056718809557376
