architecture,outcome,model,cv,n,mae,rmse,r2
GRU,A_width_shape,K_only,leave_one_hmm_out,24,0.0103775583381407,0.0119428683431626,-0.1271266706512259
GRU,A_width_shape,K_only,leave_one_K_out,24,0.0121217821410841,0.0140420976207727,-0.5581864120579354
GRU,A_width_shape,gain_only,leave_one_hmm_out,24,0.0089053190079388,0.0111290557309544,0.0212493320783767
GRU,A_width_shape,gain_only,leave_one_K_out,24,0.0092485583570053,0.0119126592909645,-0.121431830173454
GRU,A_width_shape,predictive_profile,leave_one_hmm_out,24,0.006697852689589,0.008325749095972,0.4522251674751411
GRU,A_width_shape,predictive_profile,leave_one_K_out,24,0.0082160586507268,0.0099563013046592,0.2166578437770178
GRU,best_shape_rmse,K_only,leave_one_hmm_out,24,0.0081075552866666,0.0092920179783666,-0.0885509560978159
GRU,best_shape_rmse,K_only,leave_one_K_out,24,0.0096664937001896,0.0112516171276403,-0.596094392220395
GRU,best_shape_rmse,gain_only,leave_one_hmm_out,24,0.0076337132950934,0.009159103781858,-0.057632142159985
GRU,best_shape_rmse,gain_only,leave_one_K_out,24,0.0081036542527044,0.0099479468621838,-0.2476581111456848
GRU,best_shape_rmse,predictive_profile,leave_one_hmm_out,24,0.0063518659785192,0.0078480002848654,0.2234906293040665
GRU,best_shape_rmse,predictive_profile,leave_one_K_out,24,0.0097536465831136,0.0121534383995982,-0.8622029441555885
GRU,mean_excess_ce_H,K_only,leave_one_hmm_out,24,0.0226411667833618,0.0330983787981485,0.0731231699460522
GRU,mean_excess_ce_H,K_only,leave_one_K_out,24,0.0241679506404261,0.0347786772553873,-0.023374762538868
GRU,mean_excess_ce_H,gain_only,leave_one_hmm_out,24,0.01750556726824,0.0257862600482212,0.4374186924598575
GRU,mean_excess_ce_H,gain_only,leave_one_K_out,24,0.0162755420607364,0.0252873923670442,0.4589758188388442
GRU,mean_excess_ce_H,predictive_profile,leave_one_hmm_out,24,0.013890063120993,0.0211861594457266,0.6202366456364713
GRU,mean_excess_ce_H,predictive_profile,leave_one_K_out,24,0.0130951660910177,0.0179329177240772,0.7279113074324215
Transformer,A_width_shape,K_only,leave_one_hmm_out,24,0.0130186345326685,0.0146462897602429,-0.179987337616142
Transformer,A_width_shape,K_only,leave_one_K_out,24,0.0156653071452659,0.0190904798561416,-1.0047295543800905
Transformer,A_width_shape,gain_only,leave_one_hmm_out,24,0.0104569927413368,0.0129764066748755,0.0737440762381153
Transformer,A_width_shape,gain_only,leave_one_K_out,24,0.0114028406624049,0.0143394218992463,-0.1310593361320142
Transformer,A_width_shape,predictive_profile,leave_one_hmm_out,24,0.0078895435861102,0.0099807410591202,0.4520414852118855
Transformer,A_width_shape,predictive_profile,leave_one_K_out,24,0.0102216145663242,0.0126312167367223,0.1223679444472396
Transformer,best_shape_rmse,K_only,leave_one_hmm_out,24,0.0095415981818203,0.0110748463438191,-0.1715683731658526
Transformer,best_shape_rmse,K_only,leave_one_K_out,24,0.0111169244333258,0.0134215509345426,-0.72067016401912
Transformer,best_shape_rmse,gain_only,leave_one_hmm_out,24,0.0082682677183167,0.0100997522884267,0.0256529718278882
Transformer,best_shape_rmse,gain_only,leave_one_K_out,24,0.0088590002495721,0.0108838044719338,-0.1314977184944834
Transformer,best_shape_rmse,predictive_profile,leave_one_hmm_out,24,0.0068343612356477,0.0083400060492608,0.3356071473701189
Transformer,best_shape_rmse,predictive_profile,leave_one_K_out,24,0.0075304958271618,0.0091912690394877,0.1930564070146156
Transformer,mean_excess_ce_H,K_only,leave_one_hmm_out,24,0.0328070512146137,0.0439590124591861,0.0462710753990313
Transformer,mean_excess_ce_H,K_only,leave_one_K_out,24,0.0395501484913604,0.0515735243002113,-0.3127520933575058
Transformer,mean_excess_ce_H,gain_only,leave_one_hmm_out,24,0.0206672911197028,0.0322516250297112,0.4866278522255117
Transformer,mean_excess_ce_H,gain_only,leave_one_K_out,24,0.0232521502266108,0.0360998331160412,0.3568096977165905
Transformer,mean_excess_ce_H,predictive_profile,leave_one_hmm_out,24,0.0131515087047918,0.0221323876467591,0.7582393382729197
Transformer,mean_excess_ce_H,predictive_profile,leave_one_K_out,24,0.0122676763402644,0.0209534739380233,0.7833088513619983
