status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,shape_rmse,excess_ce_H,recovery_ratio
done,bank_K3_i000535,GRU,128,1,64,9,1.9343904741108415,16,17,101256,cpu,1.922149121761322,1.89182648062706,1.943165197968483,1.914487585425377,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n64/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0186463457627772,0.0488866293772476,24.4310806497072
done,bank_K3_i000535,GRU,128,2,64,13,1.8842184729874132,16,21,101256,cpu,1.9299397841095924,1.902789890766144,1.850956737995148,1.943123497068882,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n64/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0507579396102903,0.0775225410207527,-42.04017842477015
done,bank_K3_i000535,GRU,128,3,64,28,1.8596677146852016,16,36,101256,cpu,1.964698202908039,1.9042001739144323,1.9036548510193825,1.889104276895523,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n64/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0390708028578753,0.0235033208473938,241.0536506072644
done,bank_K3_i000535,GRU,128,4,64,19,1.9123740680515768,16,27,101256,cpu,1.927259922027588,1.8761784881353376,1.8908810466527937,1.8991515040397644,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n64/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0185042497274595,0.0335505479916351,89.63202635669315
done,bank_K3_i000535,GRU,128,5,64,19,1.8665112555027008,16,27,101256,cpu,1.896299734711647,1.8755293563008308,1.8688734620809555,1.8987598940730093,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n64/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0189837191072189,0.0331589380248802,-7.844947688440853
done,bank_K3_i000535,GRU,128,1,128,10,1.88507379218936,16,18,101256,cpu,1.9080572128295896,1.8732389211654663,1.8783082962036133,1.901160404086113,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n128/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0183460495715477,0.0355594480379837,21.992519939762623
done,bank_K3_i000535,GRU,128,2,128,12,1.882412377744913,16,20,101256,cpu,1.911091670393944,1.877955824136734,1.895423300564289,1.953548103570938,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n128/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.052261476072914,0.0879471475228088,-135.38492771738535
done,bank_K3_i000535,GRU,128,3,128,14,1.8645904324948788,16,22,101256,cpu,1.8517015874385836,1.90657477080822,1.9550256207585333,1.9186442121863363,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n128/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0387074536774615,0.0530432561382072,-213.46641096543053
done,bank_K3_i000535,GRU,128,4,128,13,1.878040362149477,16,21,101256,cpu,1.9267109408974648,1.8495838716626167,1.865832880139351,1.875078186392784,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n128/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.029026321879773,0.0094772303446548,164.64634952550583
done,bank_K3_i000535,GRU,128,5,128,7,1.836855247616768,16,15,101256,cpu,1.8930859416723247,1.8910800516605375,1.8516224846243856,1.935204304754734,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n128/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.051805539149409,0.0696033487066047,-134.3068909654978
done,bank_K3_i000535,GRU,128,1,256,24,1.8593814000487328,16,32,101256,cpu,1.907830998301506,1.8976235091686249,1.878853380680084,1.9028135240077968,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n256/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0124840749795795,0.0372125679596679,15.99970472662525
done,bank_K3_i000535,GRU,128,2,256,19,1.8840490244328976,16,27,101256,cpu,1.874810054898262,1.8550744578242304,1.8493170216679573,1.880834311246872,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n256/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0206043470780393,0.0152333551987426,-19.21012787172843
done,bank_K3_i000535,GRU,128,3,256,14,1.8725121468305588,16,22,101256,cpu,1.8553072959184649,1.8619957715272903,1.867214135825634,1.9233051016926763,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n256/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0537912676439802,0.0577041456445472,-216.83116858414832
done,bank_K3_i000535,GRU,128,4,256,5,1.8627834506332877,16,13,101256,cpu,1.8918034881353376,1.8619571849703789,1.886808142066002,1.90898122638464,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n256/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0274351126175858,0.0433802703365104,-54.77631249744434
done,bank_K3_i000535,GRU,128,5,256,7,1.880941767245531,16,15,101256,cpu,1.892690792679787,1.956237718462944,1.8503569066524503,1.8781523331999777,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n256/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0420394769568873,0.0125513771518486,46.360189457992405
done,bank_K3_i000535,GRU,128,1,512,24,1.8658337146043775,16,32,101256,cpu,1.875797003507614,1.899195984005928,1.8772249594330788,1.87542612105608,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n512/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0119091626762649,0.0098251650079506,1.1826686825831163
done,bank_K3_i000535,GRU,128,2,512,15,1.84426811337471,16,23,101256,cpu,1.9135861098766327,1.8812936544418333,1.8394260928034785,1.9286879152059555,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n512/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0511213704309977,0.0630869591578262,-48.1565847604049
done,bank_K3_i000535,GRU,128,3,512,6,1.872627511620521,16,14,101256,cpu,1.9014514312148092,1.8590338677167888,1.8737402632832527,1.927944265305996,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n512/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0458478952877959,0.0623433092578666,-84.48025799792092
done,bank_K3_i000535,GRU,128,4,512,23,1.848030187189579,16,31,101256,cpu,1.8513070791959765,1.8738966658711436,1.8604975119233127,1.845823548734188,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n512/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0160391954824459,-0.0197774073139411,17.485863028351314
done,bank_K3_i000535,GRU,128,5,512,17,1.8292067907750609,16,25,101256,cpu,1.9378343671560287,1.86364171653986,1.828837864100933,1.8290580362081528,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n512/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0569185664903965,-0.0365429198399764,346.8655890462427
done,bank_K3_i000535,GRU,128,1,1024,22,1.884973492473364,16,30,101256,cpu,1.8745246231555937,1.8701653108000755,1.840000502765179,1.9041030704975128,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n1024/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0392298253824069,0.0385021144493835,-94.31965089210726
done,bank_K3_i000535,GRU,128,2,1024,18,1.8702891804277897,16,26,101256,cpu,1.8796739503741264,1.870721511542797,1.853652320802212,1.8634248450398443,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n1024/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0100302189857206,-0.0021761110082847,51.81509106012184
done,bank_K3_i000535,GRU,128,3,1024,17,1.8799626119434836,16,25,101256,cpu,1.8595551177859304,1.8654793798923488,1.876830019056797,1.8916589096188543,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n1024/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0221201727055426,0.0260579535707252,-102.37246069718204
done,bank_K3_i000535,GRU,128,4,1024,20,1.8598914295434952,16,28,101256,cpu,1.8899691477417944,1.8593063801527023,1.911994531750679,1.8842810541391373,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n1024/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0188518600658903,0.018680098091008,18.138173266584342
done,bank_K3_i000535,GRU,128,5,1024,6,1.8700497187674048,16,14,101256,cpu,1.8915872871875763,1.8955227136611936,1.8720477744936943,1.89654204249382,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/gru/d128/n1024/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0125385330921386,0.0309410864456909,-15.799706635663506
done,bank_K3_i000535,Transformer,128,1,64,13,1.9467341862618923,16,21,201224,cpu,1.921905793249607,1.928561471402645,1.917487606406212,1.9552495554089544,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n64/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0286014220490957,0.0896485993608253,-106.32647379844116
done,bank_K3_i000535,Transformer,128,2,64,17,1.9166616164147852,16,25,201224,cpu,1.925003558397293,1.9128172919154167,1.8801058903336525,1.8990298435091968,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n64/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.017364874490018,0.0334288874610679,82.82489247312174
done,bank_K3_i000535,Transformer,128,3,64,20,1.8896148651838305,16,28,201224,cpu,1.9353335425257685,1.8901333436369896,1.88566442579031,1.8765951097011568,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n64/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0303251063419146,0.0109941536530273,187.3049120504457
done,bank_K3_i000535,Transformer,128,4,64,17,1.921171147376299,16,25,201224,cpu,1.910783477127552,1.9025752022862437,1.911393105983734,1.884569227695465,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n64/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0206991261534641,0.0189682716473358,83.59190819759417
done,bank_K3_i000535,Transformer,128,5,64,28,1.869001399725676,16,36,201224,cpu,1.894003488123417,1.89792325347662,1.9088232666254044,1.9028581157326696,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n64/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0060035839378001,0.0372571596845405,-28.235605988037918
done,bank_K3_i000535,Transformer,128,1,128,40,1.8623882718384264,16,48,201224,cpu,1.849592126905918,1.8727817460894585,1.863499641418457,1.891993872821331,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n128/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0274155218077823,0.0263929167732017,-135.21054116622602
done,bank_K3_i000535,Transformer,128,2,128,13,1.894884865731001,16,21,201224,cpu,1.893873006105423,1.8791071847081184,1.8756095468997955,1.9615335166454315,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n128/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0685582318363677,0.0959325605973022,-215.7556027043753
done,bank_K3_i000535,Transformer,128,3,128,19,1.9169885367155075,16,27,201224,cpu,1.8819616436958315,1.873943716287613,1.9204813316464424,1.8896432369947436,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n128/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0177618313730256,0.024042280946614,-24.495038224056096
done,bank_K3_i000535,Transformer,128,4,128,5,1.8725485354661944,16,13,201224,cpu,1.926153503358364,1.9435850009322169,1.9074521884322169,1.991900809109211,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n128/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0588049945173209,0.1262998530610817,-209.6547818697706
done,bank_K3_i000535,Transformer,128,5,128,27,1.8700836524367328,16,35,201224,cpu,1.9015257358551023,1.89925803989172,1.8484562635421755,1.8913859874010088,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n128/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.022367795893145,0.0257850313528793,32.3335949067392
done,bank_K3_i000535,Transformer,128,1,256,6,1.88400723785162,16,14,201224,cpu,1.9122844114899635,1.891728200018406,1.855745330452919,1.909323275089264,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n256/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0282311945378505,0.0437223190411346,9.44246154402029
done,bank_K3_i000535,Transformer,128,2,256,14,1.8952887915074823,16,22,201224,cpu,1.875867523252964,1.916377440094948,1.883768439292908,1.907724425196648,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n256/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0205147579808725,0.0421234691485183,-101.5851790696934
done,bank_K3_i000535,Transformer,128,3,256,20,1.8601658567786217,16,28,201224,cpu,1.832499608397484,1.8466267809271808,1.852947972714901,1.8780816718935969,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n256/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0305319973262243,0.0124807158454673,-145.35192690125518
done,bank_K3_i000535,Transformer,128,4,256,34,1.8473975472152235,16,42,201224,cpu,1.8719262853264809,1.866246871650219,1.8764373511075971,1.8450307697057724,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n256/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0231419253455197,-0.0205701863423568,85.76432747074219
done,bank_K3_i000535,Transformer,128,5,256,31,1.8642031252384184,16,39,201224,cpu,1.8777684420347212,1.9426785111427307,1.8625022768974304,1.877739064395428,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n256/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0333424220811719,0.0121381083472984,0.0936793148802753
done,bank_K3_i000535,Transformer,128,1,512,11,1.8958395048975945,16,19,201224,cpu,1.91008934378624,1.8798700645565989,1.9130207672715187,1.9281252771615984,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n512/seed1/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0269041719557483,0.0625243211134689,-57.51292215620278
done,bank_K3_i000535,Transformer,128,2,512,19,1.905226040631533,16,27,201224,cpu,1.8927516117691996,1.8772502467036247,1.88420619815588,1.9055794104933736,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n512/seed2/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0189288672643259,0.0399784544452446,-40.90524033909154
done,bank_K3_i000535,Transformer,128,3,512,9,1.8517778925597668,16,17,201224,cpu,1.8842527121305463,1.899361066520214,1.913038618862629,1.8896113336086275,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n512/seed3/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0129964942131896,0.024010377560498,-17.087553691813696
done,bank_K3_i000535,Transformer,128,4,512,28,1.8862364999949928,16,36,201224,cpu,1.8625812977552412,1.8519811928272247,1.8822394609451292,1.8854605704545973,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n512/seed4/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0204356912930464,0.0198596144064682,-72.95734589186131
done,bank_K3_i000535,Transformer,128,5,512,30,1.846060194075108,16,38,201224,cpu,1.857584461569786,1.84723249822855,1.859780304133892,1.8840280398726463,project://predictive_profile_experiment_v2/sample_size_runs/bank_K3_i000535/transformer/d128/n512/seed5/DONE.json,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0257842225506058,0.018427083824517,-84.32319130994894
