hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio
bank_K3_i000535,GRU,0.0289219894219993,0.0224084068644686,16,0.0051462614443927,16.0,16.0,0.0193436994852185,18.623559632314365
bank_K3_i000535,Transformer,0.027545797199005,0.0194740285698208,256,0.0118922181214444,256.0,256.0,0.0153751132713318,-4.792026943133412
bank_K3_i000588,GRU,0.0413679802019307,0.035018419374114,256,0.0111689605497389,256.0,256.0,0.0189887495975646,65.52139034711223
bank_K3_i000588,Transformer,0.0458289636287356,0.0282513827086463,8,0.0780645880724252,8.0,8.0,0.045742601209264,-38.81481249011615
bank_K3_i000606,GRU,0.0471170982829007,0.0321172926937238,64,0.0115862429891428,16.0,64.0,0.0350768219963873,662.2447510069933
bank_K3_i000606,Transformer,0.0553382888427257,0.0415763681253791,32,0.0584398076961111,4.0,32.0,0.0458071051483002,-270.36737199238223
bank_K3_i000981,GRU,0.0470112859908099,0.0362020592169896,2,0.0,,,0.008343780787421,34.25090931152237
bank_K3_i000981,Transformer,0.0559648904594633,0.0419391128397973,64,0.0472691530384636,4.0,4.0,0.0368285677811119,5.72888190016922
bank_K3_i001156,GRU,0.0414297399458891,0.0321899854290721,32,0.0143435998257811,32.0,32.0,0.0108728886348074,40.46677459843021
bank_K3_i001156,Transformer,0.0473025368893919,0.0310944746843347,4,0.049745777983104,4.0,4.0,0.0297860122584084,-3.1994756979663745
bank_K3_i001280,GRU,0.0191689723446661,0.0126482594497702,2,0.0,,,0.0041152336612919,430.460466858957
bank_K3_i001280,Transformer,0.0246535458599451,0.0205191750360666,16,0.0030494489724818,16.0,16.0,0.0131929718335335,-100.0669625388486
bank_K4_i000177,GRU,0.0450768348857166,0.0285902352579177,2,0.0,,,0.0781426246221907,0.6742820931484068
bank_K4_i000177,Transformer,0.0481391483844211,0.0339531022711793,32,0.0090824165516154,32.0,32.0,0.0948196461368151,0.2581353612752874
bank_K4_i000290,GRU,0.0224137844967847,0.0174859675034159,2,0.0,,,0.0125810174549499,114.70078860547322
bank_K4_i000290,Transformer,0.0237826789073987,0.0178333321003405,32,0.0172880208978508,8.0,8.0,0.0139398351855811,221.14638779219607
bank_K4_i000342,GRU,0.0297758060152036,0.026417129127164,2,0.0,,,0.0388274307925273,13.687283383834982
bank_K4_i000342,Transformer,0.0335495074616069,0.0205418619115963,4,0.0287177765767709,4.0,4.0,0.0594044864607195,-0.0612100697290352
bank_K4_i000388,GRU,0.0274646657060689,0.017265644502194,4,0.0037654040698306,4.0,4.0,0.0139331555362978,13.09325306283562
bank_K4_i000388,Transformer,0.0302299423582093,0.0223477112608988,4,0.0083857032419801,4.0,4.0,0.0209282261289311,-2.327269389907422
bank_K4_i001020,GRU,0.0285195582991641,0.0236429953099976,32,0.0026134113587556,32.0,32.0,0.0143070086929357,421.8549548399635
bank_K4_i001020,Transformer,0.0339520153408767,0.0234761849942035,4,0.0374296990295087,4.0,4.0,0.0272978041679673,-3.890160182813048
bank_K4_i001162,GRU,0.0208704273329308,0.0130116741925713,2,0.0,,,0.0412866553670112,0.1844602063831008
bank_K4_i001162,Transformer,0.0226947983472483,0.013900945726279,4,0.0101568467428587,4.0,4.0,0.0426771041384284,0.1747399078041008
bank_K5_i000458,GRU,0.0180669316578547,0.0143974318824926,4,0.0039241454025142,4.0,4.0,0.0086784347751772,58.19830737967479
bank_K5_i000458,Transformer,0.0229865036888522,0.0169337385713328,2,0.0,,,0.0137905330390199,58.89865223192151
bank_K5_i000474,GRU,0.0369743312978242,0.0149150703430225,2,0.0,,,0.0635182630529569,1.4299092051258548
bank_K5_i000474,Transformer,0.0424672674286835,0.0365966346381559,32,0.0048593247693153,32.0,32.0,0.0831713599145621,0.0263474879042437
bank_K5_i000809,GRU,0.0091335819163622,0.0053974203830857,32,0.0019851823854301,32.0,32.0,0.0123083962313227,-45.77925247769245
bank_K5_i000809,Transformer,0.0123688790344487,0.0080255458503006,8,0.0036845692632985,8.0,8.0,0.0194367393504756,-13.14464408868254
bank_K5_i001027,GRU,0.03095486306398,0.0238425378906614,4,0.0044292677390339,4.0,4.0,0.0397404167127462,1.2501299112231754
bank_K5_i001027,Transformer,0.0284523947986249,0.0217987975400013,64,0.0044292935912276,64.0,64.0,0.0367932996438083,0.1723986037494211
bank_K5_i001052,GRU,0.0119778197219572,0.0096353061280894,4,0.0007707866659795,4.0,4.0,0.0100980450229602,5.863642571743355
bank_K5_i001052,Transformer,0.0127829586812419,0.0079857690072506,8,0.0065598185867123,8.0,8.0,0.0167667160572367,-26.407467940295337
bank_K5_i001077,GRU,0.039809542050982,0.0286078003249712,256,0.0107588292314179,256.0,256.0,0.0426317477448822,115.99407288395876
bank_K5_i001077,Transformer,0.0430894711610784,0.0313942230161662,8,0.0293854837389245,8.0,8.0,0.0576232661210113,-3.514810318511401
bank_K6_i000011,GRU,0.0132193243276791,0.0063940987627047,256,0.0067395889607599,256.0,256.0,0.013152259740761,5.481980093267595
bank_K6_i000011,Transformer,0.0187447036041386,0.0121040879985706,8,0.0083734817152912,8.0,8.0,0.0241858342591095,-41.13002404546306
bank_K6_i000247,GRU,0.035202192976379,0.0256747105311866,32,0.0111384183801822,32.0,32.0,0.0538051212900012,0.8755079721737413
bank_K6_i000247,Transformer,0.0446207330226013,0.0315221408167088,64,0.0322745092327947,64.0,64.0,0.0999744553812474,0.2620611218437194
bank_K6_i000250,GRU,0.036982044182826,0.0282924037283463,64,0.0092021161476662,64.0,64.0,0.0823519715547861,0.5265373015564797
bank_K6_i000250,Transformer,0.0476400860304391,0.025934520813139,128,0.0274057826799299,128.0,128.0,0.1191734035673185,0.1922292560259785
bank_K6_i000271,GRU,0.032954383172701,0.0227938208735569,32,0.0224436147674787,16.0,32.0,0.0614618850367519,0.6051686289123951
bank_K6_i000271,Transformer,0.0439427094653671,0.0356000538089946,32,0.0264603657410654,16.0,32.0,0.0938487306797188,0.1873172149400427
bank_K6_i000573,GRU,0.0473267665455075,0.0346610261044795,4,0.0013865764140335,4.0,4.0,0.1610966682544142,0.9919160284870948
bank_K6_i000573,Transformer,0.0608289371623739,0.0438931967636877,16,0.0244028746309495,8.0,8.0,0.2114741832327527,0.5291402297160983
bank_K6_i000993,GRU,0.0285956434577217,0.0190751252480957,16,0.0064657443372915,16.0,16.0,0.0357167046545439,20.46245480902107
bank_K6_i000993,Transformer,0.0290371071865722,0.0171334999356042,256,0.0336549165132838,4.0,4.0,0.0372414565274325,-8.973837953083036
