generator_family,K,architecture,best_dimension,hmm_count
ring_sparse_specialized,3,GRU,8,1
ring_sparse_specialized,3,GRU,32,3
ring_sparse_specialized,3,Transformer,32,2
ring_sparse_specialized,3,Transformer,128,2
ring_sparse_specialized,4,GRU,8,2
ring_sparse_specialized,4,GRU,32,1
ring_sparse_specialized,4,GRU,128,1
ring_sparse_specialized,4,Transformer,8,2
ring_sparse_specialized,4,Transformer,32,1
ring_sparse_specialized,4,Transformer,128,1
ring_sparse_specialized,5,GRU,8,1
ring_sparse_specialized,5,GRU,32,2
ring_sparse_specialized,5,GRU,128,1
ring_sparse_specialized,5,Transformer,8,3
ring_sparse_specialized,5,Transformer,32,1
ring_sparse_specialized,6,GRU,8,3
ring_sparse_specialized,6,GRU,32,1
ring_sparse_specialized,6,Transformer,8,1
ring_sparse_specialized,6,Transformer,32,2
ring_sparse_specialized,6,Transformer,128,1
sticky_dense_logistic_normal,3,GRU,8,2
sticky_dense_logistic_normal,3,GRU,32,2
sticky_dense_logistic_normal,3,Transformer,8,1
sticky_dense_logistic_normal,3,Transformer,32,2
sticky_dense_logistic_normal,3,Transformer,128,1
sticky_dense_logistic_normal,4,GRU,8,1
sticky_dense_logistic_normal,4,GRU,32,1
sticky_dense_logistic_normal,4,GRU,128,2
sticky_dense_logistic_normal,4,Transformer,32,3
sticky_dense_logistic_normal,4,Transformer,128,1
sticky_dense_logistic_normal,5,GRU,8,3
sticky_dense_logistic_normal,5,GRU,32,1
sticky_dense_logistic_normal,5,Transformer,8,3
sticky_dense_logistic_normal,5,Transformer,32,1
sticky_dense_logistic_normal,6,GRU,8,2
sticky_dense_logistic_normal,6,GRU,32,1
sticky_dense_logistic_normal,6,GRU,128,1
sticky_dense_logistic_normal,6,Transformer,8,2
sticky_dense_logistic_normal,6,Transformer,32,2
