generator_family,K_a,K_b,architecture,outcome,hmm_a,hmm_b,matched_absolute_difference,profile_rms_distance
sticky_dense_logistic_normal,3,4,GRU,A_width_shape,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.006268030805866,0.0924321814281379
sticky_dense_logistic_normal,3,4,GRU,A_width_shape,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0245035348116666,0.2346701169445532
sticky_dense_logistic_normal,3,4,GRU,A_width_shape,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0043237117244048,0.4727631698963929
sticky_dense_logistic_normal,3,4,GRU,A_width_shape,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.0049074050207656,0.7362770970155074
sticky_dense_logistic_normal,3,4,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0027809255202788,0.0924321814281379
sticky_dense_logistic_normal,3,4,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0211234593050343,0.2346701169445532
sticky_dense_logistic_normal,3,4,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0150328832794446,0.4727631698963929
sticky_dense_logistic_normal,3,4,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.0171959390060602,0.7362770970155074
sticky_dense_logistic_normal,3,4,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0051839852872142,0.0924321814281379
sticky_dense_logistic_normal,3,4,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0253195840350354,0.2346701169445532
sticky_dense_logistic_normal,3,4,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0012243968258118,0.4727631698963929
sticky_dense_logistic_normal,3,4,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.0092114219491846,0.7362770970155074
sticky_dense_logistic_normal,3,4,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0069432988422562,0.0924321814281379
sticky_dense_logistic_normal,3,4,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0268416257743861,0.2346701169445532
sticky_dense_logistic_normal,3,4,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0123082736293051,0.4727631698963929
sticky_dense_logistic_normal,3,4,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.0097858572461653,0.7362770970155074
sticky_dense_logistic_normal,3,4,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0127318074756021,0.0924321814281379
sticky_dense_logistic_normal,3,4,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0236629946685496,0.2346701169445532
sticky_dense_logistic_normal,3,4,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0216075364487815,0.4727631698963929
sticky_dense_logistic_normal,3,4,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,7.522501712037277e-05,0.7362770970155074
sticky_dense_logistic_normal,3,4,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0093851179432349,0.0924321814281379
sticky_dense_logistic_normal,3,4,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.0252985138036396,0.2346701169445532
sticky_dense_logistic_normal,3,4,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.0171400784301877,0.4727631698963929
sticky_dense_logistic_normal,3,4,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.0116189177211815,0.7362770970155074
sticky_dense_logistic_normal,4,5,GRU,A_width_shape,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0061684856759209,0.2036586101541476
sticky_dense_logistic_normal,4,5,GRU,A_width_shape,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0102265741580246,0.1128344919694254
sticky_dense_logistic_normal,4,5,GRU,A_width_shape,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.0106187601721334,0.4189835733439193
sticky_dense_logistic_normal,4,5,GRU,A_width_shape,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0040189432882004,0.4193070542161203
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0106036903428854,0.2036586101541476
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0149662370923589,0.1128344919694254
