generator_family,K_a,K_b,pair_number,hmm_a,hmm_b,profile_rms_distance,matching_features
sticky_dense_logistic_normal,3,4,1,external_sticky_dense_logistic_normal_K3_i0059,external_sticky_dense_logistic_normal_K4_i0038,0.0924321814281379,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,3,4,2,external_sticky_dense_logistic_normal_K3_i0217,external_sticky_dense_logistic_normal_K4_i0211,0.2346701169445532,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,3,4,3,external_sticky_dense_logistic_normal_K3_i0178,external_sticky_dense_logistic_normal_K4_i0131,0.4727631698963929,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,3,4,4,external_sticky_dense_logistic_normal_K3_i0051,external_sticky_dense_logistic_normal_K4_i0108,0.7362770970155074,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,4,5,1,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.2036586101541476,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,4,5,2,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.1128344919694254,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,4,5,3,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.4189835733439193,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,4,5,4,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.4193070542161203,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,5,6,1,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0767749078747663,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,5,6,2,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.2340247997791676,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,5,6,3,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.532354021277867,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
sticky_dense_logistic_normal,5,6,4,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.3297106211418052,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,3,4,1,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.5582610819931078,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,3,4,2,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.485653624837858,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,3,4,3,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.1435710783908296,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,3,4,4,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.752229211131152,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,4,5,1,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.1443999657594271,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,4,5,2,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.3670616391163801,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,4,5,3,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.4764272429576623,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,4,5,4,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.3171733961175539,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,5,6,1,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.1525573203792417,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
ring_sparse_specialized,5,6,2,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.2985766216102383,log_gain|log_rank|neg_log_sigma|log_tau|bayes_ce_h4|symbol_entropy|log_min_symbol_prob|log_signal
