generator_family,K_a,K_b,architecture,outcome,n_pairs,matched_mean_absolute_difference,random_pairing_mean,matched_to_random_ratio,exact_randomization_p_smaller
sticky_dense_logistic_normal,3,4,GRU,A_width_shape,4,0.0100006705906757,0.01062057722735,0.9416315494530868,0.52
sticky_dense_logistic_normal,3,4,GRU,mean_excess_ce_H,4,0.0140333017777045,0.0096570833019815,1.4531615125267692,1.0
sticky_dense_logistic_normal,3,4,GRU,best_shape_rmse,4,0.0102348470243115,0.0092175126956037,1.1103697236232744,0.92
sticky_dense_logistic_normal,3,4,Transformer,A_width_shape,4,0.0139697638730282,0.0113009162708355,1.2361620543176874,1.0
sticky_dense_logistic_normal,3,4,Transformer,mean_excess_ce_H,4,0.0145193909025134,0.0124593635067789,1.1653396976991357,0.6
sticky_dense_logistic_normal,3,4,Transformer,best_shape_rmse,4,0.0158606569745609,0.0122413893482939,1.2956582397055634,1.0
sticky_dense_logistic_normal,4,5,GRU,A_width_shape,4,0.0077581908235698,0.0146959448577944,0.5279137135204395,0.16
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,4,0.0112381800564392,0.0089095536445255,1.2613628588840198,1.0
sticky_dense_logistic_normal,4,5,GRU,best_shape_rmse,4,0.0049178434967577,0.0140784151372962,0.349317977115871,0.2
sticky_dense_logistic_normal,4,5,Transformer,A_width_shape,4,0.0124178005461398,0.0094747392128441,1.3106218827961016,1.0
sticky_dense_logistic_normal,4,5,Transformer,mean_excess_ce_H,4,0.0122998045038138,0.0138140983554241,0.8903805508945329,0.44
sticky_dense_logistic_normal,4,5,Transformer,best_shape_rmse,4,0.0142110877519424,0.0101841074446894,1.3954180893243455,1.0
sticky_dense_logistic_normal,5,6,GRU,A_width_shape,4,0.0083345991177376,0.0133548610541659,0.6240872955497934,0.12
sticky_dense_logistic_normal,5,6,GRU,mean_excess_ce_H,4,0.0076504520994149,0.0086705244786732,0.8823517098916746,0.36
sticky_dense_logistic_normal,5,6,GRU,best_shape_rmse,4,0.0076101556577526,0.0116532895768761,0.6530478460651693,0.12
sticky_dense_logistic_normal,5,6,Transformer,A_width_shape,4,0.008377370923824,0.0122304940647719,0.6849576868651447,0.36
sticky_dense_logistic_normal,5,6,Transformer,mean_excess_ce_H,4,0.0073047024479115,0.0172088528240265,0.4244735266555921,0.12
sticky_dense_logistic_normal,5,6,Transformer,best_shape_rmse,4,0.0069813645092058,0.0115977909411077,0.6019564022714691,0.2
ring_sparse_specialized,3,4,GRU,A_width_shape,4,0.0086476587959716,0.0094628946509655,0.9138492094582568,0.36
ring_sparse_specialized,3,4,GRU,mean_excess_ce_H,4,0.0127059817456203,0.0190266745966101,0.6677983418018881,0.2
ring_sparse_specialized,3,4,GRU,best_shape_rmse,4,0.0103747997422867,0.0080795732181096,1.2840776934891358,0.76
ring_sparse_specialized,3,4,Transformer,A_width_shape,4,0.0061287995800484,0.0070252977643845,0.8723900090212571,0.44
ring_sparse_specialized,3,4,Transformer,mean_excess_ce_H,4,0.0334919199978943,0.0274346624453009,1.2207884848107904,1.0
ring_sparse_specialized,3,4,Transformer,best_shape_rmse,4,0.0080415730232758,0.0082214037255919,0.9781265209302058,0.52
ring_sparse_specialized,4,5,GRU,A_width_shape,4,0.0061209687416094,0.0107930700311594,0.5671202654979753,0.12
ring_sparse_specialized,4,5,GRU,mean_excess_ce_H,4,0.014669867232904,0.0232620081918194,0.6306363196133246,0.2
ring_sparse_specialized,4,5,GRU,best_shape_rmse,4,0.0034223837264493,0.0100828092960259,0.3394275966122123,0.08
ring_sparse_specialized,4,5,Transformer,A_width_shape,4,0.003842253081516,0.0086458058970702,0.4444065859514727,0.2
ring_sparse_specialized,4,5,Transformer,mean_excess_ce_H,4,0.0149596370761247,0.0317409769116056,0.4713036122922526,0.12
ring_sparse_specialized,4,5,Transformer,best_shape_rmse,4,0.0055053551546772,0.0091381329017268,0.6024595192347111,0.16
ring_sparse_specialized,5,6,GRU,A_width_shape,4,0.0087435457718853,0.0070282926929305,1.2440497506144186,0.84
ring_sparse_specialized,5,6,GRU,mean_excess_ce_H,4,0.0104043048299791,0.0179686741929062,0.5790246246485232,0.2
ring_sparse_specialized,5,6,GRU,best_shape_rmse,4,0.0066361562514084,0.0107523422494356,0.6171823866336423,0.2
ring_sparse_specialized,5,6,Transformer,A_width_shape,4,0.0033864861290923,0.0099749482800365,0.3394991165889018,0.12
ring_sparse_specialized,5,6,Transformer,mean_excess_ce_H,4,0.0152814803965648,0.0274026426751325,0.5576644770262454,0.12
ring_sparse_specialized,5,6,Transformer,best_shape_rmse,4,0.0066713402148226,0.0084529435114615,0.7892327927871289,0.36
