source,pair_id,contrast,K,hmm_low,hmm_high,n_train,method,alpha,beta,outcome,value_low,value_high,effect_high_minus_low
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,0.1,,shape_rmse,0.1811758517212367,0.306117879673338,0.1249420279521012
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,0.1,,excess_ce_H,0.2378568145499795,0.3820630948552186,0.1442062803052391
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,1.0,shape_rmse,0.1179434043702879,0.1948168568098652,0.0768734524395773
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,1.0,excess_ce_H,0.1596047792280712,0.2464853920726744,0.0868806128446031
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,5.0,shape_rmse,0.0684925016063054,0.0966082630176254,0.0281157614113199
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,5.0,excess_ce_H,0.0964749682800132,0.1237538594944831,0.0272788912144699
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,20.0,shape_rmse,0.0329250449173672,0.0362891434082642,0.003364098490897
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.1,20.0,excess_ce_H,0.0496154789009111,0.0454764006579744,-0.0041390782429367
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,0.5,,shape_rmse,0.1028075487298524,0.1242013134626858,0.0213937647328334
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,0.5,,excess_ce_H,0.1382914121607779,0.1573594632617332,0.0190680511009553
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,1.0,shape_rmse,0.0734564360295481,0.0907506934035942,0.017294257374046
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,1.0,excess_ce_H,0.1022047317307692,0.116329749849801,0.0141250181190318
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,5.0,shape_rmse,0.0476379336731322,0.0539912340620567,0.0063533003889244
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,5.0,excess_ce_H,0.0692070304822736,0.0694849178395538,0.0002778873572801
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,20.0,shape_rmse,0.0253623985479372,0.0244958994445461,-0.0008664991033911
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,0.5,20.0,excess_ce_H,0.039647740310887,0.0300303726537349,-0.009617367657152
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,1.0,,shape_rmse,0.0969200506105167,0.0925914272020793,-0.0043286234084373
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,additive,1.0,,excess_ce_H,0.1305601161241405,0.1169366071369675,-0.013623508987173
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,1.0,1.0,shape_rmse,0.0717486152273294,0.069042863352039,-0.0027057518752903
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,1.0,1.0,excess_ce_H,0.0996309492481748,0.0880709797447629,-0.0115599695034118
count_predictor,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,64,interpolated_backoff,1.0,5.0,shape_rmse,0.0479093639227415,0.043179954843128,-0.0047294090796135
