hmm_id,K,pair_id,contrast,pair_role,n_train,h,method,alpha,beta,test_windows,observed_train_contexts,possible_contexts,unseen_test_context_rate,mean_train_count_for_test_context,median_train_count_for_test_context,mean_positive_train_count_for_test_context,empirical_effective_context_count,mean_backoff_weight
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,additive,0.1,,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,additive,0.1,,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,additive,0.1,,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,additive,0.1,,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.1,1.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.000410666995573
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.1,1.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0032485142546498
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.1,1.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0232757485447184
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.1,1.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.1119298076450915
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.1,5.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.002045509259684
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.1,5.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0152064279550166
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.1,5.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0809117374787881
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.1,5.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.2579767484705924
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.1,20.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.0080678912843938
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.1,20.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0519565101130167
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.1,20.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.2013903302062958
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.1,20.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.4596057057163635
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,additive,0.5,,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,additive,0.5,,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,additive,0.5,,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,additive,0.5,,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.5,1.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.000410666995573
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.5,1.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0032485142546498
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.5,1.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0232757485447184
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.5,1.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.1119298076450915
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.5,5.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.002045509259684
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.5,5.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0152064279550166
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.5,5.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.0809117374787881
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.5,5.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.2579767484705924
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,interpolated_backoff,0.5,20.0,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.0080678912843938
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,2,interpolated_backoff,0.5,20.0,19072,64,64,0.0,1105.2814072986578,883.0,1105.2814072986578,28.50170871161329,0.0519565101130167
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,3,interpolated_backoff,0.5,20.0,19008,465,512,0.0019465488215488,280.8816813973064,135.0,281.4294976543145,148.95853958098988,0.2013903302062958
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,4,interpolated_backoff,0.5,20.0,18944,2220,4096,0.032569679054054,72.50870988175676,27.0,74.94980084029028,726.4196331981892,0.4596057057163635
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,1,additive,1.0,,19136,8,8,0.0,4446.396948160535,5168.0,4446.396948160535,5.391914588984641,0.0
