n_train,method,alpha,beta,outcome,diagnostic,spearman_rho,n_hmms
64,additive,0.1,,shape_rmse,unseen_test_context_rate,0.5511588783020379,48
64,additive,0.1,,shape_rmse,mean_train_count_for_test_context,-0.8720147633521494,48
64,additive,0.1,,shape_rmse,empirical_effective_context_count,0.9818714719930526,48
64,additive,0.1,,shape_rmse,mean_backoff_weight,,48
64,additive,0.1,,excess_ce_H,unseen_test_context_rate,0.5581067152552249,48
64,additive,0.1,,excess_ce_H,mean_train_count_for_test_context,-0.8693009118541033,48
64,additive,0.1,,excess_ce_H,empirical_effective_context_count,0.980894485453756,48
64,additive,0.1,,excess_ce_H,mean_backoff_weight,,48
64,additive,0.5,,shape_rmse,unseen_test_context_rate,0.3480432073737116,48
64,additive,0.5,,shape_rmse,mean_train_count_for_test_context,-0.9282457663916628,48
64,additive,0.5,,shape_rmse,empirical_effective_context_count,0.955601389491967,48
64,additive,0.5,,shape_rmse,mean_backoff_weight,,48
64,additive,0.5,,excess_ce_H,unseen_test_context_rate,0.4101937801190172,48
64,additive,0.5,,excess_ce_H,mean_train_count_for_test_context,-0.9088145896656536,48
64,additive,0.5,,excess_ce_H,empirical_effective_context_count,0.9656969170646982,48
64,additive,0.5,,excess_ce_H,mean_backoff_weight,,48
64,additive,1.0,,shape_rmse,unseen_test_context_rate,-0.2816045165088608,48
64,additive,1.0,,shape_rmse,mean_train_count_for_test_context,0.1411202778983933,48
64,additive,1.0,,shape_rmse,empirical_effective_context_count,-0.27181936604429,48
64,additive,1.0,,shape_rmse,mean_backoff_weight,,48
64,additive,1.0,,excess_ce_H,unseen_test_context_rate,0.0035281984527902,48
64,additive,1.0,,excess_ce_H,mean_train_count_for_test_context,-0.1227746417716022,48
64,additive,1.0,,excess_ce_H,empirical_effective_context_count,0.0553625705601389,48
64,additive,1.0,,excess_ce_H,mean_backoff_weight,,48
64,interpolated_backoff,0.1,1.0,shape_rmse,unseen_test_context_rate,0.5380231240624187,48
64,interpolated_backoff,0.1,1.0,shape_rmse,mean_train_count_for_test_context,-0.8828701693443335,48
64,interpolated_backoff,0.1,1.0,shape_rmse,empirical_effective_context_count,0.9859965262700824,48
64,interpolated_backoff,0.1,1.0,shape_rmse,mean_backoff_weight,0.9608119843682152,48
64,interpolated_backoff,0.1,1.0,excess_ce_H,unseen_test_context_rate,0.549204799158954,48
64,interpolated_backoff,0.1,1.0,excess_ce_H,mean_train_count_for_test_context,-0.8786365610073817,48
64,interpolated_backoff,0.1,1.0,excess_ce_H,empirical_effective_context_count,0.9818714719930526,48
64,interpolated_backoff,0.1,1.0,excess_ce_H,mean_backoff_weight,0.965045592705167,48
64,interpolated_backoff,0.1,5.0,shape_rmse,unseen_test_context_rate,0.5560983561359443,48
64,interpolated_backoff,0.1,5.0,shape_rmse,mean_train_count_for_test_context,-0.8748371689101172,48
64,interpolated_backoff,0.1,5.0,shape_rmse,empirical_effective_context_count,0.9779635258358662,48
64,interpolated_backoff,0.1,5.0,shape_rmse,mean_backoff_weight,0.9838254450716456,48
64,interpolated_backoff,0.1,5.0,excess_ce_H,unseen_test_context_rate,0.5720566691377957,48
64,interpolated_backoff,0.1,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8600738167607469,48
64,interpolated_backoff,0.1,5.0,excess_ce_H,empirical_effective_context_count,0.9628745115067304,48
64,interpolated_backoff,0.1,5.0,excess_ce_H,mean_backoff_weight,0.9750325662179764,48
64,interpolated_backoff,0.1,20.0,shape_rmse,unseen_test_context_rate,0.5622319934461797,48
64,interpolated_backoff,0.1,20.0,shape_rmse,mean_train_count_for_test_context,-0.8562744246634824,48
64,interpolated_backoff,0.1,20.0,shape_rmse,empirical_effective_context_count,0.9513677811550152,48
64,interpolated_backoff,0.1,20.0,shape_rmse,mean_backoff_weight,0.955601389491967,48
64,interpolated_backoff,0.1,20.0,excess_ce_H,unseen_test_context_rate,0.5816099449484278,48
64,interpolated_backoff,0.1,20.0,excess_ce_H,mean_train_count_for_test_context,-0.7772470690403821,48
