hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K,pair_id,contrast,pair_role
confirm_K3_i000012,GRU,0.0381869282500654,0.0366830080080981,128,0.0031056791311546,128.0,128.0,0.0162808545606379,0.3402662777188515,3,gain_K3_p15,gain_contrast,low
confirm_K3_i000012,Transformer,0.0315520723390828,0.0254790318360926,128,0.008016239860397,128.0,128.0,0.0299077653067355,-16.489839587893087,3,gain_K3_p15,gain_contrast,low
confirm_K3_i000079,GRU,0.0384161528022856,0.0256899677915649,128,0.0079189064883705,128.0,128.0,0.0224253314057996,-2.7158183926936004,3,occupancy_K3_p01,occupancy_contrast,low
confirm_K3_i000079,Transformer,0.0371573958488661,0.0357049021677621,128,0.002217937838313,128.0,128.0,0.0350894130587588,-14.56211647611544,3,occupancy_K3_p01,occupancy_contrast,low
confirm_K3_i000162,GRU,0.0312958432968081,0.0273038400428246,8,0.0,,,0.0151441820116251,3.424445029541122,3,gain_K3_p14,gain_contrast,high
confirm_K3_i000162,Transformer,0.0362362062830684,0.0330886497917098,8,0.0,,,0.0420420112859616,-1.365483086541912,3,gain_K3_p14,gain_contrast,high
confirm_K3_i000306,GRU,0.0312965274082926,0.018632475256477,8,0.0,,,0.0222008470784358,1.3518861349793383,3,gain_K3_p15,gain_contrast,high
confirm_K3_i000306,Transformer,0.0402632866647293,0.0371472879198069,32,0.0017560340372898,32.0,32.0,0.0406216610561542,-0.2350311619432763,3,gain_K3_p15,gain_contrast,high
confirm_K3_i000322,GRU,0.0269582549087235,0.0246633818658481,32,0.0021952331046795,32.0,32.0,0.0089167536503411,6.213033576084475,3,occupancy_K3_p01,occupancy_contrast,high
confirm_K3_i000322,Transformer,0.0313272361013761,0.0271057240757068,32,0.0014980812724384,32.0,32.0,0.012774036944542,-1.900733044097368,3,occupancy_K3_p01,occupancy_contrast,high
confirm_K3_i000325,GRU,0.0305380551799843,0.0279742544382455,32,0.0013659237451774,32.0,32.0,0.0176193032208312,0.3467013358553569,3,occupancy_K3_p03,occupancy_contrast,low
confirm_K3_i000325,Transformer,0.0361487070333911,0.035194855237699,32,6.04724980005078e-06,32.0,32.0,0.012825757617079,1.1959932228334793,3,occupancy_K3_p03,occupancy_contrast,low
confirm_K3_i000505,GRU,0.0233193777668506,0.0181679329280636,128,0.0086537443741739,128.0,128.0,0.0242035481659966,-0.1783232629684484,3,occupancy_K3_p02,occupancy_contrast,high
confirm_K3_i000505,Transformer,0.0271991948973158,0.0187624225522624,8,0.0,,,0.018441917829553,28.63504124346157,3,occupancy_K3_p02,occupancy_contrast,high
confirm_K3_i000696,GRU,0.0341990637609119,0.0222718315580976,8,0.0,,,0.0175306236808749,82.42589407082717,3,gain_K3_p13,gain_contrast,low
