contrast,architecture,outcome,K,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,GRU,A_width_shape,3,3,-0.0050504457864943,-0.0068904008417728,-0.0072979001022534,-0.0009630364154566,0.2455754424557544,0.0
gain_contrast,GRU,A_width_shape,4,3,0.0001958745529874,0.000903567936548,-0.0093168913015377,0.009000947023952,1.0,0.6666666666666666
gain_contrast,GRU,A_width_shape,5,3,0.0037295457049038,0.0044329291684924,0.0001119219146864,0.0066437860315326,0.2394760523947605,1.0
gain_contrast,GRU,A_width_shape,6,3,-0.0033365579229643,-0.0050206041450583,-0.0058577654499903,0.0008686958261556,0.5017498250174982,0.3333333333333333
gain_contrast,GRU,best_shape_rmse,3,3,-0.0055814235279904,-0.0070137212080636,-0.0180505327516211,0.0083199833757133,0.7541245875412459,0.3333333333333333
gain_contrast,GRU,best_shape_rmse,4,3,-0.0001157619358654,0.0022866300510941,-0.0097565677528504,0.00712265189416,1.0,0.6666666666666666
gain_contrast,GRU,best_shape_rmse,5,3,0.0041018067439521,0.0003544451227726,-0.0026509737992417,0.0146019489083256,0.7530246975302469,0.6666666666666666
gain_contrast,GRU,best_shape_rmse,6,3,-0.0040760669215628,-0.0039176592053567,-0.0054663339203523,-0.0028442076389794,0.2494750524947505,0.0
gain_contrast,GRU,mean_excess_ce_H,3,3,-0.0033081888637367,-0.00572894263573,-0.010115616473278,0.0059199925177979,0.7463253674632536,0.3333333333333333
gain_contrast,GRU,mean_excess_ce_H,4,3,0.0116042082137951,0.017724264350331,-0.0035234447012224,0.0206118049922768,0.5094490550944906,0.6666666666666666
gain_contrast,GRU,mean_excess_ce_H,5,3,0.0097328375188658,0.0089124717536222,0.0034300116487592,0.0168560291542159,0.2495750424957504,1.0
gain_contrast,GRU,mean_excess_ce_H,6,3,-0.0028931594309911,-0.0036669226779439,-0.0049204740465517,-9.208156847762342e-05,0.2544745525447455,0.0
gain_contrast,Transformer,A_width_shape,3,3,-0.0025963485266517,-0.0066018039853871,-0.0098984559202144,0.0087112143256464,0.7439256074392561,0.3333333333333333
gain_contrast,Transformer,A_width_shape,4,3,0.004500958179534,0.0072179068069212,-0.0051048480455159,0.0113898157771967,0.5003499650034996,0.6666666666666666
gain_contrast,Transformer,A_width_shape,5,3,-0.0006922061211806,-0.0038524280479664,-0.0040784050747103,0.0058542147591349,1.0,0.3333333333333333
gain_contrast,Transformer,A_width_shape,6,3,-0.0061179404692432,-0.0037562182467154,-0.0171696697655683,0.0025720666045539,0.5000499950005,0.3333333333333333
gain_contrast,Transformer,best_shape_rmse,3,3,0.0041780417846414,0.0020512914269598,-0.0011854221567498,0.0116682560837142,0.5024497550244975,0.6666666666666666
gain_contrast,Transformer,best_shape_rmse,4,3,0.0015223492494469,0.0017501559418692,-0.0081919183725858,0.0110088101790573,0.7501249875012499,0.6666666666666666
gain_contrast,Transformer,best_shape_rmse,5,3,0.0002556093149192,-0.0006380449236001,-0.0051228425607719,0.0065277154291297,1.0,0.3333333333333333
gain_contrast,Transformer,best_shape_rmse,6,3,-0.0018315038931343,0.0013335843237217,-0.009853290850366,0.003025194847241,1.0,0.6666666666666666
gain_contrast,Transformer,mean_excess_ce_H,3,3,0.0127515299967835,0.0107138957494186,-0.006970277908519,0.0345109721494508,0.5017498250174982,0.6666666666666666
gain_contrast,Transformer,mean_excess_ce_H,4,3,0.0148485868798781,0.017407796711735,-0.0028597456511672,0.0299977095790666,0.4983501649835016,0.6666666666666666
gain_contrast,Transformer,mean_excess_ce_H,5,3,0.0271152968613455,0.0265798792455143,0.0257746694706531,0.028991341867869,0.250974902509749,1.0
gain_contrast,Transformer,mean_excess_ce_H,6,3,0.0009640821399584,-0.0015469966747741,-0.0095290555100476,0.0139682986046971,1.0,0.3333333333333333
occupancy_contrast,GRU,A_width_shape,3,3,-0.0111246120763851,-0.0114578978935621,-0.018720988923645,-0.0031949494119483,0.2490750924907509,0.0
occupancy_contrast,GRU,A_width_shape,4,3,-0.0183751325931312,-0.010968289517454,-0.0337908806141771,-0.0103662276477626,0.2443755624437556,0.0
occupancy_contrast,GRU,A_width_shape,5,3,-0.0161434606464217,-0.0170525298836612,-0.0189611122481828,-0.0124167398074211,0.2557744225577442,0.0
occupancy_contrast,GRU,A_width_shape,6,3,-0.0172381774016237,-0.0145856820696082,-0.0259845542426887,-0.0111442958925742,0.248975102489751,0.0
occupancy_contrast,GRU,best_shape_rmse,3,3,-0.0060674752881761,-0.0012794030242364,-0.0158964369145751,-0.0010265859257168,0.2527747225277472,0.0
occupancy_contrast,GRU,best_shape_rmse,4,3,-0.0179097799073023,-0.0119224564486014,-0.0338469210791948,-0.0079599621941108,0.2447755224477552,0.0
occupancy_contrast,GRU,best_shape_rmse,5,3,-0.0129620817317161,-0.0150829621196773,-0.0150851826353718,-0.0087181004400991,0.247975202479752,0.0
occupancy_contrast,GRU,best_shape_rmse,6,3,-0.0107852760809504,-0.0062300737857245,-0.0203997037671624,-0.0057260506899643,0.2500749925007499,0.0
occupancy_contrast,GRU,mean_excess_ce_H,3,3,-0.0015238462201807,0.0037597496482155,-0.0135085777554585,0.0051772894467008,1.0,0.6666666666666666
occupancy_contrast,GRU,mean_excess_ce_H,4,3,0.0045761328614101,-0.0030114220497076,-0.0082668794406457,0.025006700074584,1.0,0.3333333333333333
occupancy_contrast,GRU,mean_excess_ce_H,5,3,0.0040339753679003,0.0087441002150464,-0.0073441425040533,0.010701968392708,0.4980501949805019,0.6666666666666666
occupancy_contrast,GRU,mean_excess_ce_H,6,3,0.0005287800031418,0.0001120648476152,-0.0032931877068312,0.0047674628686415,0.7558244175582441,0.6666666666666666
occupancy_contrast,Transformer,A_width_shape,3,3,-0.0074836587662756,-0.0058301597474899,-0.0111547580170754,-0.0054660585342613,0.2425757424257574,0.0
occupancy_contrast,Transformer,A_width_shape,4,3,-0.0186211978857909,-0.0207248171320191,-0.0209464759486385,-0.0141923005767152,0.244975502449755,0.0
occupancy_contrast,Transformer,A_width_shape,5,3,-0.0282104248747852,-0.0378009567514675,-0.0386229490157157,-0.0082073688571723,0.248975102489751,0.0
occupancy_contrast,Transformer,A_width_shape,6,3,-0.0193370984244658,-0.0180136968972651,-0.0231685128671928,-0.0168290855089396,0.2496750324967503,0.0
occupancy_contrast,Transformer,best_shape_rmse,3,3,-0.0104626888029228,-0.0085991780920552,-0.0169963551323648,-0.0057925331843483,0.2505749425057494,0.0
occupancy_contrast,Transformer,best_shape_rmse,4,3,-0.0152100971541162,-0.0167080258788457,-0.0204866034998673,-0.0084356620836355,0.2522747725227477,0.0
occupancy_contrast,Transformer,best_shape_rmse,5,3,-0.0231865599404657,-0.023143932856731,-0.0350802899076726,-0.0113354570569935,0.252974702529747,0.0
occupancy_contrast,Transformer,best_shape_rmse,6,3,-0.0113347993918109,-0.0122823862936273,-0.0129407836135586,-0.0087812282682467,0.2491750824917508,0.0
occupancy_contrast,Transformer,mean_excess_ce_H,3,3,-0.0096854964870929,-0.0072050880221107,-0.0223153761142168,0.0004639746750486,0.4957504249575042,0.3333333333333333
occupancy_contrast,Transformer,mean_excess_ce_H,4,3,0.0054003061529344,0.005011002528959,0.0024170140583422,0.0087729018715019,0.2565743425657434,1.0
occupancy_contrast,Transformer,mean_excess_ce_H,5,3,0.0233198946368263,0.0247889091392446,0.0172992543587864,0.027871520412448,0.2468753124687531,1.0
occupancy_contrast,Transformer,mean_excess_ce_H,6,3,0.0038114975357236,0.0072452696752058,-0.0117954803398878,0.0159847032718528,0.7491250874912508,0.6666666666666666
