contrast,source,architecture,outcome,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,neural,GRU,A_width_shape,12,-0.0011153958628918,-0.0004255572503851,-0.004271265014925,0.0021326325851492,0.5174482551744826,0.5
gain_contrast,neural,GRU,best_shape_rmse,12,-0.0014178614103666,-0.0027475907191105,-0.0061151908108046,0.003454971625806,0.5736426357364264,0.4166666666666667
gain_contrast,neural,GRU,mean_excess_ce_H,12,0.0037839243594832,0.0016689650401408,-0.0015330604938866,0.0094376478596075,0.2231776822317768,0.5
gain_contrast,neural,Transformer,A_width_shape,12,-0.0012263842343853,-0.0038043231473409,-0.0059912981771621,0.0033357998609921,0.6198380161983802,0.4166666666666667
gain_contrast,neural,Transformer,best_shape_rmse,12,0.0010311241139682,0.0015418701327954,-0.0025833234749097,0.004718973620664,0.6021397860213978,0.5833333333333334
gain_contrast,neural,Transformer,mean_excess_ce_H,12,0.0139198739694914,0.0156880476582161,0.0053950863178232,0.0223595037619903,0.0134986501349865,0.6666666666666666
occupancy_contrast,neural,GRU,A_width_shape,12,-0.0157203456793904,-0.0135012109385146,-0.0203039635681587,-0.0116662178122577,0.0008999100089991,0.0
occupancy_contrast,neural,GRU,best_shape_rmse,12,-0.0119311532520362,-0.0103202784443503,-0.0173153831991614,-0.0073182043135536,0.0005999400059994,0.0
occupancy_contrast,neural,GRU,mean_excess_ce_H,12,0.0019037605030679,0.0019359072479153,-0.0034568435764804,0.0077107043873683,0.5537446255374463,0.5833333333333334
occupancy_contrast,neural,Transformer,A_width_shape,12,-0.0184130949878294,-0.0174213912031023,-0.0245632082708013,-0.0128038953360795,0.0008999100089991,0.0
occupancy_contrast,neural,Transformer,best_shape_rmse,12,-0.0150485363223289,-0.0126115849535929,-0.019844122854975,-0.0110657622824902,0.0005999400059994,0.0
occupancy_contrast,neural,Transformer,mean_excess_ce_H,12,0.0057115504595978,0.0061281361020824,-0.0024510616858065,0.0136350192521248,0.2078792120787921,0.75
