source,pair_id,contrast,K,hmm_low,hmm_high,architecture,outcome,value_low,value_high,effect_high_minus_low
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,GRU,A_width_shape,0.0384161528022856,0.0269582549087235,-0.0114578978935621
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,GRU,best_shape_rmse,0.0256899677915649,0.0246633818658481,-0.0010265859257168
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,GRU,mean_excess_ce_H,0.0224253314057996,0.0089167536503411,-0.0135085777554585
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,Transformer,A_width_shape,0.0371573958488661,0.0313272361013761,-0.0058301597474899
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,Transformer,best_shape_rmse,0.0357049021677621,0.0271057240757068,-0.0085991780920552
neural,occupancy_K3_p01,occupancy_contrast,3,confirm_K3_i000079,confirm_K3_i000322,Transformer,mean_excess_ce_H,0.0350894130587588,0.012774036944542,-0.0223153761142168
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,GRU,A_width_shape,0.0420403666904956,0.0233193777668506,-0.018720988923645
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,GRU,best_shape_rmse,0.0340643698426387,0.0181679329280636,-0.0158964369145751
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,GRU,mean_excess_ce_H,0.0204437985177811,0.0242035481659966,0.0037597496482155
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,Transformer,A_width_shape,0.0326652534315772,0.0271991948973158,-0.0054660585342613
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,Transformer,best_shape_rmse,0.0245549557366107,0.0187624225522624,-0.0057925331843483
neural,occupancy_K3_p02,occupancy_contrast,3,confirm_K3_i001129,confirm_K3_i000505,Transformer,mean_excess_ce_H,0.0256470058516637,0.018441917829553,-0.0072050880221107
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,GRU,A_width_shape,0.0305380551799843,0.0273431057680359,-0.0031949494119483
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,GRU,best_shape_rmse,0.0279742544382455,0.026694851414009,-0.0012794030242364
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,GRU,mean_excess_ce_H,0.0176193032208312,0.022796592667532,0.0051772894467008
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,Transformer,A_width_shape,0.0361487070333911,0.0249939490163156,-0.0111547580170754
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,Transformer,best_shape_rmse,0.035194855237699,0.0181985001053341,-0.0169963551323648
neural,occupancy_K3_p03,occupancy_contrast,3,confirm_K3_i000325,confirm_K3_i000796,Transformer,mean_excess_ce_H,0.012825757617079,0.0132897322921277,0.0004639746750486
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,GRU,A_width_shape,0.0389267819711533,0.0279584924536992,-0.010968289517454
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,GRU,best_shape_rmse,0.0341111755987669,0.0221887191501654,-0.0119224564486014
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,GRU,mean_excess_ce_H,0.0151521701866512,0.0401588702612352,0.025006700074584
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,Transformer,A_width_shape,0.0453911626595009,0.0244446867108624,-0.0209464759486385
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,Transformer,best_shape_rmse,0.0419869850470892,0.0215003815472218,-0.0204866034998673
neural,occupancy_K4_p04,occupancy_contrast,4,confirm_K4_i000541,confirm_K4_i000955,Transformer,mean_excess_ce_H,0.0439160599563643,0.0463330740147066,0.0024170140583422
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,GRU,A_width_shape,0.0499177175208457,0.0161268369066685,-0.0337908806141771
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,GRU,best_shape_rmse,0.0448032701279639,0.010956349048769,-0.0338469210791948
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,GRU,mean_excess_ce_H,0.0297443255880382,0.0214774461473924,-0.0082668794406457
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,Transformer,A_width_shape,0.0420987480847676,0.0213739309527485,-0.0207248171320191
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,Transformer,best_shape_rmse,0.0340948093123757,0.0173867834335299,-0.0167080258788457
neural,occupancy_K4_p05,occupancy_contrast,4,confirm_K4_i000499,confirm_K4_i000025,Transformer,mean_excess_ce_H,0.0136238555211729,0.0223967573926749,0.0087729018715019
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,GRU,A_width_shape,0.0311236959455328,0.0207574682977702,-0.0103662276477626
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,GRU,best_shape_rmse,0.0254307069115482,0.0174707447174374,-0.0079599621941108
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,GRU,mean_excess_ce_H,0.0190642307567815,0.0160528087070738,-0.0030114220497076
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,Transformer,A_width_shape,0.0318712712762045,0.0176789706994892,-0.0141923005767152
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,Transformer,best_shape_rmse,0.0231447770352561,0.0147091149516206,-0.0084356620836355
neural,occupancy_K4_p06,occupancy_contrast,4,confirm_K4_i000700,confirm_K4_i000647,Transformer,mean_excess_ce_H,0.0126710007953862,0.0176820033243452,0.005011002528959
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,GRU,A_width_shape,0.0301390078802116,0.0177222680727904,-0.0124167398074211
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,GRU,best_shape_rmse,0.0262513315701335,0.0111661489347616,-0.0150851826353718
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,GRU,mean_excess_ce_H,0.0074265178849047,0.0161706180999511,0.0087441002150464
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,Transformer,A_width_shape,0.0549138187393499,0.0162908697236341,-0.0386229490157157
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,Transformer,best_shape_rmse,0.0476275182877055,0.0125472283800329,-0.0350802899076726
neural,occupancy_K5_p07,occupancy_contrast,5,confirm_K5_i001021,confirm_K5_i000095,Transformer,mean_excess_ce_H,-0.0012858508219573,0.0235030583172872,0.0247889091392446
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,GRU,A_width_shape,0.0431467942139337,0.0241856819657509,-0.0189611122481828
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,GRU,best_shape_rmse,0.0355916309340698,0.0205086688143924,-0.0150829621196773
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,GRU,mean_excess_ce_H,0.0325091550551795,0.0251650125511262,-0.0073441425040533
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,Transformer,A_width_shape,0.0343975827852612,0.0261902139280888,-0.0082073688571723
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,Transformer,best_shape_rmse,0.030373674246331,0.0190382171893375,-0.0113354570569935
neural,occupancy_K5_p08,occupancy_contrast,5,confirm_K5_i001171,confirm_K5_i000670,Transformer,mean_excess_ce_H,0.0073964029354794,0.0352679233479274,0.027871520412448
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,GRU,A_width_shape,0.0369788688246679,0.0199263389410066,-0.0170525298836612
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,GRU,best_shape_rmse,0.0274453700532141,0.0187272696131149,-0.0087181004400991
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,GRU,mean_excess_ce_H,0.0170175444288637,0.0277195128215717,0.010701968392708
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,Transformer,A_width_shape,0.0558065871404208,0.0180056303889532,-0.0378009567514675
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,Transformer,best_shape_rmse,0.0393377873840244,0.0161938545272934,-0.023143932856731
neural,occupancy_K5_p09,occupancy_contrast,5,confirm_K5_i000172,confirm_K5_i000796,Transformer,mean_excess_ce_H,0.0102976695898757,0.0275969239486622,0.0172992543587864
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,GRU,A_width_shape,0.0367195686474252,0.025575272754851,-0.0111442958925742
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,GRU,best_shape_rmse,0.0242195145439897,0.0184934638540254,-0.0057260506899643
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,GRU,mean_excess_ce_H,0.0104452236681594,0.0152126865368009,0.0047674628686415
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,Transformer,A_width_shape,0.0391848212983263,0.0223557357893867,-0.0168290855089396
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,Transformer,best_shape_rmse,0.0287833686094556,0.015842584995897,-0.0129407836135586
neural,occupancy_K6_p10,occupancy_contrast,6,confirm_K6_i000561,confirm_K6_i000835,Transformer,mean_excess_ce_H,0.0140658730456644,0.0213111427208703,0.0072452696752058
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,GRU,A_width_shape,0.041622816348815,0.0270371342792068,-0.0145856820696082
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,GRU,best_shape_rmse,0.029387688939756,0.0231576151540314,-0.0062300737857245
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,GRU,mean_excess_ce_H,0.0127437388692377,0.012855803716853,0.0001120648476152
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,Transformer,A_width_shape,0.0507065157832251,0.0275380029160322,-0.0231685128671928
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,Transformer,best_shape_rmse,0.0361282868650696,0.0238459005714423,-0.0122823862936273
neural,occupancy_K6_p11,occupancy_contrast,6,confirm_K6_i000306,confirm_K6_i000268,Transformer,mean_excess_ce_H,0.0053865130537826,0.0213712163256354,0.0159847032718528
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,GRU,A_width_shape,0.0403827272770124,0.0143981730343237,-0.0259845542426887
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,GRU,best_shape_rmse,0.0320125161348941,0.0116128123677317,-0.0203997037671624
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,GRU,mean_excess_ce_H,0.0195745214041013,0.0162813336972701,-0.0032931877068312
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,Transformer,A_width_shape,0.0379548861452913,0.0199411892480262,-0.0180136968972651
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,Transformer,best_shape_rmse,0.0273083484423336,0.0185271201740868,-0.0087812282682467
neural,occupancy_K6_p12,occupancy_contrast,6,confirm_K6_i000775,confirm_K6_i000161,Transformer,mean_excess_ce_H,0.0178077081060348,0.006012227766147,-0.0117954803398878
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,GRU,A_width_shape,0.0341990637609119,0.0332360273454552,-0.0009630364154566
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,GRU,best_shape_rmse,0.0222718315580976,0.030591814933811,0.0083199833757133
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,GRU,mean_excess_ce_H,0.0175306236808749,0.0118016810451449,-0.00572894263573
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,Transformer,A_width_shape,0.0359703120752749,0.0260718561550605,-0.0098984559202144
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,Transformer,best_shape_rmse,0.0233264271738281,0.0221410050170782,-0.0011854221567498
neural,gain_K3_p13,gain_contrast,3,confirm_K3_i000696,confirm_K3_i001038,Transformer,mean_excess_ce_H,0.0108764947518957,0.0039062168433767,-0.006970277908519
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,GRU,A_width_shape,0.0385937433990615,0.0312958432968081,-0.0072979001022534
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,GRU,best_shape_rmse,0.0343175612508882,0.0273038400428246,-0.0070137212080636
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,GRU,mean_excess_ce_H,0.0252597984849032,0.0151441820116251,-0.010115616473278
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,Transformer,A_width_shape,0.0428380102684556,0.0362362062830684,-0.0066018039853871
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,Transformer,best_shape_rmse,0.0310373583647499,0.0330886497917098,0.0020512914269598
neural,gain_K3_p14,gain_contrast,3,confirm_K3_i001170,confirm_K3_i000162,Transformer,mean_excess_ce_H,0.0075310391365107,0.0420420112859616,0.0345109721494508
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,GRU,A_width_shape,0.0381869282500654,0.0312965274082926,-0.0068904008417728
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,GRU,best_shape_rmse,0.0366830080080981,0.018632475256477,-0.0180505327516211
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,GRU,mean_excess_ce_H,0.0162808545606379,0.0222008470784358,0.0059199925177979
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,Transformer,A_width_shape,0.0315520723390828,0.0402632866647293,0.0087112143256464
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,Transformer,best_shape_rmse,0.0254790318360926,0.0371472879198069,0.0116682560837142
neural,gain_K3_p15,gain_contrast,3,confirm_K3_i000012,confirm_K3_i000306,Transformer,mean_excess_ce_H,0.0299077653067355,0.0406216610561542,0.0107138957494186
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,GRU,A_width_shape,0.0347093922011674,0.0356129601377155,0.000903567936548
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,GRU,best_shape_rmse,0.0244142294456043,0.0315368813397644,0.00712265189416
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,GRU,mean_excess_ce_H,0.0065601111009849,0.024284375451316,0.017724264350331
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,Transformer,A_width_shape,0.0341302715384753,0.0413481783453966,0.0072179068069212
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,Transformer,best_shape_rmse,0.0285162688786774,0.0302664248205467,0.0017501559418692
neural,gain_K4_p16,gain_contrast,4,confirm_K4_i000291,confirm_K4_i000657,Transformer,mean_excess_ce_H,0.0094719082668556,0.0394696178459223,0.0299977095790666
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,GRU,A_width_shape,0.0341701256648695,0.0248532343633317,-0.0093168913015377
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,GRU,best_shape_rmse,0.0291268566354757,0.0193702888826252,-0.0097565677528504
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,GRU,mean_excess_ce_H,0.0229476723815463,0.0194242276803239,-0.0035234447012224
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,Transformer,A_width_shape,0.0309450254847079,0.025840177439192,-0.0051048480455159
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,Transformer,best_shape_rmse,0.0271941034052174,0.0190021850326316,-0.0081919183725858
neural,gain_K4_p17,gain_contrast,4,confirm_K4_i000183,confirm_K4_i000930,Transformer,mean_excess_ce_H,0.0161628170555295,0.0335706137672646,0.017407796711735
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,GRU,A_width_shape,0.0282513373907369,0.0372522844146889,0.009000947023952
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,GRU,best_shape_rmse,0.0192613400655195,0.0215479701166136,0.0022866300510941
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,GRU,mean_excess_ce_H,0.0160907239871391,0.0367025289794159,0.0206118049922768
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,Transformer,A_width_shape,0.0257634405026949,0.0371532562798916,0.0113898157771967
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,Transformer,best_shape_rmse,0.0222309603943925,0.0332397705734498,0.0110088101790573
neural,gain_K4_p18,gain_contrast,4,confirm_K4_i000480,confirm_K4_i000754,Transformer,mean_excess_ce_H,0.0316445913073588,0.0287848456561916,-0.0028597456511672
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,GRU,A_width_shape,0.0289495157116644,0.0333824448801569,0.0044329291684924
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,GRU,best_shape_rmse,0.0234579245624843,0.023812369685257,0.0003544451227726
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,GRU,mean_excess_ce_H,0.0416329632483618,0.045062974897121,0.0034300116487592
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,Transformer,A_width_shape,0.0330752780520464,0.0289968729773361,-0.0040784050747103
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,Transformer,best_shape_rmse,0.0321862183677763,0.0270633758070043,-0.0051228425607719
neural,gain_K5_p19,gain_contrast,5,confirm_K5_i000132,confirm_K5_i000954,Transformer,mean_excess_ce_H,0.0325990855974651,0.0615904274653342,0.028991341867869
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,GRU,A_width_shape,0.0351176396124792,0.0417614256440119,0.0066437860315326
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,GRU,best_shape_rmse,0.0215588248803392,0.0361607737886648,0.0146019489083256
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,GRU,mean_excess_ce_H,0.0266049018682944,0.0434609310225103,0.0168560291542159
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,Transformer,A_width_shape,0.0277598396004833,0.0336140543596182,0.0058542147591349
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,Transformer,best_shape_rmse,0.0259191934805555,0.0324469089096853,0.0065277154291297
neural,gain_K5_p20,gain_contrast,5,confirm_K5_i000105,confirm_K5_i000999,Transformer,mean_excess_ce_H,0.0231657163482812,0.0497455955937956,0.0265798792455143
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,GRU,A_width_shape,0.024443764453373,0.0245556863680594,0.0001119219146864
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,GRU,best_shape_rmse,0.0186714259033087,0.016020452104067,-0.0026509737992417
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,GRU,mean_excess_ce_H,0.0275631335272684,0.0364756052808907,0.0089124717536222
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,Transformer,A_width_shape,0.0337457039825597,0.0298932759345932,-0.0038524280479664
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,Transformer,best_shape_rmse,0.0288057707098775,0.0281677257862773,-0.0006380449236001
neural,gain_K5_p21,gain_contrast,5,confirm_K5_i000777,confirm_K5_i001023,Transformer,mean_excess_ce_H,0.000584603537549,0.0263592730082021,0.0257746694706531
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,GRU,A_width_shape,0.0306916960232862,0.0256710918782278,-0.0050206041450583
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,GRU,best_shape_rmse,0.0244451305676782,0.0216009229286988,-0.0028442076389794
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,GRU,mean_excess_ce_H,0.0406793440354691,0.0370124213575252,-0.0036669226779439
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,Transformer,A_width_shape,0.0318916496263507,0.0281354313796353,-0.0037562182467154
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,Transformer,best_shape_rmse,0.0196237614677321,0.0226489563149732,0.003025194847241
neural,gain_K6_p22,gain_contrast,6,confirm_K6_i000915,confirm_K6_i001089,Transformer,mean_excess_ce_H,0.0278479109180795,0.0418162095227766,0.0139682986046971
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,GRU,A_width_shape,0.0332130441987115,0.0273552787487211,-0.0058577654499903
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,GRU,best_shape_rmse,0.0248811219227436,0.0209634627173868,-0.0039176592053567
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,GRU,mean_excess_ce_H,0.0165357659995873,0.0164436844311096,-9.208156847762342e-05
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,Transformer,A_width_shape,0.0373678194651309,0.0201981496995626,-0.0171696697655683
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,Transformer,best_shape_rmse,0.0260610866939699,0.0162077958436039,-0.009853290850366
neural,gain_K6_p23,gain_contrast,6,confirm_K6_i000210,confirm_K6_i000442,Transformer,mean_excess_ce_H,0.0202062806229113,0.0186592839481372,-0.0015469966747741
neural,gain_K6_p24,gain_contrast,6,confirm_K6_i000208,confirm_K6_i001063,GRU,A_width_shape,0.0181005757906951,0.0189692716168507,0.0008686958261556
neural,gain_K6_p24,gain_contrast,6,confirm_K6_i000208,confirm_K6_i001063,GRU,best_shape_rmse,0.0162195371655745,0.0107532032452221,-0.0054663339203523
