pair_index,pair_type,architecture,hmm_a,hmm_b,A_width_a,A_width_b,signed_expected_effect
0,rank_contrast,GRU,bank_K3_i000956,bank_K3_i000215,0.0081179821260127,0.0145946855923462,0.0064767034663334
0,rank_contrast,Transformer,bank_K3_i000956,bank_K3_i000215,0.0129503641687955,0.0177288616562473,0.0047784974874517
1,sigma_contrast,GRU,bank_K3_i000970,bank_K3_i001094,0.0274620485670526,0.0191651180286719,-0.0082969305383807
1,sigma_contrast,Transformer,bank_K3_i000970,bank_K3_i001094,0.0264798360266158,0.0228057494279815,-0.0036740865986343
2,rank_contrast,GRU,bank_K4_i000559,bank_K4_i000184,0.0233158550365918,0.0194333654468493,-0.0038824895897424
2,rank_contrast,Transformer,bank_K4_i000559,bank_K4_i000184,0.0226105843200848,0.0207812396249975,-0.0018293446950873
3,sigma_contrast,GRU,bank_K4_i001237,bank_K4_i000146,0.0274443748155344,0.0094965584165415,-0.0179478163989928
3,sigma_contrast,Transformer,bank_K4_i001237,bank_K4_i000146,0.0173390599936516,0.0116537602703982,-0.0056852997232533
4,rank_contrast,GRU,bank_K5_i000689,bank_K5_i000044,0.0164056996004387,0.0176844539474222,0.0012787543469834
4,rank_contrast,Transformer,bank_K5_i000689,bank_K5_i000044,0.0133009523238025,0.0237489239782903,0.0104479716544877
5,sigma_contrast,GRU,bank_K5_i000130,bank_K5_i000458,0.0138783619301325,0.016513501743363,0.0026351398132305
5,sigma_contrast,Transformer,bank_K5_i000130,bank_K5_i000458,0.017563237725533,0.0196212460405853,0.0020580083150522
6,rank_contrast,GRU,bank_K6_i000841,bank_K6_i000250,0.0386745241172981,0.0405313015326425,0.0018567774153444
6,rank_contrast,Transformer,bank_K6_i000841,bank_K6_i000250,0.0452052881165803,0.0394705875608545,-0.0057347005557258
7,sigma_contrast,GRU,bank_K6_i001071,bank_K6_i000724,0.0272460043642262,0.019232633521528,-0.0080133708426981
7,sigma_contrast,Transformer,bank_K6_i001071,bank_K6_i000724,0.0295791942087513,0.0204029999184312,-0.0091761942903201
