hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio
bank_K3_i000215,GRU,0.0145946855923462,0.0125933743335651,8,0.0,,,0.0180370880747492,-57.81875242547242
bank_K3_i000215,Transformer,0.0177288616562473,0.0134598994255291,8,0.0,,,0.0181508604272858,-35.06746406882974
bank_K3_i000956,GRU,0.0081179821260127,0.0055968761326135,32,0.0002910165361005,32.0,32.0,0.0142690249785237,-39.15806888490653
bank_K3_i000956,Transformer,0.0129503641687955,0.0077887059499255,8,0.0,,,0.0179408995811594,-21.61325248316949
bank_K3_i000970,GRU,0.0274620485670526,0.0189925042708868,8,0.0,,,0.005200999183901,7.534894983922888
bank_K3_i000970,Transformer,0.0264798360266158,0.0185282439328672,8,0.0,,,0.012918493353772,4.207977711059745
bank_K3_i001094,GRU,0.0191651180286719,0.0129159250619616,8,0.0,,,0.0200539227420798,-3.473805327127931
bank_K3_i001094,Transformer,0.0228057494279815,0.019761201140403,8,0.0,,,0.0182290167703937,-2.04510821185797
bank_K4_i000146,GRU,0.0094965584165415,0.0064826820754752,8,0.0,,,0.0128655026606353,-311.05118387345306
bank_K4_i000146,Transformer,0.0116537602703982,0.0083046381053445,32,0.0006319106049043,32.0,32.0,0.0171247393142811,-300.5615246672551
bank_K4_i000184,GRU,0.0194333654468493,0.0181657147283404,128,0.0029887588429956,128.0,128.0,0.0166439604441227,-11.992161420728726
bank_K4_i000184,Transformer,0.0207812396249975,0.0191698533850775,128,0.0012297174819819,128.0,128.0,0.016093478270362,-104.95107569611798
bank_K4_i000559,GRU,0.0233158550365918,0.0148823809523652,8,0.0,,,0.0115154686952307,52.370543442126085
bank_K4_i000559,Transformer,0.0226105843200848,0.0211073327703411,8,0.0,,,0.0125660303617193,4.576530208126151
bank_K4_i001237,GRU,0.0274443748155344,0.0239146663196176,8,0.0,,,0.0238281000441229,-415.9709149806413
bank_K4_i001237,Transformer,0.0173390599936516,0.012678260730677,128,0.0125546327197814,128.0,128.0,0.0225652440176324,10.299176629626931
bank_K5_i000044,GRU,0.0176844539474222,0.0118285528029968,128,0.0081535162137322,128.0,128.0,0.010547025325318,2.547712777309864
bank_K5_i000044,Transformer,0.0237489239782903,0.0213164973719834,32,0.0004942940209852,32.0,32.0,0.0158434582972724,1.97482409672298
bank_K5_i000130,GRU,0.0138783619301325,0.0127423084654905,128,0.001310886154504,128.0,128.0,0.014132952231157,-54.98406900436684
bank_K5_i000130,Transformer,0.017563237725533,0.0127946955541338,32,0.002551930002798,32.0,32.0,0.0212541704753917,-77.92143964028767
bank_K5_i000458,GRU,0.016513501743363,0.0154413464847718,32,0.0017039002752548,32.0,32.0,0.0034061357416319,111.107000682731
bank_K5_i000458,Transformer,0.0196212460405853,0.017003661292785,8,0.0,,,0.0160679648357239,65.92003084797544
bank_K5_i000689,GRU,0.0164056996004387,0.0125020516474591,8,0.0,,,0.0206772936937207,-4.682415316256179
bank_K5_i000689,Transformer,0.0133009523238025,0.0106021189605759,8,0.0,,,0.0195895695246254,-1.4939204733788858
bank_K6_i000250,GRU,0.0405313015326425,0.0370030848036846,8,0.0,,,0.0548007191776109,0.639653076633489
bank_K6_i000250,Transformer,0.0394705875608545,0.0347916531122681,128,0.0051697106649743,128.0,128.0,0.0804927201627565,0.4782699481811476
bank_K6_i000724,GRU,0.019232633521528,0.017746244376494,32,0.0004152520934125,32.0,32.0,0.0134634977899534,49.00904637185948
bank_K6_i000724,Transformer,0.0204029999184312,0.013399915596335,32,0.004603477740414,32.0,32.0,0.0196926575226131,-18.09032081871496
bank_K6_i000841,GRU,0.0386745241172981,0.0314853009637554,128,0.0072582982338623,128.0,128.0,0.0396965480691562,0.8638796176195723
bank_K6_i000841,Transformer,0.0452052881165803,0.0360680586564482,32,0.0111924781268869,32.0,32.0,0.0636555161919564,0.6599960650897766
bank_K6_i001071,GRU,0.0272460043642262,0.0218358094732706,8,0.0,,,0.0114428225219882,68.59173253533935
bank_K6_i001071,Transformer,0.0295791942087513,0.024967335769647,8,0.0,,,0.0242692567965027,31.299570680167395
