hmm_id,source,generator_family,K,accepted_index,attempt_index,gen_seed,candidate_hmm_file,base_self_probability,transition_logit_scale,emission_logit_scale,state_location_scale,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,pred_h4_m3_sv1,pred_h4_m3_sv2,pred_h4_m3_signal,pred_h4_m3_effective_rank,pred_h4_m3_numerical_rank,pred_h4_m3_r90,pred_h4_m3_sigma90,pred_h4_m3_kappa90,pred_h4_m3_r95,pred_h4_m3_sigma95,pred_h4_m3_kappa95,pred_h4_m3_r99,pred_h4_m3_sigma99,pred_h4_m3_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,mean_transition_self_probability,stationary_transition_entropy,transition_density_gt_0p01,stationary_emission_entropy,mean_state_max_emission_probability,emission_density_gt_0p01,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m3_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m3_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,pred_h4_m3_sv5,base_ring_probability,support_size,preferred_emission_mass,residual_floor_mix,log_K,log_gain,rank_value,log_rank,neg_log_sigma,log_tau,log_min_symbol_prob,log_signal,selection_cluster,selection_protocol,selection_order
external_ring_sparse_specialized_K3_i0051,external_generator_bank,ring_sparse_specialized,3,51,51,2046423261,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K3_i0051.npz,0.3260412812150417,,,,8,0.3213320948509654,0.013275680583374,1.6808326076070168,1.6740531270529966,1.673577450018055,1.673551134679004,0.0072814729280128,0.0078097806410564,0.4130575662062277,0.3822356935624976,0.3167206784334157,1.9940130812606172,2,2,0.3822356935624976,1.0806357782981106,2,0.3822356935624976,1.0806357782981106,2,0.3822356935624976,1.0806357782981106,0.4194186734540957,0.3900134391263547,0.3280225063411601,1.9947372519914133,2,2,0.3900134391263547,1.0753954386638829,2,0.3900134391263547,1.0753954386638829,2,0.3900134391263547,1.0753954386638829,0.4198830479994934,0.3906384051758582,0.3289001375956829,1.9948083448046416,2,2,0.3906384051758582,1.0748637165116162,2,0.3906384051758582,1.0748637165116162,2,0.3906384051758582,1.0748637165116162,0.5092249732163067,2.037593490755888,3.0709088950789742,1.8445996494444103,0.8870649222263238,0.2461328798149492,0.013275680583374,0.2220506694449736,0.1085392446021318,0.2461328798149492,0.013275680583374,0.1551908830230258,0.0772859626799759,0.0224457761260776,0.1954055984741705,0.1817239746962948,0.3124884209171045,0.7997890708583447,1.0,1.077751572364279,0.5863498617071897,0.9166666666666666,,,,,,,,,,0.725030394837592,2.0,0.8932717861937856,0.427446662105144,1.0986122886681098,-4.852378402457584,2.0,0.6931471805599453,0.9415740811538076,1.1219735748118531,-4.321821445117523,-1.1146730560582438,0,external_generator_profile_stratified_v1,0
external_ring_sparse_specialized_K3_i0049,external_generator_bank,ring_sparse_specialized,3,49,49,2046421243,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K3_i0049.npz,0.1465482821033192,,,,8,0.3131394525375147,0.023557338798777,1.8996798065333929,1.898503656116597,1.8984416010586465,1.8984383300113947,0.0012414765219981,0.0013100736744524,0.1812431505920298,0.1447804504372134,0.0538104584653276,1.9513907423447356,2,2,0.1447804504372134,1.2518482298176654,2,0.1447804504372134,1.2518482298176654,2,0.1447804504372134,1.2518482298176654,0.1860441886972282,0.1466099648669328,0.0561069219462931,1.945581051005751,2,2,0.1466099648669328,1.268973694019277,2,0.1466099648669328,1.268973694019277,2,0.1466099648669328,1.268973694019277,0.1863086753670504,0.1466870971730444,0.0562280269940791,1.9451884699949955,2,2,0.1466870971730444,1.2701094980921537,2,0.1466870971730444,1.2701094980921537,2,0.1466870971730444,1.2701094980921537,0.2952571538446254,1.4189572912380155,1.8641310774424291,1.927602259291324,0.9269807400953184,0.2095271350978169,0.023557338798777,0.1820706585991796,0.1131637299934371,0.2081002221688435,0.0445703113548851,0.1699360332732262,0.1144330225327896,0.023557338798777,0.2095271350978169,0.1167122067802246,0.1377377218647646,0.9914017375065384,1.0,1.3880937655641818,0.4871725678784556,1.0,,,,,,,,,,0.4829806239303102,3.0,0.8736017457311489,0.2525965984377253,1.0986122886681098,-6.637671903310442,2.0,0.6931471805599453,1.9199795186682191,0.6227950343073526,-3.748317880790061,-2.880496088212967,1,external_generator_profile_stratified_v1,1
external_ring_sparse_specialized_K3_i0190,external_generator_bank,ring_sparse_specialized,3,190,190,2046563512,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K3_i0190.npz,0.0776785802714067,,,,8,0.3103678867615416,0.0290321662850808,1.8524700882690677,1.845670538753607,1.8441064929744488,1.8437801726280707,0.0086899156409967,0.0109066021129111,0.2717062516084444,0.1817186895871604,0.1068459693083861,1.8558549572084737,2,2,0.1817186895871604,1.4952025695635556,2,0.1817186895871604,1.4952025695635556,2,0.1817186895871604,1.4952025695635556,0.2835640675647454,0.21081244791347,0.124850468609133,1.917570064286772,2,2,0.21081244791347,1.3451011568403066,2,0.21081244791347,1.3451011568403066,2,0.21081244791347,1.3451011568403066,0.2871041590442055,0.2153340537685243,0.1287975528528662,1.922113768133816,2,2,0.2153340537685243,1.3332965874168292,2,0.2153340537685243,1.3332965874168292,2,0.2153340537685243,1.3332965874168292,0.5386147919357948,2.1673863455562765,3.059335899456723,1.8984210798272607,0.91294755912862,0.2352853627409907,0.0290321662850808,0.2049593580718503,0.1889034895679363,0.2352853627409907,0.203267420854189,0.0406651393179804,0.0704667038931281,0.0290321662850808,0.1065794299280836,0.1258002874126107,0.0626409846910422,0.7840081473925613,1.0,1.4894932747038667,0.442876340901546,1.0,,,,,,,,,,0.6956002174113957,3.0,0.8408912613253389,0.2788764388286896,1.0986122886681098,-4.51838697467608,2.0,0.6931471805599453,1.556786413235448,1.118197866089337,-3.5393508814396304,-2.080638508886282,2,external_generator_profile_stratified_v1,2
external_ring_sparse_specialized_K3_i0103,external_generator_bank,ring_sparse_specialized,3,103,103,2046475729,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K3_i0103.npz,0.3107400199324038,,,,8,0.3239213745886858,0.0138304324721707,1.7504998634271156,1.748644967328905,1.74860057511217,1.74859840787218,0.0019014555549357,0.001950182251651,0.2139895959734148,0.1726891993103045,0.0756131067432994,1.9555553298596395,2,2,0.1726891993103045,1.239160276543398,2,0.1726891993103045,1.239160276543398,2,0.1726891993103045,1.239160276543398,0.2153187329815421,0.18239596711931,0.0796304455941651,1.97302223139812,2,2,0.18239596711931,1.180501610765859,2,0.18239596711931,1.180501610765859,2,0.18239596711931,1.180501610765859,0.2154121069402501,0.1825434721303453,0.0797244950338399,1.973141506417504,2,2,0.1825434721303453,1.1800592178198237,2,0.1825434721303453,1.1800592178198237,2,0.1825434721303453,1.1800592178198237,0.3392850866203193,1.5135120757072251,2.029950422408736,1.7862964098000953,0.8590269906587857,0.3254882172586716,0.0138304324721707,0.2758530441462289,0.0598713778773849,0.087128635432048,0.2221973582352666,0.3254882172586716,0.0138304324721707,0.0421516301927305,0.1525348356989946,0.0967975128327328,0.3048816173730698,0.9793652520709868,1.0,1.2154669768227997,0.5812829779236354,1.0,,,,,,,,,,0.5629232543393673,3.0,0.9000129409323133,0.4332626398650407,1.0986122886681098,-6.23983244838869,2.0,0.6931471805599453,1.7015753116778396,0.7080113702967121,-4.28088386321082,-2.5303587769207656,3,external_generator_profile_stratified_v1,3
external_ring_sparse_specialized_K4_i0248,external_generator_bank,ring_sparse_specialized,4,248,248,2046722034,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K4_i0248.npz,0.3093787863102205,,,,8,0.2396251494851647,0.0519909137287253,1.936426459302088,1.93273297100622,1.9324811089648184,1.9324631517951685,0.0039633075069194,0.004251083887621,0.273687586268549,0.2054440602178606,0.1299009947894866,2.48671215028982,3,2,0.2054440602178606,1.33217570748125,3,0.113087744840819,2.4201347958064634,3,0.113087744840819,2.4201347958064634,0.2807140143371449,0.2133252840576859,0.1373441093662534,2.4800075747956067,3,2,0.2133252840576859,1.3158965922728418,3,0.1141756309493681,2.4586158359976937,3,0.1141756309493681,2.4586158359976937,0.2811392448232411,0.2139320065943026,0.1378555189333614,2.479749780070568,3,2,0.2139320065943026,1.3141523295127562,3,0.1142337100339229,2.461088278930569,3,0.1142337100339229,2.461088278930569,0.4216500563540709,1.7290569679941192,2.213413094699072,1.9970153215210176,0.960361366979217,0.1950400019035553,0.0519909137287253,0.1407558555514923,0.0872183207211116,0.1734727335039575,0.0519909137287253,0.0749668623006861,0.1303592576852347,0.179423575317032,0.1075283348396973,0.1950400019035553,0.3093753300970863,1.172779384473205,1.0,1.295881095036127,0.5751756633439846,1.0,0.113087744840819,0.1141756309493681,0.1142337100339229,,,,,,,0.4624193343232272,2.0,0.7824118724101105,0.2610729925321096,1.3862943611198906,-5.460581296179612,3.0,1.0986122886681098,2.1700173937659044,0.7945357109325532,-2.9566863116548725,-1.985265755119909,0,external_generator_profile_stratified_v1,4
external_ring_sparse_specialized_K4_i0048,external_generator_bank,ring_sparse_specialized,4,48,48,2046520234,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K4_i0048.npz,0.1322927991222884,,,,8,0.2240800945476468,0.0637912599510815,1.9059355149191155,1.8920716869826677,1.8901153949110272,1.8898685550068008,0.0160669599123146,0.0185169317924074,0.3788226438702275,0.3189465527349164,0.3193730628112653,2.894729390743585,3,3,0.2722858127059674,1.3912683885564971,3,0.2722858127059674,1.3912683885564971,3,0.2722858127059674,1.3912683885564971,0.3959657205494822,0.3375204401862212,0.3539147901751766,2.9035190046853185,3,3,0.2884543131613834,1.372715547948658,3,0.2884543131613834,1.372715547948658,3,0.2884543131613834,1.372715547948658,0.3983061751495598,0.3401640436855674,0.3591386674783434,2.9055609511399494,3,3,0.2911688199302167,1.367956140513329,3,0.2911688199302167,1.367956140513329,3,0.2911688199302167,1.367956140513329,0.5966788930367586,2.4794140022310804,3.8672076378101448,2.030586716046221,0.9765057951116298,0.1875223337436228,0.0637912599510815,0.1096550250714325,0.1623120670115294,0.0937733317750272,0.1089362846289316,0.1615640600468179,0.1875223337436228,0.0637912599510815,0.1081162770886812,0.1139843857543081,0.1168530647873992,0.9333799016243216,1.0,1.3829406617388669,0.5045873776328214,1.0,0.2722858127059674,0.2884543131613834,0.2911688199302167,,,,,,,0.6989801525299386,2.0,0.7860377942211031,0.3792259108973508,1.3862943611198906,-3.989069733445289,3.0,1.0986122886681098,1.2432185655001204,1.352532705988441,-2.7521390893779243,-1.038699100542474,1,external_generator_profile_stratified_v1,5
external_ring_sparse_specialized_K4_i0053,external_generator_bank,ring_sparse_specialized,4,53,53,2046525279,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K4_i0053.npz,0.115906863991655,,,,8,0.2195417534999967,0.0427923968598584,1.924719452373715,1.9188293987174232,1.9181574073837444,1.9180742879977823,0.0066451643759324,0.0074833944815349,0.2565018777880797,0.1966261879551418,0.1074140288531194,2.1532533597159413,3,2,0.1966261879551418,1.3045153367190228,2,0.1966261879551418,1.3045153367190228,3,0.0543963027653325,4.715428526358446,0.2723603388259779,0.2065858394745993,0.121220304988206,2.198362332120623,3,2,0.2065858394745993,1.3183882279572503,2,0.2065858394745993,1.3183882279572503,3,0.0660487831180835,4.123623872661605,0.2738495487313038,0.2079931158347881,0.1228189855995919,2.205852103727397,3,2,0.2079931158347881,1.3166279452673155,2,0.2079931158347881,1.3166279452673155,3,0.0675594110734366,4.053462639477881,0.5037019461654925,2.0149182376875765,2.8951629528169374,1.970757827455258,0.9477341814876028,0.2335162382406358,0.0427923968598584,0.1651404789815223,0.1870031569542333,0.1016760736420254,0.1185592069484518,0.2335162382406358,0.0779816735096835,0.1510982537306427,0.0427923968598584,0.0873730001144687,0.1006496293069595,1.0830973353552555,1.0,1.4916049813513206,0.4636081092604028,1.0,0.0543963027653325,0.0660487831180835,0.0675594110734366,,,,,,,0.5751649663625675,3.0,0.829323388899112,0.3727675221075072,1.3862943611198906,-4.895068782243488,2.0,0.6931471805599453,1.5770392654268488,1.0630413971151111,-3.151394835636105,-2.1101456864730026,2,external_generator_profile_stratified_v1,6
external_ring_sparse_specialized_K4_i0003,external_generator_bank,ring_sparse_specialized,4,3,3,2046474829,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K4_i0003.npz,0.208927046595191,,,,8,0.2326926534531317,0.041356537192779,1.776619763108482,1.746676269086071,1.740045744408605,1.7387065443265484,0.0379132187819337,0.0472221436235131,0.4630148801586229,0.432963295358164,0.4938094022074236,2.83759189479046,3,3,0.3032645838730907,1.5267687187383017,3,0.3032645838730907,1.5267687187383017,3,0.3032645838730907,1.5267687187383017,0.4942827056146835,0.4669860141252075,0.5621145087884151,2.81874501786942,3,3,0.3157897691979502,1.565227103050468,3,0.3157897691979502,1.565227103050468,3,0.3157897691979502,1.565227103050468,0.5021014018676261,0.4738503227176642,0.5777679415439554,2.812909809882704,3,3,0.3180062820871399,1.578904034763818,3,0.3180062820871399,1.578904034763818,3,0.3180062820871399,1.578904034763818,0.6951263125505487,3.2800469216150443,4.882275895337337,1.9725962148304383,0.9486182589374048,0.1896875994639318,0.041356537192779,0.1565983029584969,0.0584428730919132,0.109654412490218,0.1896875994639318,0.1857295516721429,0.1846473942445214,0.1401466632499813,0.041356537192779,0.0903349685945121,0.2422395990974996,0.788359301955493,0.9375,1.213371341641029,0.6229080813524961,1.0,0.3032645838730907,0.3157897691979502,0.3180062820871399,,,,,,,0.7169957928899158,2.0,0.8054091527838307,0.191327258552935,1.3862943611198906,-3.052892351838575,3.0,1.0986122886681098,1.1526785741453145,1.5856114831427932,-3.1855247758658205,-0.5760496975505717,3,external_generator_profile_stratified_v1,7
external_ring_sparse_specialized_K5_i0201,external_generator_bank,ring_sparse_specialized,5,201,201,2046774611,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K5_i0201.npz,0.2052425827237383,,,,8,0.1927208924331446,0.0496901184153549,1.6970275909220387,1.6455203462521273,1.63643591933534,1.6348199469170996,0.062207644004939,0.074524015758207,0.5553254685121907,0.5170835792371198,0.7115186900331215,3.035915650298175,4,3,0.3484777842322616,1.5935749526634513,3,0.3484777842322616,1.5935749526634513,4,0.1196667039520186,4.640601355034004,0.5890335668913257,0.5417381007248478,0.8428947980925939,3.4208775253385904,4,3,0.3644445466781276,1.6162501874710504,4,0.2638830380821866,2.2321766915078136,4,0.2638830380821866,2.2321766915078136,0.5979540141928873,0.5468453313405356,0.8663107893704358,3.4303735446365384,4,3,0.3689752086527755,1.6205804622380269,4,0.2712549820219877,2.204398274035821,4,0.2712549820219877,2.204398274035821,0.7522517064449314,4.036354743964054,5.760430513219232,1.9583390037052175,0.9417619896749836,0.2710654332001639,0.0496901184153549,0.1822517759267139,0.1493838397655255,0.1079570383075457,0.094606736539908,0.0496901184153549,0.2710654332001639,0.0660011473420031,0.1099648156490898,0.1513308707804089,0.2043999467810221,0.8396228781344939,0.8,1.0631429335382554,0.6201982284747829,1.0,0.3484777842322616,0.3644445466781276,0.3689752086527755,0.1196667039520186,0.2638830380821866,0.2712549820219877,,,,0.7054409175072347,2.0,0.8873494367879057,0.5146607456720967,1.6094379124341005,-2.596633846372613,4.0,1.3862943611198906,1.3322493115734355,1.7510122137931037,-3.00194919028854,-0.1709131234384915,0,external_generator_profile_stratified_v1,8
external_ring_sparse_specialized_K5_i0063,external_generator_bank,ring_sparse_specialized,5,63,63,2046635369,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_ring_sparse_specialized_K5_i0063.npz,0.2745748799594782,,,,8,0.1750062136741892,0.0608412651772317,1.9046889708991428,1.8968538732063325,1.8961146686993104,1.896040835162734,0.0086481357364087,0.0095350073165834,0.2985177784953854,0.2477583368929504,0.1627173104056595,2.512446119948973,4,2,0.2477583368929504,1.2048748076007902,3,0.1029853301014469,2.898643701984805,3,0.1029853301014469,2.898643701984805,0.3089001673729151,0.2599444093141665,0.1801779204354845,2.659364039031843,4,2,0.2599444093141665,1.1883316444000955,3,0.1162520387892905,2.6571591396586496,4,0.0606050705478665,5.096936024997155,0.3104304202772943,0.260782454704163,0.1818010529177276,2.661734818513127,4,2,0.260782454704163,1.1903807740035768,3,0.1169456995459761,2.6544834182230987,4,0.0612390542085976,5.0691576525640025,0.5081340734413241,2.033074352184685,2.5944944781788126,1.976233349457324,0.9503673509671556,0.2479371454463775,0.0608412651772317,0.1653767335273978,0.0608412651772317,0.0808505080517325,0.2479371454463775,0.1179339802261557,0.1730383867221612,0.0633998305008117,0.1276739055936339,0.1283249782818953,0.2951109792439418,1.272150364007188,0.96,1.288736427353525,0.575928048426823,1.0,0.1029853301014469,0.1162520387892905,0.1169456995459761,0.0401780364350331,0.0606050705478665,0.0612390542085976,,,,0.4732539850999023,2.0,0.8077905371376526,0.318080947089467,1.6094379124341005,-4.652785272590415,3.0,1.0986122886681098,2.151994696696069,0.953391691543883,-2.799487016652236,-1.7138104694200502,1,external_generator_profile_stratified_v1,9
