hmm_id,source,cohort,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,context_entropy_h1,context_effective_count_h1,context_support_h1,context_max_prob_h1,context_entropy_h2,context_effective_count_h2,context_support_h2,context_max_prob_h2,context_entropy_h3,context_effective_count_h3,context_support_h3,context_max_prob_h3,context_entropy_h4,context_effective_count_h4,context_support_h4,context_max_prob_h4,selection_order,pair_id,contrast,pair_role
confirm_K3_i000079,bank,independent_confirmatory64,3,79,5.0,8.0,0.5,2026451446,8,0.2693268105139925,0.0265225073532547,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0013360621973899,0.0014500660144864,0.160473952779546,0.1045888322134042,0.0366907133444556,1.8391006721020693,2,2,0.1045888322134042,1.5343316239740887,2,0.1045888322134042,1.5343316239740887,2,0.1045888322134042,1.5343316239740887,0.1670688330261915,0.1073195531314704,0.0394294814530719,1.829466373083953,2,2,0.1073195531314704,1.5567417879715362,2,0.1073195531314704,1.5567417879715362,2,0.1073195531314704,1.5567417879715362,0.4180315538491524,1.718306218514118,2.269722369021416,,,,,,,1.6715931691043224,0.8038663918168909,0.3513454057272208,0.0265225073532547,0.3310220608486386,0.0505134834605705,0.2760623067334556,0.0272900492468304,0.027210176254098,0.3513454057272208,0.0265225073532547,0.0967856387298386,0.1442704324947312,1.6715931691043224,5.320637724013964,8,0.3513454057272208,3.3265935790973566,27.84333386229128,64,0.1484476145747008,4.980363936677044,145.52733475186687,512,0.0654732105818081,6.634036278505741,760.545758232812,4096,0.0291353702529261,0,occupancy_K3_p01,occupancy_contrast,low
confirm_K3_i000322,bank,independent_confirmatory64,3,322,5.0,8.0,0.5,2026696786,8,0.2951873797256918,0.0305524833385569,1.8859870242081933,1.884607707396042,1.8844955508176104,1.884486508249607,0.0015005159585865,0.001630757673025,0.1381743219173833,0.1212873127787138,0.0338027554784102,1.9832219235326245,2,2,0.1212873127787138,1.1392314558859054,2,0.1212873127787138,1.1392314558859054,2,0.1212873127787138,1.1392314558859054,0.1452748483466582,0.1258137251741678,0.0369338750043455,1.979630799451055,2,2,0.1258137251741678,1.1546820360461447,2,0.1258137251741678,1.1546820360461447,2,0.1258137251741678,1.1546820360461447,0.3554163241892935,1.551388962406283,2.0717025090975696,,,,,,,1.9011402549301928,0.9142552059407232,0.3070116189215554,0.0305524833385569,0.222532521691443,0.0673879694250653,0.1289199096123059,0.1179926259710079,0.0970397932835625,0.0848896393710107,0.166205960076935,0.0305524833385569,0.3070116189215554,1.9011402549301928,6.6935224144698,8,0.3070116189215554,3.7871272791383865,44.12944643043839,64,0.1153914762700909,5.671734986534428,290.53817718381686,512,0.045179156411788,7.556230537352039,1912.6223496966184,4096,0.0179179955720643,1,occupancy_K3_p01,occupancy_contrast,high
confirm_K3_i001129,bank,independent_confirmatory64,3,1129,5.0,2.0,0.5,2027511559,8,0.2545785252015383,0.042779685544288,1.7427908040672215,1.7425025254120827,1.742493370872642,1.7424930861437344,0.000297717923487,0.0003074419207429,0.1225292048278357,0.0067952565130919,0.0150595815468204,1.0210244594140785,2,1,0.1225292048278357,1.0,1,0.1225292048278357,1.0,1,0.1225292048278357,1.0,0.1249237839550848,0.0068492845005944,0.0156528644958267,1.0206155227968228,2,1,0.1249237839550848,1.0,1,0.1249237839550848,1.0,1,0.1249237839550848,1.0,0.2776215667215156,1.38431596782526,1.6753921806505212,,,,,,,1.7500659573429531,0.8416038259624251,0.3684052976489188,0.042779685544288,0.3109626226063016,0.0593940832546905,0.1493378680073034,0.0517440261982149,0.0606685361032132,0.2236513615550165,0.042779685544288,0.0440191416883542,0.3684052976489188,1.7500659573429531,5.754982246825596,8,0.3684052976489188,3.492856761410174,32.879743248388245,64,0.1561490233629837,5.235359286822258,187.7965670564095,512,0.0663999892398874,6.9778526576949,1072.61262580559,4096,0.0282374228640377,2,occupancy_K3_p02,occupancy_contrast,low
confirm_K3_i000505,bank,independent_confirmatory64,3,505,5.0,0.0,0.5,2026881552,8,0.2741476836605209,0.0414504345857752,1.979278488494848,1.9788903573089671,1.978873503461396,1.9788727752041424,0.000405713290706,0.000424023652785,0.1327099511221244,0.004835121202662,0.017635309523881,1.0101596504333143,2,1,0.1327099511221244,1.0,1,0.1327099511221244,1.0,1,0.1327099511221244,1.0,0.1358629267822991,0.004941262363599,0.0184831509475983,1.010128408030597,2,1,0.1358629267822991,1.0,1,0.1358629267822991,1.0,1,0.1358629267822991,1.0,0.2984215834868167,1.4253574175926906,1.8101416714509493,,,,,,,1.987582034110592,0.9558249146571164,0.2343707718020508,0.0414504345857752,0.1505377028428234,0.1376714344572943,0.0414504345857752,0.1490888565148043,0.1242716689282806,0.0818522682988626,0.2343707718020508,0.0939555532495177,0.1373390121634142,1.9875820341105916,7.297866419333584,8,0.2343707718020508,3.966860522605439,52.81844794600253,64,0.060269409265701,5.945750879914407,382.1261844760005,512,0.0155216782815451,7.924624383375802,2764.525758619161,4096,0.0039976285288175,3,occupancy_K3_p02,occupancy_contrast,high
confirm_K3_i000325,bank,independent_confirmatory64,3,325,0.2,0.0,0.5,2026699830,8,0.0153650418352107,0.0090866643032869,1.599509867205774,1.5981533164502704,1.5975035532954929,1.597395489261227,0.0021143779445471,0.0029802691678562,0.1769047125726632,0.0568213883194256,0.0345239475009635,1.3642521835361692,2,1,0.1769047125726632,1.0,2,0.0568213883194256,3.113347241327159,2,0.0568213883194256,3.113347241327159,0.1910951330002205,0.1043262524032257,0.0474013167968735,1.7139634854304673,2,2,0.1043262524032257,1.8317070593279736,2,0.1043262524032257,1.8317070593279736,2,0.1043262524032257,1.8317070593279736,0.5452517548497967,2.199018931166409,3.5373258452195286,,,,,,,1.6057697039157297,0.7722119962163209,0.39781767946915,0.0090866643032869,0.3543822875761889,0.0884768368108463,0.0153800131298319,0.39781767946915,0.0665472490903591,0.0090866643032869,0.0274331158581177,0.1765946444479835,0.2186637968904244,1.6057697039157297,4.981692555698083,8,0.39781767946915,3.205279571121503,24.66239394587395,64,0.1594264189886858,4.803432887571773,121.92826592382228,512,0.0639926385055442,6.400936440867266,602.408894129123,4096,0.0256942936777972,4,occupancy_K3_p03,occupancy_contrast,low
confirm_K3_i000796,bank,independent_confirmatory64,3,796,1.0,2.0,0.5,2027175358,8,0.2440643016159805,0.0101977117635834,1.83637570763626,1.8341093256912409,1.8338381661182217,1.8338052580209248,0.0025704496153344,0.0029074253829459,0.1882902087929309,0.084676802152929,0.0426233635501318,1.573110288806442,2,2,0.084676802152929,2.223633911598041,2,0.084676802152929,2.223633911598041,2,0.084676802152929,2.223633911598041,0.1989987542619682,0.0896579640832579,0.0476390547213699,1.574409935484803,2,2,0.0896579640832579,2.219532378374938,2,0.0896579640832579,2.219532378374938,2,0.0896579640832579,2.219532378374938,0.3784041086939267,1.6087622424576176,2.3959558753275862,,,,,,,1.8558171135236563,0.8924593821591499,0.2477036293157808,0.0101977117635834,0.2200379166341524,0.042687241649065,0.2000390211676059,0.1725754059081,0.0101977117635834,0.0919653159684813,0.2477036293157808,0.1638105846085845,0.0710210896187988,1.8558171135236563,6.396923128068914,8,0.2477036293157808,3.692192821159916,40.132754492566974,64,0.0618204369381769,5.526302146851156,251.2132416679828,512,0.0154469769935216,7.360140312969378,1572.0571274869149,4096,0.0038589757396531,5,occupancy_K3_p03,occupancy_contrast,high
confirm_K4_i000541,bank,independent_confirmatory64,4,541,0.2,0.0,0.5,2027017910,8,0.055805888447532,0.0579697799046657,1.7120679787518602,1.705735128670277,1.7045347559792,1.7041668639327958,0.0079011148190644,0.00983727160295,0.1891596973483358,0.1234299994015258,0.0529907415684365,2.108790787474563,3,2,0.1234299994015258,1.5325261141174198,2,0.1234299994015258,1.5325261141174198,3,0.0444340603058268,4.257087829615484,0.2316393604452346,0.1525241471943029,0.0794556503100115,2.0847955171714267,3,2,0.1525241471943029,1.5187061505096997,2,0.1525241471943029,1.5187061505096997,3,0.050351181964129,4.600475131055672,0.5930047963490135,2.4570314122363395,2.049750076909191,0.0444340603058268,0.050351181964129,,,,,1.7265541043926385,0.8302970147445817,0.4607939303541769,0.0579697799046657,0.3617604429355326,0.103035723990939,0.0986055003229511,0.0831921973391084,0.061209414390544,0.4607939303541769,0.0635039125539848,0.07168954114363,0.0579697799046657,1.7265541043926385,5.621250254585622,8,0.4607939303541769,3.438622083144499,31.14401472601859,64,0.209861444431772,5.144357211814776,171.46123598486673,512,0.0971496614480048,6.848891967793977,942.8356354323772,4096,0.0448720347688304,6,occupancy_K4_p04,occupancy_contrast,low
confirm_K4_i000955,bank,independent_confirmatory64,4,955,1.0,0.0,0.5,2027435891,8,0.170903915074518,0.06963914991456,1.963534669027936,1.955766126173533,1.9544124822902929,1.954205753464179,0.0093289155637568,0.0110960170992244,0.2381234242130653,0.1701393641325587,0.0858258206110898,1.9214662670335168,3,2,0.1701393641325587,1.3995786655670053,2,0.1701393641325587,1.3995786655670053,2,0.1701393641325587,1.3995786655670053,0.2657795466040031,0.1852406166737121,0.1053004974990839,1.9195059713127829,3,2,0.1852406166737121,1.4347800788860172,2,0.1852406166737121,1.4347800788860172,2,0.1852406166737121,1.4347800788860172,0.5153805405971867,2.063474713195132,2.885103646150061,0.0132533854053593,0.0186452149463967,,,,,1.9967503015793533,0.9602339193273588,0.2332187693100726,0.06963914991456,0.1479589041745727,0.0762066086378217,0.1629363637880966,0.0949897474249441,0.1395223943807693,0.2332187693100726,0.081471688118707,0.1420152784250284,0.06963914991456,1.9967503015793535,7.365082868977164,8,0.2332187693100726,3.960284970607289,52.472276875317625,64,0.0567146641190411,5.916051096780823,370.9439959057854,512,0.0137783450440819,7.8704635790711155,2618.779318119612,4096,0.0046478748581055,7,occupancy_K4_p04,occupancy_contrast,high
confirm_K4_i000499,bank,independent_confirmatory64,4,499,1.0,2.0,0.5,2026975498,8,0.092992760856615,0.0440052955876402,1.7603770889805197,1.757956602705344,1.7575342218244971,1.7574483389557494,0.0029287500247701,0.0035228966431124,0.1879886619143207,0.0697089651167416,0.0410945396115622,1.5929250491810831,3,2,0.0697089651167416,2.69676449219259,2,0.0697089651167416,2.69676449219259,3,0.0299242842116291,6.282143979947396,0.2001306583216221,0.0754564352047661,0.047159780385126,1.6472884088731876,3,2,0.0754564352047661,2.6522676002189565,2,0.0754564352047661,2.6522676002189565,3,0.0376008825836451,5.322498956677964,0.4871049750607245,1.9497167088302243,2.508343793679179,0.0299242842116291,0.0376008825836451,,,,,1.7778791113039605,0.8549791257261005,0.3419925421505637,0.0440052955876402,0.2964809627343442,0.0503289400318978,0.0728966318616128,0.3419925421505637,0.0451079065217484,0.1125335296560559,0.077206956043129,0.0440052955876402,0.2559281981473517,1.7778791113039605,5.917293180467976,8,0.3419925421505637,3.5382562002844797,34.40686816067928,64,0.1489420261939091,5.296212802989824,199.57952989658096,512,0.0683583468460109,7.05374702481432,1157.1866363986833,4096,0.0319853017746536,8,occupancy_K4_p05,occupancy_contrast,low
confirm_K4_i000025,bank,independent_confirmatory64,4,25,5.0,8.0,0.5,2026496926,8,0.1817429410501542,0.0624445193995762,2.0042981036965424,2.0018622472749934,2.001443783608555,2.0013630860163865,0.0029350176801559,0.0035148765309314,0.1804396391460341,0.0582917783935453,0.036465551939216,1.4651640240118855,3,2,0.0582917783935453,3.095456068055288,2,0.0582917783935453,3.095456068055288,3,0.0225645105371873,7.9966121511327,0.1941902007828204,0.0635901775255324,0.0423385564750626,1.4719525975616643,3,2,0.0635901775255324,3.0537766733683043,2,0.0635901775255324,3.0537766733683043,3,0.0241870154682584,8.028696266294777,0.5373126195356452,2.161286523519177,2.4531658203630613,0.0225645105371873,0.0241870154682584,,,,,2.019728022578234,0.971283867372697,0.1701478818049447,0.0624445193995762,0.1192232886506331,0.1644120473115808,0.1594390604259742,0.1682617533824717,0.0624445193995762,0.0873875095421963,0.1063890455533677,0.0815181825798882,0.1701478818049447,2.019728022578234,7.536274958268179,8,0.1701478818049447,4.0240261262747765,55.92581756787922,64,0.0364546702597976,6.025888373549771,414.0092735897875,512,0.0082024019650421,8.027332157158323,3063.557670907698,4096,0.0018601737588817,9,occupancy_K4_p05,occupancy_contrast,high
