hmm_id,dataset_replicate,source,dataset_file,sha256,train_seed,val_seed,test_seed
confirm_K3_i000341,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K3_i000341,1,new_independent_generation,regenerated://replicate_1/confirm_K3_i000341.npz,d2f0b0928477e27186120e7c2b626097212897ce08bfcce57cb9a6142de90e48,2506233884.0,3840187925.0,2467166844.0
confirm_K3_i000341,2,new_independent_generation,regenerated://replicate_2/confirm_K3_i000341.npz,a01b7389c9ab916c6ecbad59a69c1c3189a4acf0d2e51a609891c09c5ab21bc3,2984536198.0,4019725422.0,2913095723.0
confirm_K3_i000321,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K3_i000321,1,new_independent_generation,regenerated://replicate_1/confirm_K3_i000321.npz,8b7a2326a3173519df41fca3739f5aa7d4148949222bba521261a26d2775d064,3733306424.0,3160910476.0,3394381430.0
confirm_K3_i000321,2,new_independent_generation,regenerated://replicate_2/confirm_K3_i000321.npz,508b3f4c7976fbf64118bfa78d44cea4c5a7722a9202cd839ee338021e48a334,3625546671.0,2752278558.0,3770676491.0
confirm_K3_i001202,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K3_i001202,1,new_independent_generation,regenerated://replicate_1/confirm_K3_i001202.npz,172877d3aea07f3001684292621c907287081272b4cbc6db0fc6cd22f51a852c,3734222820.0,2727381665.0,2648748927.0
confirm_K3_i001202,2,new_independent_generation,regenerated://replicate_2/confirm_K3_i001202.npz,6469b6c63e1b772dbcc02f70733e806865d10ddd64844590d1a94f42b28cd9a8,3582590605.0,3637968420.0,3677289027.0
confirm_K3_i000975,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K3_i000975,1,new_independent_generation,regenerated://replicate_1/confirm_K3_i000975.npz,47a69f51390c8d02d73da4926858ce1d853eb7c5c239249b8f64fd62b2c06e0a,3945875852.0,3779543894.0,3873604654.0
