architecture,outcome,model,feature,development_mean,development_scale,standardized_coefficient,intercept,ridge_alpha,n_development
GRU,A_width_shape,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0011204406548531,0.0338331300776928,1.0,64
GRU,A_width_shape,core_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0028324623347793,0.0338331300776928,1.0,64
GRU,A_width_shape,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0044029650585456,0.0338331300776928,1.0,64
GRU,A_width_shape,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0124010146427747,0.0338331300776928,1.0,64
GRU,A_width_shape,core_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0039051300494501,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0020038574945581,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0005546742174855,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0019062316844156,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0029938436355255,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,0.0002448451733973,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,-0.0050000502762447,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,0.0005665001431294,0.0338331300776928,1.0,64
GRU,A_width_shape,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,0.0073638468583788,0.0338331300776928,1.0,64
GRU,mean_excess_ce_H,K_only,log_K,1.4715260078625387,0.2587944352041693,0.0019152238958159,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,core_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0026562552477605,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0069436670506477,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0127212272821524,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,core_profile,log_tau,1.4635963196455286,1.0962954423007851,0.0002255663933725,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0051093524535026,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0047720219112795,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0097196747836287,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0011232455523174,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,-0.0064070276985856,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,0.0071896008359838,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,0.0009746207874646,0.0267612278455411,1.0,64
GRU,mean_excess_ce_H,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,0.0064719085509429,0.0267612278455411,1.0,64
GRU,best_shape_rmse,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0005946594377406,0.0273666396441228,1.0,64
GRU,best_shape_rmse,core_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0020555993309343,0.0273666396441228,1.0,64
GRU,best_shape_rmse,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0039530838067741,0.0273666396441228,1.0,64
GRU,best_shape_rmse,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0102896746622302,0.0273666396441228,1.0,64
GRU,best_shape_rmse,core_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0038664566284889,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0009051037655511,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0005021518758055,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0010598369509251,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0036968155851397,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,-0.0012130726035885,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,-0.0042823625861404,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,0.0017841693472431,0.0273666396441228,1.0,64
GRU,best_shape_rmse,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,0.0062423596276943,0.0273666396441228,1.0,64
Transformer,A_width_shape,K_only,log_K,1.4715260078625387,0.2587944352041693,-0.0006511246195192,0.0354876727978107,1.0,64
Transformer,A_width_shape,core_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.0027531625117642,0.0354876727978107,1.0,64
Transformer,A_width_shape,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0053020421751699,0.0354876727978107,1.0,64
Transformer,A_width_shape,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0111757741147253,0.0354876727978107,1.0,64
Transformer,A_width_shape,core_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0015385457229602,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,-0.001436865207513,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0007531217944145,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0004977571885553,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,-0.0020819703275513,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,-0.005231568314298,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,0.0001139809557753,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,log_min_symbol_prob,-4.90692940960899,2.2233159277372927,0.0010746271764229,0.0354876727978107,1.0,64
Transformer,A_width_shape,augmented_profile,log_signal,-2.538732743726217,1.9223488336267296,0.007465651936858,0.0354876727978107,1.0,64
Transformer,mean_excess_ce_H,K_only,log_K,1.4715260078625387,0.2587944352041693,0.0023361168312461,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,core_profile,log_gain,-5.41017365922932,2.4889142616342035,0.0056626170079551,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,core_profile,log_rank,0.7033750276349342,0.3757082360013117,0.006356881720451,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,core_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0050683551790225,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,core_profile,log_tau,1.4635963196455286,1.0962954423007851,0.0048872316371355,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,log_gain,-5.41017365922932,2.4889142616342035,0.0056573325766726,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,log_rank,0.7033750276349342,0.3757082360013117,0.0063933887062827,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,neg_log_sigma,2.109815083953434,1.030714039382982,-0.0072858865671648,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,log_tau,1.4635963196455286,1.0962954423007851,0.0041008434171891,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,bayes_ce_h4,1.632686981055423,0.37228661697611,-0.0048421962834679,0.0340737414045501,1.0,64
Transformer,mean_excess_ce_H,augmented_profile,symbol_entropy,1.7332791553896896,0.2762429875420937,0.0087078888437899,0.0340737414045501,1.0,64
