architecture,outcome,model,n_development,development_rmse,development_r2
GRU,A_width_shape,K_only,64,0.0110638910591514,0.0104654250217479
GRU,A_width_shape,core_profile,64,0.0073742666339416,0.5604048779394519
GRU,A_width_shape,augmented_profile,64,0.005928193147683,0.7159074259576833
GRU,mean_excess_ce_H,K_only,64,0.0174127152836225,0.0123221188979832
GRU,mean_excess_ce_H,core_profile,64,0.0130988494469345,0.4410813116121079
GRU,mean_excess_ce_H,augmented_profile,64,0.0128277726944945,0.4639752517242117
GRU,best_shape_rmse,K_only,64,0.0097145894984488,0.0038492555957085
GRU,best_shape_rmse,core_profile,64,0.006803961391601,0.5113478233582823
GRU,best_shape_rmse,augmented_profile,64,0.0056073426627412,0.6681129174747407
Transformer,A_width_shape,K_only,64,0.0108555917394112,0.0036963824396187
Transformer,A_width_shape,core_profile,64,0.0066849706124151,0.6221810747202189
Transformer,A_width_shape,augmented_profile,64,0.0054732874239343,0.7467314791367738
Transformer,mean_excess_ce_H,K_only,64,0.020694211023601,0.0129713474269047
Transformer,mean_excess_ce_H,core_profile,64,0.0129012157267024,0.6163870250272973
Transformer,mean_excess_ce_H,augmented_profile,64,0.0125394664697996,0.6375983800892091
Transformer,best_shape_rmse,K_only,64,0.0102091018836096,0.002015774686525
Transformer,best_shape_rmse,core_profile,64,0.006933836089621,0.5396419488753121
Transformer,best_shape_rmse,augmented_profile,64,0.0058717826330285,0.6698673021838989
