status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file
done,confirm_K3_i000056,GRU,8,1,256,26,2.020181253552437,16,34,576,cpu,1.9962512850761411,2.010267809033394,1.9826636761426928,1.98428775370121,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d8/n256/seed1/DONE.json
done,confirm_K3_i000056,GRU,8,2,256,47,1.989366102963686,16,48,576,cpu,2.0056727528572083,2.006631851196289,1.9675370678305624,1.969405084848404,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d8/n256/seed2/DONE.json
done,confirm_K3_i000056,GRU,8,3,256,23,1.9972095601260664,16,31,576,cpu,2.0198618918657303,1.9799999967217443,1.970408260822296,2.01556283980608,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d8/n256/seed3/DONE.json
done,confirm_K3_i000056,GRU,8,4,256,48,2.0071445517241955,16,48,576,cpu,1.9988345205783844,2.024517804384232,1.987621769309044,1.9624794125556944,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d8/n256/seed4/DONE.json
done,confirm_K3_i000056,GRU,8,5,256,48,1.9939307160675528,16,48,576,cpu,2.007318936288357,1.999005690217018,2.0100579783320427,1.9892659410834312,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d8/n256/seed5/DONE.json
done,confirm_K3_i000056,GRU,32,1,256,5,2.010608673095703,16,13,6888,cpu,2.0061460435390472,2.023755080997944,1.9931442514061928,1.9720508009195328,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d32/n256/seed1/DONE.json
done,confirm_K3_i000056,GRU,32,2,256,12,2.0120435133576398,16,20,6888,cpu,1.98687407374382,2.014209844172001,1.995363175868988,2.00115729868412,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d32/n256/seed2/DONE.json
done,confirm_K3_i000056,GRU,32,3,256,34,1.99889000877738,16,42,6888,cpu,1.9927243813872335,2.020138442516327,2.013209007680416,1.992820143699646,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d32/n256/seed3/DONE.json
done,confirm_K3_i000056,GRU,32,4,256,13,2.0140777081251144,16,21,6888,cpu,2.008030913770199,2.014030136168003,2.003287613391876,2.03340308368206,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d32/n256/seed4/DONE.json
done,confirm_K3_i000056,GRU,32,5,256,24,1.9643588922917845,16,32,6888,cpu,1.9990707039833069,2.000312983989716,1.964219108223915,2.015269845724106,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d32/n256/seed5/DONE.json
done,confirm_K3_i000056,GRU,128,1,256,9,1.9932958483695984,16,17,101256,cpu,2.010365724563598,2.007655926048756,1.9825599864125247,2.0095541402697563,project://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000056/gru/d128/n256/seed1/DONE.json
