status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,shape_rmse,excess_ce_H,recovery_ratio,source,dataset_replicate,condition_seed,dataset_file
done,confirm_K3_i000321,GRU,8,1,256,48,1.370901320129633,16,48,576,cpu,1.3610035255551338,1.4222424998879433,1.374497413635254,1.415482796728611,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d8/n256/seed1/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0345334143081858,0.0686549451471083,-77.4812763174821,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,8,2,256,47,1.340163677930832,16,48,576,cpu,1.4087360575795174,1.367767721414566,1.3806892484426498,1.439600184559822,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d8/n256/seed2/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0490743093657509,0.0927723329783194,-43.89544682497653,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,8,3,256,48,1.366022851318121,16,48,576,cpu,1.3931230306625366,1.413243107497692,1.3226355835795405,1.3559625670313835,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d8/n256/seed3/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0378030423762551,0.0091347154498808,52.85019583912596,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,32,1,256,40,1.3704409264028072,16,48,6888,cpu,1.4169138446450231,1.3365002870559692,1.3344706594944,1.3288288488984108,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d32/n256/seed1/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0439477200280407,-0.0179990026830918,125.2758663590598,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,32,2,256,35,1.385483518242836,16,43,6888,cpu,1.3845960423350334,1.3674719333648682,1.350723460316658,1.418547473847866,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d32/n256/seed2/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0458648018668468,0.0717196222663634,-48.28625988852331,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,32,3,256,43,1.3426232747733593,16,48,6888,cpu,1.371169529855251,1.3192504942417145,1.35290364921093,1.3627119585871696,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d32/n256/seed3/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0226323751851719,0.015884107005667,12.028490878858255,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,128,1,256,17,1.3524879924952984,16,25,101256,cpu,1.3136420771479609,1.317146636545658,1.4114328548312187,1.3997095748782158,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d128/n256/seed1/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0601872719085499,0.0528817232967131,-122.40654894881764,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,128,2,256,21,1.3693809248507025,16,29,101256,cpu,1.359093263745308,1.382220596075058,1.382070630788803,1.3476639688014984,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d128/n256/seed2/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0249499117597205,0.0008361172199957,16.25492302999883,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,128,3,256,15,1.3505336828529837,16,23,101256,cpu,1.3829654306173325,1.3718063905835152,1.351255103945732,1.348370410501957,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d128/n256/seed3/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0206413727925378,0.0015425589204542,49.20158172147551,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,256,1,256,29,1.3570748306810856,16,37,399112,cpu,1.3616283535957336,1.3955874145030975,1.3649496883153915,1.28672356903553,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d256/n256/seed1/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0765949089548279,-0.0601042825459725,106.53076271027824,existing_confirmatory_summary_csv,0,,
done,confirm_K3_i000321,GRU,256,2,256,13,1.351326446980238,16,21,399112,cpu,1.396214298903942,1.4238543882966042,1.3554215356707573,1.3492108583450315,drive://predictive_profile_confirmatory64_v1/runs/confirm_K3_i000321/gru/d256/n256/seed2/DONE.json,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.044010537992419,0.0023830067635288,66.84903243695231,existing_confirmatory_summary_csv,0,,
