status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file
done,external_ring_sparse_specialized_K3_i0051,GRU,8,1,256,48,1.7484699673950672,16,48,576,cpu,1.7915262505412102,1.7548332661390305,1.7795061245560646,1.7632700204849243,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d8/n256/seed1/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,8,2,256,48,1.7980072423815727,16,48,576,cpu,1.795072719454765,1.7550032064318657,1.7925806269049644,1.776380069553852,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d8/n256/seed2/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,8,3,256,48,1.7113781608641148,16,48,576,cpu,1.7053767666220665,1.71151951700449,1.7584796771407127,1.6748415380716324,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d8/n256/seed3/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,32,1,256,46,1.6432446278631687,16,48,6888,cpu,1.6727037504315376,1.6331860199570656,1.6508761942386627,1.6667416468262672,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d32/n256/seed1/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,32,2,256,39,1.6981988213956356,16,47,6888,cpu,1.6912878528237345,1.606029435992241,1.64212828874588,1.6904662027955055,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d32/n256/seed2/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,32,3,256,45,1.6857857033610344,16,48,6888,cpu,1.665206328034401,1.6718961000442505,1.660100355744362,1.647293657064438,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d32/n256/seed3/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,128,1,256,10,1.7142423167824743,16,18,101256,cpu,1.7500251457095146,1.6629336923360825,1.7306678593158722,1.6996890977025032,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d128/n256/seed1/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,128,2,256,22,1.7039211057126522,16,30,101256,cpu,1.7449573948979378,1.7064200639724731,1.6797052100300789,1.753402404487133,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d128/n256/seed2/DONE.json
done,external_ring_sparse_specialized_K3_i0051,GRU,128,3,256,9,1.7082038968801498,16,17,101256,cpu,1.7059093043208122,1.663910649716854,1.6290986016392708,1.714057244360447,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/gru/d128/n256/seed3/DONE.json
done,external_ring_sparse_specialized_K3_i0051,Transformer,8,1,256,45,1.7480369918048382,16,48,1064,cpu,1.711360700428486,1.7128857895731926,1.74914438277483,1.7077355906367302,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/transformer/d8/n256/seed1/DONE.json
done,external_ring_sparse_specialized_K3_i0051,Transformer,8,2,256,48,1.7609442919492722,16,48,1064,cpu,1.674522690474987,1.724063761532307,1.780323676764965,1.7155710086226463,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/transformer/d8/n256/seed2/DONE.json
done,external_ring_sparse_specialized_K3_i0051,Transformer,8,3,256,47,1.7276153415441513,16,48,1064,cpu,1.6568778157234192,1.7432702705264091,1.7186435759067535,1.6517226919531822,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/transformer/d8/n256/seed3/DONE.json
done,external_ring_sparse_specialized_K3_i0051,Transformer,32,1,256,31,1.701907765120268,16,39,13448,cpu,1.6529455333948135,1.6296921744942665,1.752878449857235,1.6842911764979362,project://predictive_profile_external_generator32_v1/runs/external_ring_sparse_specialized_K3_i0051/transformer/d32/n256/seed1/DONE.json
