status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file
done,confirm_K3_i000079,GRU,8,1,256,47,1.7010240852832794,16,48,576,cpu,1.6896230056881905,1.6946901232004166,1.6618441045284271,1.6817243620753288,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed1/DONE.json
done,confirm_K3_i000079,GRU,8,2,256,41,1.6549757458269596,16,48,576,cpu,1.6779401302337646,1.7184493616223335,1.6604834720492363,1.7147256433963776,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed2/DONE.json
done,confirm_K3_i000079,GRU,8,3,256,36,1.691755522042513,16,44,576,cpu,1.68850127607584,1.6729512512683868,1.662523292005062,1.7132559046149254,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed3/DONE.json
done,confirm_K3_i000079,GRU,8,4,256,31,1.6794316470623016,16,39,576,cpu,1.714026190340519,1.6276182159781456,1.653600737452507,1.665163017809391,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed4/DONE.json
done,confirm_K3_i000079,GRU,8,5,256,27,1.6829985491931438,16,35,576,cpu,1.7343612760305405,1.648333728313446,1.6621148213744164,1.7350851520895958,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed5/DONE.json
done,confirm_K3_i000079,GRU,32,1,256,32,1.606456995010376,16,40,6888,cpu,1.6852501183748243,1.6286879777908323,1.6219978854060173,1.620100811123848,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed1/DONE.json
done,confirm_K3_i000079,GRU,32,2,256,41,1.689136054366827,16,48,6888,cpu,1.672576583921909,1.7080692648887634,1.6396257877349854,1.6307962834835052,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed2/DONE.json
done,confirm_K3_i000079,GRU,32,3,256,23,1.641624327749014,16,31,6888,cpu,1.6645520329475405,1.5439060181379318,1.7119669169187546,1.708658680319786,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed3/DONE.json
done,confirm_K3_i000079,GRU,32,4,256,47,1.6743560805916786,16,48,6888,cpu,1.6070260554552078,1.6361117660999298,1.6297473311424255,1.7015286684036257,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed4/DONE.json
done,confirm_K3_i000079,GRU,32,5,256,42,1.6623423285782335,16,48,6888,cpu,1.6042696982622149,1.6910139620304108,1.6123037934303284,1.677523493766785,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed5/DONE.json
done,confirm_K3_i000079,GRU,128,1,256,20,1.6835751831531525,16,28,101256,cpu,1.672879979014397,1.6617687940597534,1.7249367982149124,1.6902476102113724,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d128/n256/seed1/DONE.json
done,confirm_K3_i000079,GRU,128,2,256,29,1.688227765262127,16,37,101256,cpu,1.6373834684491158,1.6700934171676636,1.705310732126236,1.6665189042687416,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d128/n256/seed2/DONE.json
done,confirm_K3_i000079,GRU,128,3,256,19,1.666247770190239,16,27,101256,cpu,1.6579796150326729,1.658385381102562,1.636808417737484,1.636266067624092,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d128/n256/seed3/DONE.json
done,confirm_K3_i000079,GRU,128,4,256,11,1.6752968057990074,16,19,101256,cpu,1.694895587861538,1.6906435042619703,1.7113514766097069,1.677521087229252,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d128/n256/seed4/DONE.json
done,confirm_K3_i000079,GRU,128,5,256,7,1.6490677632391453,16,15,101256,cpu,1.6856526359915731,1.658114142715931,1.6752616688609123,1.622229501605034,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d128/n256/seed5/DONE.json
done,confirm_K3_i000079,Transformer,8,1,256,38,1.692845605313778,16,46,1064,cpu,1.708786815404892,1.6815430372953415,1.6509587913751602,1.643909715116024,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/transformer/d8/n256/seed1/DONE.json
done,confirm_K3_i000079,Transformer,8,2,256,46,1.6350782550871372,16,48,1064,cpu,1.6775760874152184,1.67915078997612,1.6810341700911522,1.753345608711243,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/transformer/d8/n256/seed2/DONE.json
