pair_id,pair_type,architecture,dimension,seed,hmm_a,hmm_b,raw_b_minus_a,signed_expected_effect
strict_rank_K3,rank_contrast,GRU,8,1,bank_K3_i000956,bank_K3_i000215,-0.0004898182757529,-0.0004898182757529
strict_rank_K3,rank_contrast,GRU,8,2,bank_K3_i000956,bank_K3_i000215,0.0195118911574534,0.0195118911574534
strict_rank_K3,rank_contrast,GRU,8,3,bank_K3_i000956,bank_K3_i000215,-0.0032955952433646,-0.0032955952433646
strict_rank_K3,rank_contrast,GRU,8,4,bank_K3_i000956,bank_K3_i000215,0.0018060941872508,0.0018060941872508
strict_rank_K3,rank_contrast,GRU,8,5,bank_K3_i000956,bank_K3_i000215,0.0159948364986687,0.0159948364986687
strict_rank_K3,rank_contrast,GRU,32,1,bank_K3_i000956,bank_K3_i000215,0.0066218025409038,0.0066218025409038
strict_rank_K3,rank_contrast,GRU,32,2,bank_K3_i000956,bank_K3_i000215,0.0117285284517594,0.0117285284517594
strict_rank_K3,rank_contrast,GRU,32,3,bank_K3_i000956,bank_K3_i000215,0.0033606736630549,0.0033606736630549
strict_rank_K3,rank_contrast,GRU,32,4,bank_K3_i000956,bank_K3_i000215,0.0071503266576854,0.0071503266576854
strict_rank_K3,rank_contrast,GRU,32,5,bank_K3_i000956,bank_K3_i000215,0.0251882242597042,0.0251882242597042
strict_rank_K3,rank_contrast,GRU,128,1,bank_K3_i000956,bank_K3_i000215,6.870589155751061e-05,6.870589155751061e-05
strict_rank_K3,rank_contrast,GRU,128,2,bank_K3_i000956,bank_K3_i000215,0.0199948458382042,0.0199948458382042
strict_rank_K3,rank_contrast,GRU,128,3,bank_K3_i000956,bank_K3_i000215,-0.0044650234347524,-0.0044650234347524
strict_rank_K3,rank_contrast,GRU,128,4,bank_K3_i000956,bank_K3_i000215,-0.0061088767856925,-0.0061088767856925
strict_rank_K3,rank_contrast,GRU,128,5,bank_K3_i000956,bank_K3_i000215,8.393658832192737e-05,8.393658832192737e-05
strict_rank_K3,rank_contrast,Transformer,8,1,bank_K3_i000956,bank_K3_i000215,0.0139026388763295,0.0139026388763295
strict_rank_K3,rank_contrast,Transformer,8,2,bank_K3_i000956,bank_K3_i000215,0.0019414289515886,0.0019414289515886
strict_rank_K3,rank_contrast,Transformer,8,3,bank_K3_i000956,bank_K3_i000215,0.0044264011512766,0.0044264011512766
strict_rank_K3,rank_contrast,Transformer,8,4,bank_K3_i000956,bank_K3_i000215,-0.002933558093245,-0.002933558093245
strict_rank_K3,rank_contrast,Transformer,8,5,bank_K3_i000956,bank_K3_i000215,0.0110190564920683,0.0110190564920683
strict_rank_K3,rank_contrast,Transformer,32,1,bank_K3_i000956,bank_K3_i000215,0.023953518946111,0.023953518946111
strict_rank_K3,rank_contrast,Transformer,32,2,bank_K3_i000956,bank_K3_i000215,-0.0030137699638738,-0.0030137699638738
strict_rank_K3,rank_contrast,Transformer,32,3,bank_K3_i000956,bank_K3_i000215,-0.0094367261850253,-0.0094367261850253
strict_rank_K3,rank_contrast,Transformer,32,4,bank_K3_i000956,bank_K3_i000215,0.0149816763766749,0.0149816763766749
strict_rank_K3,rank_contrast,Transformer,32,5,bank_K3_i000956,bank_K3_i000215,0.0120464913903712,0.0120464913903712
strict_rank_K3,rank_contrast,Transformer,128,1,bank_K3_i000956,bank_K3_i000215,-0.0108493360024103,-0.0108493360024103
strict_rank_K3,rank_contrast,Transformer,128,2,bank_K3_i000956,bank_K3_i000215,0.0176985795779718,0.0176985795779718
strict_rank_K3,rank_contrast,Transformer,128,3,bank_K3_i000956,bank_K3_i000215,-0.0002351425747423,-0.0002351425747423
strict_rank_K3,rank_contrast,Transformer,128,4,bank_K3_i000956,bank_K3_i000215,-0.0029197292719565,-0.0029197292719565
strict_rank_K3,rank_contrast,Transformer,128,5,bank_K3_i000956,bank_K3_i000215,0.0010959326406379,0.0010959326406379
strict_sigma_K3,sigma_contrast,GRU,8,1,bank_K3_i000970,bank_K3_i001094,-0.0177119113043135,-0.0177119113043135
strict_sigma_K3,sigma_contrast,GRU,8,2,bank_K3_i000970,bank_K3_i001094,-0.0094818323690342,-0.0094818323690342
strict_sigma_K3,sigma_contrast,GRU,8,3,bank_K3_i000970,bank_K3_i001094,-0.0054537672984528,-0.0054537672984528
strict_sigma_K3,sigma_contrast,GRU,8,4,bank_K3_i000970,bank_K3_i001094,-0.0072218475410696,-0.0072218475410696
strict_sigma_K3,sigma_contrast,GRU,8,5,bank_K3_i000970,bank_K3_i001094,0.0094864624682445,0.0094864624682445
strict_sigma_K3,sigma_contrast,GRU,32,1,bank_K3_i000970,bank_K3_i001094,-0.0123611820555145,-0.0123611820555145
strict_sigma_K3,sigma_contrast,GRU,32,2,bank_K3_i000970,bank_K3_i001094,-0.0092725799654337,-0.0092725799654337
strict_sigma_K3,sigma_contrast,GRU,32,3,bank_K3_i000970,bank_K3_i001094,-0.006394574668646,-0.006394574668646
