status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file
done,bank_K3_i000956,GRU,8,1,256,24,2.064781505614519,16,32,576,cpu,2.076452150940895,2.071443200111389,2.084934040904045,2.0776782780885696,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d8/n256/seed1/DONE.json
done,bank_K3_i000956,GRU,8,2,256,48,2.073910549283028,16,48,576,cpu,2.0740603655576706,2.0651740729808807,2.063749685883522,2.0670685470104218,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d8/n256/seed2/DONE.json
done,bank_K3_i000956,GRU,8,3,256,45,2.066622994840145,16,48,576,cpu,2.063941389322281,2.061108335852623,2.069584310054779,2.074957847595215,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d8/n256/seed3/DONE.json
done,bank_K3_i000956,GRU,8,4,256,44,2.067337717860937,16,48,576,cpu,2.076934203505516,2.063459351658821,2.0631874054670334,2.074095115065574,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d8/n256/seed4/DONE.json
done,bank_K3_i000956,GRU,8,5,256,29,2.0703843981027603,16,37,576,cpu,2.069310143589973,2.0762108266353607,2.0721987038850784,2.0755833238363266,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d8/n256/seed5/DONE.json
done,bank_K3_i000956,GRU,32,1,256,23,2.068787466734648,16,31,6888,cpu,2.076789900660515,2.0624441653490067,2.068454630672932,2.0765979140996933,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d32/n256/seed1/DONE.json
done,bank_K3_i000956,GRU,32,2,256,29,2.066943421959877,16,37,6888,cpu,2.0647646710276604,2.074202373623848,2.0717228800058365,2.069239005446434,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d32/n256/seed2/DONE.json
done,bank_K3_i000956,GRU,32,3,256,5,2.077172070741653,16,13,6888,cpu,2.0819925367832184,2.0789928883314133,2.061740294098854,2.079195097088814,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d32/n256/seed3/DONE.json
done,bank_K3_i000956,GRU,32,4,256,36,2.07350417599082,16,44,6888,cpu,2.072741463780403,2.0698287338018417,2.081432171165943,2.0758211463689804,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d32/n256/seed4/DONE.json
done,bank_K3_i000956,GRU,32,5,256,9,2.06575196236372,16,17,6888,cpu,2.0681835412979126,2.068594247102737,2.0669578313827515,2.0645007342100143,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d32/n256/seed5/DONE.json
done,bank_K3_i000956,GRU,128,1,256,8,2.080166097730398,16,16,101256,cpu,2.070067837834358,2.0818770080804825,2.1004969477653503,2.0985456705093384,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d128/n256/seed1/DONE.json
done,bank_K3_i000956,GRU,128,2,256,18,2.0714667811989784,16,26,101256,cpu,2.069607049226761,2.0796707570552826,2.0836000442504883,2.0950039476156235,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d128/n256/seed2/DONE.json
done,bank_K3_i000956,GRU,128,3,256,17,2.0682588182389736,16,25,101256,cpu,2.073227748274803,2.0837937593460083,2.056601494550705,2.085273966193199,project://predictive_profile_strict_replication_v1/runs/bank_K3_i000956/gru/d128/n256/seed3/DONE.json
