hmm_id,source,cohort,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,log_K,log_gain,rank_value,log_rank,neg_log_sigma,log_tau,log_min_symbol_prob,log_signal,selection_cluster,distance_to_cluster_center,cluster_size,selection_protocol,pred_h4_m3_sv1,pred_h4_m3_sv2,pred_h4_m3_signal,pred_h4_m3_effective_rank,pred_h4_m3_numerical_rank,pred_h4_m3_r90,pred_h4_m3_sigma90,pred_h4_m3_kappa90,pred_h4_m3_r95,pred_h4_m3_sigma95,pred_h4_m3_kappa95,pred_h4_m3_r99,pred_h4_m3_sigma99,pred_h4_m3_kappa99,hmm_file,pred_h4_m3_sv3,pred_h4_m3_sv4,pred_h4_m3_sv5,subset_cluster,distance_to_subset_cluster_center,subset_cluster_size
confirm_K3_i000341,bank,independent_confirmatory64,3,341,1.0,8.0,2.0,2026715974,8,0.235993282347396,0.0367137904658856,1.9426797231331288,1.9375620566447007,1.9343421948905468,1.9322632441419432,0.0104164789911855,0.0177942422425474,0.1815191831196974,0.0608329019523657,0.0366498558003884,1.3871002179936762,2,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,0.2321969091678692,0.0809585783876282,0.0604696960416574,1.4093594187261091,2,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,0.9075528607362812,10.816992369524332,14.797884504074096,,,,,,,1.9508405275277827,0.938155984876514,0.2271447466548938,0.0367137904658856,0.1799304498751444,0.2271447466548938,0.1010108317620713,0.1195636267568277,0.0954137193303454,0.2237146704298561,0.1254918504293246,0.0367137904658856,0.0709467641707951,1.0986122886681098,-4.028880343531457,2.0,0.6931471805599453,2.5138176330385016,2.6944842316394166,-3.3046028324892456,-2.805612931307013,13,0.0956524943623621,56,independent_profile_kmeans_holdout_v1,0.2599547819223148,0.0917133760045286,0.0759878319824263,1.4161789755366825,2,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000341.npz,,,,0,0.4846538455592425,5
confirm_K3_i000321,bank,independent_confirmatory64,3,321,5.0,8.0,0.1,2026695777,8,0.3086557400833449,0.0004209479044741,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0007031282106175,0.0007471080979593,0.3777920959553548,0.0747552770223692,0.1483152192090311,1.1740930943362375,2,1,0.3777920959553548,1.0,1,0.3777920959553548,1.0,2,0.0747552770223692,5.053718091932254,0.3788415669978881,0.079498476074855,0.1498409405836396,1.1910146277857814,2,1,0.3788415669978881,1.0,1,0.3788415669978881,1.0,2,0.079498476074855,4.765394076751537,0.4400960934863697,1.786020758859728,2.2069656779375952,,,,,,,1.4214708777150786,0.6835829953492087,0.3730555418280525,0.0004209479044741,0.3831277451058728,0.0007559593671023,0.0104201301748025,0.3730555418280525,0.0152180894417707,0.2084101665289282,0.1180175493241855,0.273701615430684,0.0004209479044741,1.0986122886681098,-7.199300673850659,1.0,0.0,0.9706371903275219,0.7916185756981216,-7.773001474280413,-1.8981809436126718,4,0.1385108434885044,49,independent_profile_kmeans_holdout_v1,0.378903116007851,0.0797771274227256,0.1499319613802807,1.192019703606532,2,1,0.378903116007851,1.0,1,0.378903116007851,1.0,2,0.0797771274227256,4.749520674016084,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000321.npz,,,,1,0.3586860513195039,3
confirm_K3_i001202,bank,independent_confirmatory64,3,1202,1.0,2.0,2.0,2027585267,8,0.1170755791507272,0.0467101762599424,1.9860657789307687,1.9854790912352407,1.985392839271571,1.985379845856866,0.0006859330739026,0.0007981718669825,0.0847400954775096,0.045492361675117,0.0092504387523171,1.7016227868954756,2,2,0.045492361675117,1.862732387530892,2,0.045492361675117,1.862732387530892,2,0.045492361675117,1.862732387530892,0.0905019010934147,0.0494618297333416,0.0106370667020923,1.7147552350680837,2,2,0.0494618297333416,1.8297321708745533,2,0.0494618297333416,1.8297321708745533,2,0.0494618297333416,1.8297321708745533,0.4016074626959631,1.6711438356255948,2.38304747821462,,,,,,,1.9900153151761384,0.956995075499234,0.1976131498940706,0.0467101762599424,0.143882761286916,0.0467101762599424,0.0594553764035693,0.186046055701654,0.1173123065406659,0.1548939599316506,0.1302193020178021,0.1976131498940706,0.1077496732506446,1.0986122886681098,-7.133186611545198,2.0,0.6931471805599453,3.006554023368898,0.8683801216338752,-3.063793230980434,-4.543410518970561,2,0.0839463629810091,98,independent_profile_kmeans_holdout_v1,0.0912826260482162,0.0500937899173968,0.0108419056065467,1.7177677813591243,2,2,0.0500937899173968,1.8222343767309004,2,0.0500937899173968,1.8222343767309004,2,0.0500937899173968,1.8222343767309004,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i001202.npz,,,,2,0.48316036591393113,5
confirm_K3_i000975,bank,independent_confirmatory64,3,975,0.2,2.0,0.1,2027356088,8,0.0701171640628798,0.0002811509125326,1.0157131464906894,0.9402272892858976,0.9075909776404404,0.8940198827082537,0.1216932637824357,0.1814717652922663,0.7405522623032283,0.5966874127816081,0.9044535217744388,1.9549248011980347,2,2,0.5966874127816081,1.241105889683441,2,0.5966874127816081,1.241105889683441,2,0.5966874127816081,1.241105889683441,0.8086381018872958,0.781436586391234,1.264538718374673,1.998830191805024,2,2,0.781436586391234,1.0348096262317097,2,0.781436586391234,1.0348096262317097,2,0.781436586391234,1.0348096262317097,0.9739113495856434,38.330844413849,44.56601604921794,,,,,,,1.2543080844831005,0.6031946844102346,0.4522882288163538,0.0002811509125326,0.4719057090752405,0.0002811509125326,0.0404225334056296,0.0026098564671002,0.3622155611778371,0.0014011405155177,0.4522882288163538,0.0841328413797563,0.0566486873252724,1.0986122886681098,-1.7066552005064393,2.0,0.6931471805599453,0.24662127586622923,3.79697159658718,-8.176618977516943,0.23470740617249822,9,0.3672798287391011,39,independent_profile_kmeans_holdout_v1,0.8650434800635657,0.8139320251530272,1.4107855639701925,1.996301127054912,2,2,0.8139320251530272,1.0627957290425192,2,0.8139320251530272,1.0627957290425192,2,0.8139320251530272,1.0627957290425192,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000975.npz,,,,3,0.40951478464452884,3
confirm_K4_i000448,bank,independent_confirmatory64,4,448,1.0,8.0,0.5,2026924005,8,0.0877005973656993,0.0332189193412185,1.780835314116302,1.7651722341368257,1.7618563633873392,1.7610978633566257,0.0197374507596763,0.0245703215705899,0.3766936806686127,0.2100193286143088,0.1878234471001547,1.816579548613432,3,2,0.2100193286143088,1.793614345660508,2,0.2100193286143088,1.793614345660508,2,0.2100193286143088,1.793614345660508,0.4136961618692675,0.2371899375359942,0.2307922469697224,1.8734750238573767,3,2,0.2371899375359942,1.7441556170842532,2,0.2371899375359942,1.7441556170842532,3,0.0582122509101849,7.106685541288467,0.6740011663135997,3.067495636999628,5.594733182542929,0.0426286248063778,0.0582122509101849,,,,,1.8527804059275828,0.8909990344959882,0.3520225539083215,0.0332189193412185,0.2623918152068392,0.0817656681078879,0.0332189193412185,0.1092586432158584,0.3520225539083215,0.076065175601394,0.145679522242452,0.1383758855799971,0.0636136320028703,1.3862943611198906,-3.706216004598599,2.0,0.6931471805599453,1.438894034613398,1.7218256520732107,-3.404635705692804,-1.4662373368980208,3,0.1879558895486056,86,independent_profile_kmeans_holdout_v1,0.4209532569555657,0.2423304350153221,0.2399872820079213,1.891652805559428,3,2,0.2423304350153221,1.7371043671379929,2,0.2423304350153221,1.7371043671379929,3,0.0637306655520521,6.605191602961551,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K4_i000448.npz,0.0637306655520521,,,0,0.3484887062778489,6
confirm_K4_i000654,bank,independent_confirmatory64,4,654,0.2,8.0,0.1,2027131995,8,0.036975388292194,0.0008750505820566,0.8856753496562095,0.853664133064591,0.8470754111606197,0.8458633863275855,0.039811963328624,0.0488247348986636,0.9221943937348132,0.679244855054067,1.5699008352427744,2.687936492753027,3,3,0.5080204349132367,1.8152702733155053,3,0.5080204349132367,1.8152702733155053,3,0.5080204349132367,1.8152702733155053,0.9301243137626312,0.7688017148515045,1.8544111885427768,2.859025164504702,3,3,0.6310498179476463,1.4739316727602592,3,0.6310498179476463,1.4739316727602592,3,0.6310498179476463,1.4739316727602592,0.9326355451964689,14.844623962540847,31.079555652077545,0.5080204349132367,0.6310498179476463,,,,,1.367808522723022,0.6577768575393876,0.5711196468175382,0.0008750505820566,0.4939783547974652,0.1092095593193136,0.5711196468175382,0.0154671026159428,0.0517475484972917,0.1478769757806929,0.0325186856928465,0.0711854306943173,0.0008750505820566,1.3862943611198906,-3.019518231857,3.0,1.0986122886681098,0.4603704687687105,3.436550228488543,-7.041228865212796,0.617567227096137,14,0.3498719853045614,27,independent_profile_kmeans_holdout_v1,0.932367517381034,0.7946713891813378,1.9267120148595496,2.881586360064727,3,3,0.652610305319246,1.428674217648058,3,0.652610305319246,1.428674217648058,3,0.652610305319246,1.428674217648058,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K4_i000654.npz,0.652610305319246,,,1,0.42846429389914786,3
confirm_K4_i000373,bank,independent_confirmatory64,4,373,5.0,2.0,0.5,2026848279,8,0.2087647373315237,0.0430546285533773,1.9683485060948225,1.968173948236204,1.9681637927149247,1.9681631215316773,0.0001853845631449,0.0001968824509197,0.0835841509221959,0.035247335679676,0.0082314310579112,1.5330658971983682,3,2,0.035247335679676,2.3713608223271043,2,0.035247335679676,2.3713608223271043,2,0.035247335679676,2.3713608223271043,0.0848659201359208,0.0373599300629196,0.0086008565524773,1.562642771643538,3,2,0.0373599300629196,2.271575990452718,2,0.0373599300629196,2.271575990452718,2,0.0373599300629196,2.271575990452718,0.248586815244349,1.330825729821584,1.5765334738963883,0.0016571360870572,0.0016934514030738,,,,,1.9722679324817465,0.9484603884985816,0.2317225341273762,0.0430546285533773,0.1614815134451477,0.1675715503171367,0.0934231934204124,0.0430546285533773,0.1502223789295083,0.106400538564817,0.2317225341273762,0.0632974311470736,0.1443077449402983,1.3862943611198906,-8.532903703159183,2.0,0.6931471805599453,3.287156537600774,0.4552284328231605,-3.145285538129909,-4.755893481557071,1,0.1151574860041887,169,independent_profile_kmeans_holdout_v1,0.0849200796366303,0.0375268306666521,0.0086225570349639,1.565307146072635,3,2,0.0375268306666521,2.262916375511927,2,0.0375268306666521,2.262916375511927,2,0.0375268306666521,2.262916375511927,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K4_i000373.npz,0.0016953140088754,,,2,0.35692145940495046,3
confirm_K4_i000909,bank,independent_confirmatory64,4,909,5.0,0.0,0.1,2027389443,8,0.1812827223026565,0.0006455071918116,1.6318533017249228,1.6316537487975449,1.6316514294605773,1.6316514066853085,0.0002018950396145,0.0002042599271201,0.1474397420096561,0.0460941807927691,0.0239777963997907,1.389830758974261,3,1,0.1474397420096561,1.0,2,0.0460941807927691,3.19866281326308,2,0.0460941807927691,3.19866281326308,0.1479618696717982,0.0479774253335949,0.0243472364896259,1.4195716541414534,3,2,0.0479774253335949,3.083989368812413,2,0.0479774253335949,3.083989368812413,2,0.0479774253335949,3.083989368812413,0.1386254574625499,1.1609351688688,1.3785049655042427,0.0107072579571208,0.0123567095624635,,,,,1.6435890179982904,0.7903992418418984,0.4107469967112578,0.0006455071918116,0.3484506044516484,0.0562699870338674,0.4107469967112578,0.1351118004148271,0.0006455071918116,0.0859846314403777,0.0407203171211885,0.0623201311596895,0.20820062892698,1.3862943611198906,-8.496117222614052,2.0,0.6931471805599453,3.037024684252695,0.3209995535820405,-7.345474206280929,-3.715336927079945,5,0.1310262139681117,51,independent_profile_kmeans_holdout_v1,0.1479739462474971,0.0479879861700179,0.0243519910023133,1.4196854537116963,3,2,0.0479879861700179,3.083562325854565,2,0.0479879861700179,3.083562325854565,2,0.0479879861700179,3.083562325854565,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K4_i000909.npz,0.0123634710984545,,,3,0.40887916407988373,4
confirm_K5_i000202,bank,independent_confirmatory64,5,202,1.0,2.0,0.5,2026775638,8,0.1081436946263339,0.0384551471914732,1.8935646414575609,1.8905818784768589,1.8901325682445256,1.8900558607671785,0.0035087806903826,0.0041115058774108,0.206208968261029,0.0894560789950301,0.0520533721524411,1.7761261906388426,4,2,0.0894560789950301,2.3051420381669683,2,0.0894560789950301,2.3051420381669683,3,0.0329007557535477,6.267605820537818,0.2193694899183534,0.0966755813374158,0.0591621549057999,1.7846742183178803,4,2,0.0966755813374158,2.2691302900234223,2,0.0966755813374158,2.2691302900234223,3,0.033813683551485,6.487595164967445,0.4745926775999163,1.9032852367415745,2.5033684244341545,0.0329007557535477,0.033813683551485,0.0211277959769438,0.0234445852280238,,,1.9159851337940776,0.9213940836472312,0.2710324881624765,0.0384551471914732,0.2035270653948649,0.2710324881624765,0.114123328410497,0.0443993811652045,0.1437554231193921,0.184316675629848,0.1249911005399973,0.0384551471914732,0.0789264557811109,1.6094379124341005,-5.493965924049104,2.0,0.6931471805599453,2.3363944281899096,0.9176371947596811,-3.2582627248514453,-2.8274732167555863,4,0.1033473781454425,87,independent_profile_kmeans_holdout_v1,0.2209740619872549,0.0984119904630159,0.0602401177927751,1.793277820913758,4,2,0.0984119904630159,2.245397750290385,2,0.0984119904630159,2.245397750290385,3,0.0339691726151802,6.505135243962497,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K5_i000202.npz,0.0339691726151802,0.0239114442595034,,0,0.4015821926932339,4
confirm_K5_i001133,bank,independent_confirmatory64,5,1133,5.0,8.0,2.0,2027715595,8,0.1587090195419914,0.0522431996318605,1.9961229025123617,1.9957124017581005,1.9956758346947976,1.9956723245790915,0.0004505779332701,0.0004941652279855,0.0893381004323583,0.0414706794654362,0.0099223082581222,1.7625689494746133,4,2,0.0414706794654362,2.154247328086756,2,0.0414706794654362,2.154247328086756,3,0.0146372509586931,6.103475350970878,0.0936737469856812,0.0432867134494821,0.0109076289461128,1.7700121382641445,4,2,0.0432867134494821,2.164030011079574,2,0.0432867134494821,2.164030011079574,3,0.0157140549684155,5.961144158777652,0.3921525002473902,1.64514948306441,2.0145681771566,0.0146372509586931,0.0157140549684155,0.0026354692765036,0.003490986532125,,,2.0004917784281053,0.9620331893591236,0.1777731934835722,0.0522431996318605,0.1334609631654341,0.1381720251182941,0.0886484865360587,0.1658353063516897,0.1480906469765379,0.0522431996318605,0.1685726421649196,0.1777731934835722,0.0606644997370669,1.6094379124341005,-7.612640627092566,2.0,0.6931471805599453,3.1399095398031536,0.7004048682915877,-2.9518455471939413,-4.518292831252036,1,0.1098171960172099,103,independent_profile_kmeans_holdout_v1,0.0940227442238289,0.043479774219126,0.0109963057049847,1.773377243499188,4,2,0.043479774219126,2.1624478487395127,2,0.043479774219126,2.1624478487395127,3,0.0158803542881964,5.920695629172082,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K5_i001133.npz,0.0158803542881964,0.0036541558724803,,1,0.3325964406072284,4
