pair_index,pair_type,hmm_a,hmm_b
12,cross_K_matched,bank_K3_i001156,bank_K4_i000388
13,cross_K_matched,bank_K4_i001162,bank_K5_i001027
14,cross_K_matched,bank_K5_i001077,bank_K6_i000993
15,cross_K_matched,bank_K5_i000458,bank_K6_i000011
16,cross_K_matched,bank_K3_i000981,bank_K4_i000342
17,cross_K_matched,bank_K4_i000177,bank_K5_i000474
0,rank_contrast,bank_K3_i000535,bank_K3_i000588
1,rank_contrast,bank_K3_i001156,bank_K3_i000981
2,rank_contrast,bank_K4_i001162,bank_K4_i000177
3,rank_contrast,bank_K4_i000388,bank_K4_i000342
4,rank_contrast,bank_K5_i001027,bank_K5_i000474
5,rank_contrast,bank_K5_i001052,bank_K5_i000809
6,rank_contrast,bank_K6_i000271,bank_K6_i000573
7,rank_contrast,bank_K6_i000247,bank_K6_i000250
8,sigma_contrast,bank_K3_i000606,bank_K3_i001280
9,sigma_contrast,bank_K4_i001020,bank_K4_i000290
10,sigma_contrast,bank_K5_i001077,bank_K5_i000458
11,sigma_contrast,bank_K6_i000993,bank_K6_i000011
