hmm_id,source,source_file,K,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_sv3,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,bank_index,alpha_t,self_bias,alpha_e,gen_seed,pred_h4_m1_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5
bank_K3_i000535,bank,,3,8,0.2925929865354766,0.031731889322968,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0003135979306767,0.0003342717717247,0.0949017317422567,0.0042868950121064,0.009024716156524,1.014760583064604,2,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,0.097885147835056,0.0043875406675228,,0.0096007526797999,1.014563956869379,2,1,0.097885147835056,1.0,1,0.097885147835056,1.0,1,0.097885147835056,1.0,0.2747579799777663,1.3788500561086394,1.303072598021703,535.0,5.0,2.0,0.5,21100853.0,,,,,
bank_K3_i000588,bank,,3,8,0.2648490483643544,0.0014115458809306,1.5801255645898418,1.5798156500843423,1.5798024172088625,1.5798018977313997,0.000323666858442,0.0003379386888475,0.1152450465868311,0.0956391428667937,0.0224282664110958,1.9661115681043884,2,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,0.1165693300643632,0.0974359647065471,,0.0230821759299499,1.9686130712836616,2,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,0.2009353405294628,1.251463180292072,1.333354854385275,588.0,5.0,2.0,0.1,21154364.0,,,,,
bank_K3_i000606,bank,,3,8,0.0614616454997819,2.84905195681739e-05,0.5790576009142785,0.5790416370998764,0.5790363677090246,0.5790339349850653,2.3665929213212426e-05,3.3800767983649393e-05,0.4508637948385233,0.004044498638877,0.2032945194654339,1.000839407039895,2,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,0.4508808495306183,0.0076253065137425,,0.2033516857728805,1.0026224812041291,2,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,0.6326166327308335,2.721952295862489,2.6257994060473044,606.0,1.0,2.0,0.1,21172543.0,,,,,
bank_K3_i000981,bank,,3,8,0.0761967306246571,0.0009748148903909,1.0163926370182246,1.0157455118100809,1.015725835054195,1.0157253312063814,0.0006673058118431,0.0006879902633558,0.3568817199671336,0.1201584394120034,0.1418026126086276,1.3896600423418222,2,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,0.3584011372972585,0.1231182785685426,,0.1436094857336496,1.4008947032860877,2,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,0.3808543719143897,1.615128904474358,2.13809061877748,981.0,1.0,0.0,0.1,21551156.0,,,,,
bank_K3_i001156,bank,,3,8,0.1467822097808318,0.0192451754875992,1.7001812578450106,1.699595122759297,1.6995457904136493,1.6995416419415323,0.0006396159034782,0.0006972451933597,0.1219405350823022,0.0135941041879285,0.0150542937648304,1.068455433424788,2,1,0.1219405350823022,1.0,1,0.1219405350823022,1.0,2,0.0135941041879285,8.970104495048975,0.1269959368275083,0.01425950390949,,0.0163313014224412,1.0692747870176524,2,1,0.1269959368275083,1.0,1,0.1269959368275083,1.0,2,0.01425950390949,8.906055752962706,0.3750370957217847,1.6000949706845788,2.16831595136032,1156.0,5.0,2.0,0.5,21727833.0,,,,,
bank_K3_i001280,bank,,3,8,0.0373721542723486,0.0545284008409421,1.9802587687047368,1.9802387224901403,1.980235526938774,1.9802350177717485,2.375093298812025e-05,2.796481840583453e-05,0.0173701390618045,0.0003709964240368,0.000301859369373,1.003971535080295,2,1,0.0173701390618045,1.0,1,0.0173701390618045,1.0,1,0.0173701390618045,1.0,0.0187120930220143,0.0003725321255534,,0.000350281205449,1.0035058942611377,2,1,0.0187120930220143,1.0,1,0.0187120930220143,1.0,1,0.0187120930220143,1.0,0.4044673367811825,1.6791690225605114,2.288045405104964,1280.0,1.0,0.0,2.0,21853034.0,,,,,
bank_K4_i000177,bank,,4,8,0.2085157868608927,0.0002320485323204,1.3458382887716254,1.3332258587201695,1.332148566073693,1.3320581336162651,0.01378015515536,0.0150383127166919,0.7317700251778583,0.4908550504188913,0.891114621025267,2.518225960210521,3,3,0.3386570104910444,2.1607998727586044,3,0.3386570104910444,2.1607998727586044,3,0.3386570104910444,2.1607998727586044,0.7327214437191543,0.4968309334276278,0.3651163657099568,0.9170316510056966,2.578064958705641,3,3,0.3651163657099568,2.006816216781741,3,0.3651163657099568,2.006816216781741,3,0.3651163657099568,2.006816216781741,0.706885688492101,3.41163826104428,5.247700021310239,177.0,1.0,8.0,0.1,20839410.0,0.3386570104910444,,,,
bank_K4_i000290,bank,,4,8,0.2027834874791821,0.0551390400985356,1.98387999587546,1.983854480578535,1.983852956250837,1.983852887604788,2.710827067176069e-05,2.876989046796119e-05,0.0335476593462064,0.0063384602203776,0.0011829764238472,1.2513769479456365,3,1,0.0335476593462064,1.0,1,0.0335476593462064,1.0,3,0.0041659210593632,8.052879271633188,0.0342592889425209,0.0065854377233701,0.0045100111340294,0.0012374070692845,1.265049931982781,3,1,0.0342592889425209,1.0,2,0.0065854377233701,5.202279693716171,3,0.0045100111340294,7.596275912496941,0.2118328153838631,1.268766347443192,1.3108232457379696,290.0,5.0,0.0,2.0,20953495.0,0.0041659210593632,,,,
bank_K4_i000342,bank,,4,8,0.2342282778852262,1.2960522429501945e-05,1.4416146853783782,1.4405934671741103,1.4405590475688133,1.4405577820695386,0.0010569033088396,0.0010938539126861,0.3474375257671639,0.2673926873807888,0.2026099548647018,2.2899203758282747,3,2,0.2673926873807888,1.2993531317944564,3,0.1019719142154977,3.407188424774714,3,0.1019719142154977,3.407188424774714,0.3474857500739663,0.268264390797591,0.1082360230466506,0.2044271665594247,2.3218980845966586,3,2,0.268264390797591,1.2953107531000971,3,0.1082360230466506,3.2104445478766075,3,0.1082360230466506,3.2104445478766075,0.3443576988572467,1.5252219056901115,1.936498658129045,342.0,5.0,0.0,0.1,21005997.0,0.1019719142154977,,,,
bank_K4_i000388,bank,,4,8,0.1092536443515465,0.0371274877973207,1.898133266637632,1.897400990758052,1.8973057315902209,1.8972940932058144,0.0008391734318173,0.0009577093684609,0.1020846621426587,0.0163440064330424,0.0106887941111165,1.1244371775260618,3,1,0.1020846621426587,1.0,1,0.1020846621426587,1.0,2,0.0163440064330424,6.245999875298375,0.1099984809702452,0.018802871228324,0.0006622621121045,0.0124536523732954,1.1382505281354929,3,1,0.1099984809702452,1.0,1,0.1099984809702452,1.0,2,0.018802871228324,5.850089575923226,0.4041476524774404,1.6782681215536186,1.99423199653798,388.0,1.0,0.0,0.5,21052445.0,0.0006239551685852,,,,
bank_K4_i001020,bank,,4,8,0.1801260135083743,0.0027251475139362,1.679589697466911,1.6795631306349508,1.6795630830425532,1.6795630829848407,2.661448207019745e-05,2.66621898927788e-05,0.1312236834767835,0.122676816189606,0.0324330630762254,2.052670479442464,3,2,0.122676816189606,1.0696697840117375,2,0.122676816189606,1.0696697840117375,2,0.122676816189606,1.0696697840117375,0.1312648150546617,0.1228378880375323,0.0128066545087918,0.0324836088085634,2.052791247506343,3,2,0.1228378880375323,1.0686020180887068,2,0.1228378880375323,1.0686020180887068,2,0.1228378880375323,1.0686020180887068,0.111885061468693,1.1259803845363974,1.263306871277455,1020.0,5.0,2.0,0.1,21690524.0,0.0127987007384349,,,,
