file,column,dtype,description
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,hmm_id,object,Stable HMM identifier.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,A_width_shape,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,best_shape_rmse,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,best_dimension,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,width_gain,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,d90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,d95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,mean_excess_ce_H,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,mean_recovery_ratio,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,K,int64,Number of hidden states.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,source,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,cohort,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,K_metric,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,bank_index,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,alpha_t,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,self_bias,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,alpha_e,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,gen_seed,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,vocab_size,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,min_stationary_prob,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,min_symbol_prob,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
