architecture,outcome,replicate_1,replicate_2,n_hmms,spearman_rho,bootstrap_ci_low,bootstrap_ci_high
GRU,A_width_shape,0,1,16,0.8441176470588234,0.5993871002389841,0.9518072289156626
GRU,A_width_shape,0,2,16,0.7647058823529411,0.46198866514690984,0.8869047619047619
GRU,A_width_shape,1,2,16,0.8735294117647058,0.619887955182073,0.9699248120300752
GRU,mean_excess_ce_H,0,1,16,0.5,-0.02835209530906236,0.8626967839374556
GRU,mean_excess_ce_H,0,2,16,0.4970588235294117,0.008890542328042494,0.7070363429489323
GRU,mean_excess_ce_H,1,2,16,0.4794117647058824,-0.11111947791164656,0.836077753148369
Transformer,A_width_shape,0,1,16,0.8382352941176471,0.5037363655141626,0.9487971057160973
Transformer,A_width_shape,0,2,16,0.75,0.3768458850237747,0.9037630111314321
Transformer,A_width_shape,1,2,16,0.7705882352941176,0.42600759935645094,0.9194059879440354
Transformer,mean_excess_ce_H,0,1,16,0.7558823529411764,0.30732635914185774,0.9553588012099342
Transformer,mean_excess_ce_H,0,2,16,0.6147058823529412,0.08728935862675766,0.8705109242941912
Transformer,mean_excess_ce_H,1,2,16,0.7352941176470589,0.24884949413555385,0.9225066088283299
