dataset_replicate,architecture,outcome,model,n_hmms,rmse,r2
0,GRU,A_width_shape,K_only,16,0.011754398093242663,-0.37086854781901324
0,GRU,A_width_shape,augmented_profile,16,0.007742573211622188,0.40520725389482737
0,GRU,A_width_shape,core_profile,16,0.007757644155914764,0.4028894682153914
0,GRU,mean_excess_ce_H,K_only,16,0.021486807469908487,0.006438427572802996
0,GRU,mean_excess_ce_H,augmented_profile,16,0.017661211193824536,0.3287381444743206
0,GRU,mean_excess_ce_H,core_profile,16,0.01680735811426131,0.3920751326654056
0,Transformer,A_width_shape,K_only,16,0.012256694250088305,-0.12829094418421128
0,Transformer,A_width_shape,augmented_profile,16,0.008479498708739252,0.45997389508125885
0,Transformer,A_width_shape,core_profile,16,0.008768201223166032,0.42257522560731176
0,Transformer,mean_excess_ce_H,K_only,16,0.025508639688541838,-0.14417641223777133
0,Transformer,mean_excess_ce_H,augmented_profile,16,0.017698864541429195,0.44918063234918093
0,Transformer,mean_excess_ce_H,core_profile,16,0.019270170146507965,0.34703562078533123
1,GRU,A_width_shape,K_only,16,0.011522234690689234,-0.22467675351996297
1,GRU,A_width_shape,augmented_profile,16,0.006406639680442096,0.6213755643783426
1,GRU,A_width_shape,core_profile,16,0.007117695462295697,0.5326665738916692
1,GRU,mean_excess_ce_H,K_only,16,0.016975000503499267,-0.1983603546821684
1,GRU,mean_excess_ce_H,augmented_profile,16,0.014246944576740568,0.1558661599823219
1,GRU,mean_excess_ce_H,core_profile,16,0.014574587727399944,0.1165938903219027
1,Transformer,A_width_shape,K_only,16,0.013177147681515117,-0.12922115892828234
1,Transformer,A_width_shape,augmented_profile,16,0.008597305462351526,0.5193146395396494
1,Transformer,A_width_shape,core_profile,16,0.009227842477128078,0.44622094568348625
1,Transformer,mean_excess_ce_H,K_only,16,0.025375057078951095,-0.0958771677358281
1,Transformer,mean_excess_ce_H,augmented_profile,16,0.017629775119596233,0.4710174227866274
1,Transformer,mean_excess_ce_H,core_profile,16,0.019223296437271782,0.3710682069607656
2,GRU,A_width_shape,K_only,16,0.014712567358188024,-0.2584161346339393
2,GRU,A_width_shape,augmented_profile,16,0.007889009125744086,0.6381802523219314
2,GRU,A_width_shape,core_profile,16,0.010025558876229551,0.4156614573162576
2,GRU,mean_excess_ce_H,K_only,16,0.0189032821339579,-0.5093410201674589
2,GRU,mean_excess_ce_H,augmented_profile,16,0.011268157621297506,0.46368645022353094
2,GRU,mean_excess_ce_H,core_profile,16,0.011200124998584852,0.47014299302585005
2,Transformer,A_width_shape,K_only,16,0.011350408946819384,-0.018612988248889906
2,Transformer,A_width_shape,augmented_profile,16,0.008282565515437079,0.4576046582841822
2,Transformer,A_width_shape,core_profile,16,0.00714214392616062,0.5966859173253792
2,Transformer,mean_excess_ce_H,K_only,16,0.026834209274997006,-0.29752856274027706
2,Transformer,mean_excess_ce_H,augmented_profile,16,0.021332277963400977,0.1800001179225289
2,Transformer,mean_excess_ce_H,core_profile,16,0.022642983010317905,0.0761390654606976
