dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
0,confirm_K3_i000321,GRU,0.04217063528338719,0.035259518820269405,128,0.024500221040915707,3
0,confirm_K3_i000321,Transformer,0.0352188188464726,0.020658070248864534,32,0.023036985374561215,3
0,confirm_K3_i000341,GRU,0.02662194818303216,0.0185699791475358,8,0.01706518337149724,3
0,confirm_K3_i000341,Transformer,0.02728984212299704,0.016655790464401833,32,0.024434543947570542,3
0,confirm_K3_i000975,GRU,0.03386909649380064,0.022307046116004967,32,0.05404370692425737,3
0,confirm_K3_i000975,Transformer,0.04284380791672423,0.03655291276934207,8,0.06922546971146039,3
0,confirm_K3_i001202,GRU,0.01976943003085144,0.016911785186957566,256,0.013005390431244424,3
0,confirm_K3_i001202,Transformer,0.024791753741456885,0.013889203459706468,256,0.021715742514291533,3
0,confirm_K4_i000373,GRU,0.024446930911895735,0.016331257351974465,8,0.009077988524961484,4
0,confirm_K4_i000373,Transformer,0.023129260656290552,0.015450637602563868,128,0.027091473300981474,4
0,confirm_K4_i000448,GRU,0.03752386560203925,0.0307755180186159,128,0.015650120213274565,4
0,confirm_K4_i000448,Transformer,0.0361309294142828,0.029041835168329866,128,0.0419459255632205,4
0,confirm_K4_i000654,GRU,0.04752551281790298,0.0269778963300133,32,0.039172016900468926,4
0,confirm_K4_i000654,Transformer,0.05105623331680598,0.03882350027864117,256,0.051096444679239454,4
0,confirm_K4_i000909,GRU,0.042229367431630735,0.0316830410552128,8,0.010780017003619767,4
0,confirm_K4_i000909,Transformer,0.04243579905779673,0.0329317310737367,32,-0.0013058311738529498,4
0,confirm_K5_i000202,GRU,0.03193799828613707,0.019915742805822333,8,0.008788244734791284,5
0,confirm_K5_i000202,Transformer,0.02884664090673813,0.015082902122884267,32,0.014430134182758491,5
0,confirm_K5_i000312,GRU,0.042911815227244764,0.0318276200464982,32,0.04673910539888536,5
0,confirm_K5_i000312,Transformer,0.05973367249158112,0.03835708632494963,128,0.0763470626279036,5
0,confirm_K5_i000834,GRU,0.045811507663210106,0.03685231061898907,8,0.056476800194784134,5
0,confirm_K5_i000834,Transformer,0.03945175531216006,0.029710857833868135,128,0.023905119350954043,5
0,confirm_K5_i001133,GRU,0.020528293006650843,0.016920132449130335,32,0.021794010046987118,5
0,confirm_K5_i001133,Transformer,0.021815003413419385,0.017059590810020068,128,0.033705058911312015,5
0,confirm_K6_i000105,GRU,0.05126079600284434,0.025682520916866864,8,0.02199457866032039,6
0,confirm_K6_i000105,Transformer,0.04836868447787365,0.0272577005897908,8,0.037577014735133585,6
0,confirm_K6_i000708,GRU,0.047556654264421405,0.04081188328365227,256,0.08515929997356156,6
0,confirm_K6_i000708,Transformer,0.05597261583458493,0.033905780401957165,8,0.0826268633059305,6
0,confirm_K6_i000997,GRU,0.023965978082899075,0.019337496964128665,32,0.02187369979490297,6
0,confirm_K6_i000997,Transformer,0.026507798239628243,0.016021689389564,8,0.029292460203860803,6
0,confirm_K6_i001189,GRU,0.03635288147944813,0.02767986143481597,8,0.05510219815792664,6
0,confirm_K6_i001189,Transformer,0.041590217268668746,0.035978955676749934,32,0.07430439140321829,6
1,confirm_K3_i000321,GRU,0.02933896425045759,0.024031961013756,128,0.02278355635908373,3
1,confirm_K3_i000321,Transformer,0.03375018544215053,0.017113078640907567,128,0.023412649857075286,3
1,confirm_K3_i000341,GRU,0.02567464852210283,0.0192795685749719,32,0.0227975414943626,3
1,confirm_K3_i000341,Transformer,0.029653685509514735,0.023182351732069163,128,0.02724327685951497,3
1,confirm_K3_i000975,GRU,0.03721957090036247,0.027775880833011368,8,0.0341673531711476,3
1,confirm_K3_i000975,Transformer,0.03925628579669519,0.022122657329353434,256,0.05171881099098692,3
1,confirm_K3_i001202,GRU,0.026180225357862075,0.012277520908473533,8,0.009104021182417,3
1,confirm_K3_i001202,Transformer,0.019397735768904877,0.015354269744386867,32,0.012242785633364443,3
1,confirm_K4_i000373,GRU,0.019139191822318595,0.012846485030826133,256,0.023073874994842154,4
1,confirm_K4_i000373,Transformer,0.0286433671781822,0.024069402288981634,128,0.024166216412909787,4
