dataset_replicate,condition,pc1_loading
0,GRU_d128,0.4087332923426817
0,GRU_d256,0.3726370902259765
0,GRU_d32,0.29938578008196226
0,GRU_d8,0.3620957491832736
0,Transformer_d128,0.31779565887260325
0,Transformer_d256,0.3921004953029092
0,Transformer_d32,0.34566592864242074
0,Transformer_d8,0.31482011433112544
1,GRU_d128,0.41600447450356126
1,GRU_d256,0.3142272241297286
1,GRU_d32,0.3868438281174452
1,GRU_d8,0.33288312102132495
1,Transformer_d128,0.3838938709759301
1,Transformer_d256,0.38198311940910135
1,Transformer_d32,0.31957198870809916
1,Transformer_d8,0.2689430154178434
2,GRU_d128,0.36289438580725497
2,GRU_d256,0.3757078159688734
2,GRU_d32,0.3639538764779289
2,GRU_d8,0.37658721430519426
2,Transformer_d128,0.39158758247270814
2,Transformer_d256,0.3022091163311417
2,Transformer_d32,0.3120627571311414
2,Transformer_d8,0.33289127122719253
