model,condition,sample_sd,condition_standardized_rmse,condition_r2,condition_spearman
K-only,GRU_d8,0.010813359020627777,1.0394760596210453,-0.09766143850188724,-0.3846153846153846
K-only,GRU_d32,0.014746235640312612,1.0571167236196848,-0.13523379540969382,-0.7519688644688644
K-only,GRU_d128,0.013249270711760892,1.046735961523206,-0.11304754097362357,-0.4057692307692307
K-only,GRU_d256,0.013086416911674286,1.0515040287740278,-0.12321089272686914,-0.37573260073260073
K-only,Transformer_d8,0.013809004753147754,1.0505037254966758,-0.12107487215989399,-0.29491758241758237
K-only,Transformer_d32,0.013259356335328803,1.057391272257233,-0.13582354554490905,-0.8057234432234431
K-only,Transformer_d128,0.012425491613718155,1.05240430688908,-0.12513506047866407,-0.4576007326007326
K-only,Transformer_d256,0.014625430271945771,1.0392073054007844,-0.09709391603642858,-0.43489010989010984
PLS-1 composite,GRU_d8,0.010813359020627777,0.7589151937679894,0.4149056291231442,0.7031593406593406
PLS-1 composite,GRU_d32,0.014746235640312612,0.7866306987989182,0.3713901142421593,0.7170787545787545
PLS-1 composite,GRU_d128,0.013249270711760892,0.7636294525644249,0.40761402836942895,0.7435897435897435
PLS-1 composite,GRU_d256,0.013086416911674286,0.6987164334708051,0.5040460653692321,0.749771062271062
PLS-1 composite,Transformer_d8,0.013809004753147754,0.7039008494179895,0.496658889334484,0.7356684981684981
PLS-1 composite,Transformer_d32,0.013259356335328803,0.7128496512977684,0.48377942821043796,0.7572802197802196
PLS-1 composite,Transformer_d128,0.012425491613718155,0.8336358276613263,0.29402037520194624,0.5956959706959707
PLS-1 composite,Transformer_d256,0.014625430271945771,0.6338496629345596,0.5918573763024715,0.8457875457875458
PLS-2 composite,GRU_d8,0.010813359020627777,0.756179839648325,0.4191157334445037,0.7089285714285714
PLS-2 composite,GRU_d32,0.014746235640312612,0.7735691774347255,0.39209216784554857,0.7282051282051282
PLS-2 composite,GRU_d128,0.013249270711760892,0.7438605305191962,0.4378885192489649,0.75503663003663
PLS-2 composite,GRU_d256,0.013086416911674286,0.6348754123493554,0.5905353252512874,0.806043956043956
PLS-2 composite,Transformer_d8,0.013809004753147754,0.7072165100434897,0.4919058366190795,0.7266483516483515
PLS-2 composite,Transformer_d32,0.013259356335328803,0.7122174359311385,0.48469467830417723,0.748076923076923
PLS-2 composite,Transformer_d128,0.012425491613718155,0.845076627506978,0.274509707826217,0.5734432234432234
PLS-2 composite,Transformer_d256,0.014625430271945771,0.6369032948447091,0.5879153706828734,0.8342490842490843
Full ridge,GRU_d8,0.010813359020627777,0.7684200949674767,0.4001580268192244,0.6926282051282051
Full ridge,GRU_d32,0.014746235640312612,0.7295741542244006,0.45927268925739717,0.7016941391941391
Full ridge,GRU_d128,0.013249270711760892,0.7689885654132167,0.3992701828710835,0.7356684981684981
Full ridge,GRU_d256,0.013086416911674286,0.6012995004370233,0.6326998458658399,0.8132783882783882
Full ridge,Transformer_d8,0.013809004753147754,0.7072031760938967,0.49192499578179527,0.7322344322344322
Full ridge,Transformer_d32,0.013259356335328803,0.6778238024171671,0.533262113398586,0.7750915750915751
Full ridge,Transformer_d128,0.012425491613718155,0.8354211515419415,0.290993269390564,0.5837912087912087
Full ridge,Transformer_d256,0.014625430271945771,0.6411427354955327,0.5824111672089451,0.8272893772893771
