outer_test_index,alpha,inner_standardized_rmse,selected
0,1.0,0.7458009922089122,False
0,2.0,0.7417036418860643,False
0,4.0,0.7383762369935758,False
0,8.0,0.736584974274637,True
0,16.0,0.7374070200884398,False
0,32.0,0.7419400372880364,False
1,1.0,0.7529667412969748,False
1,2.0,0.7491654729260353,False
1,4.0,0.7458090994541706,False
1,8.0,0.7436900205343653,True
1,16.0,0.7441026787386689,False
1,32.0,0.7482512351819532,False
2,1.0,0.7463865260025382,False
2,2.0,0.7423503210414397,False
2,4.0,0.7390833848418344,False
2,8.0,0.7373546872022398,True
2,16.0,0.7382571195912448,False
2,32.0,0.7429283891720222,False
3,1.0,0.7364879988564835,False
3,2.0,0.7326961966937211,False
3,4.0,0.729659598255615,False
3,8.0,0.7281162708304827,True
3,16.0,0.7291507735629953,False
3,32.0,0.7339335870588632,False
4,1.0,0.7342424043226303,False
4,2.0,0.7316504381736563,False
4,4.0,0.7297775064009762,False
4,8.0,0.7292229483812198,True
4,16.0,0.7310313086831755,False
4,32.0,0.7362716294798218,False
5,1.0,0.7373670188958564,False
5,2.0,0.7338254678361896,False
5,4.0,0.7310178348673723,False
5,8.0,0.7297287261519598,True
5,16.0,0.73116338696237,False
5,32.0,0.7365909049829585,False
6,1.0,0.7372128591980734,False
6,2.0,0.733225876945881,False
6,4.0,0.7299728418936486,False
6,8.0,0.7282501855192375,True
6,16.0,0.729261156132382,False
6,32.0,0.7342913909082252,False
7,1.0,0.7397986816092954,False
7,2.0,0.7359958845761843,False
7,4.0,0.7329698832111494,False
7,8.0,0.7314554278149902,True
7,16.0,0.7325398740094794,False
7,32.0,0.7373953634959842,False
8,1.0,0.7428674014641391,False
8,2.0,0.7390233905779323,False
8,4.0,0.7359974774371071,False
8,8.0,0.7345073183997542,True
8,16.0,0.7356600151180153,False
8,32.0,0.7406406597367681,False
9,1.0,0.7325243920456433,False
9,2.0,0.7283300726063122,False
9,4.0,0.7245044590248694,False
9,8.0,0.7218016745926439,False
9,16.0,0.7214187949118389,True
9,32.0,0.7248709848337124,False
10,1.0,0.7309252227239658,False
10,2.0,0.7272218161826843,False
10,4.0,0.7244867738417143,False
10,8.0,0.7234589104021684,True
10,16.0,0.7251728499997959,False
10,32.0,0.730600569899019,False
11,1.0,0.7486098242609421,False
11,2.0,0.7445245035855234,False
11,4.0,0.7412692223607498,False
11,8.0,0.7396195259488744,True
11,16.0,0.7406669813417632,False
11,32.0,0.7455020757323619,False
