hmm_id,outer_test_index,selected_alpha
confirm_K3_i000056,0,8.0
confirm_K3_i001131,1,8.0
confirm_K3_i001202,2,8.0
confirm_K3_i001105,3,8.0
confirm_K3_i000321,4,8.0
confirm_K3_i000682,5,8.0
confirm_K3_i000517,6,8.0
confirm_K3_i000718,7,8.0
confirm_K3_i000884,8,8.0
confirm_K3_i000975,9,16.0
confirm_K3_i000936,10,8.0
confirm_K3_i000617,11,8.0
confirm_K3_i001308,12,8.0
confirm_K3_i000341,13,8.0
confirm_K3_i000022,14,8.0
confirm_K3_i000150,15,8.0
confirm_K4_i000423,16,8.0
confirm_K4_i000373,17,8.0
confirm_K4_i000949,18,8.0
confirm_K4_i000448,19,8.0
confirm_K4_i000678,20,8.0
confirm_K4_i000909,21,8.0
confirm_K4_i001008,22,8.0
confirm_K4_i000767,23,8.0
confirm_K4_i000599,24,8.0
confirm_K4_i000363,25,8.0
confirm_K4_i001076,26,8.0
confirm_K4_i000216,27,8.0
confirm_K4_i001198,28,8.0
confirm_K4_i000247,29,8.0
confirm_K4_i000654,30,8.0
confirm_K4_i000041,31,8.0
confirm_K5_i000841,32,8.0
confirm_K5_i001133,33,8.0
confirm_K5_i000723,34,8.0
confirm_K5_i000543,35,4.0
confirm_K5_i000202,36,8.0
confirm_K5_i000834,37,8.0
confirm_K5_i000511,38,8.0
confirm_K5_i000246,39,8.0
confirm_K5_i000807,40,8.0
confirm_K5_i000634,41,8.0
confirm_K5_i000626,42,8.0
confirm_K5_i000744,43,8.0
confirm_K5_i000940,44,8.0
confirm_K5_i000922,45,8.0
confirm_K5_i000312,46,8.0
confirm_K5_i000848,47,8.0
confirm_K6_i001189,48,8.0
confirm_K6_i000578,49,8.0
confirm_K6_i001146,50,8.0
confirm_K6_i000105,51,8.0
confirm_K6_i000596,52,8.0
confirm_K6_i000453,53,8.0
confirm_K6_i000708,54,8.0
confirm_K6_i000150,55,8.0
confirm_K6_i000997,56,8.0
confirm_K6_i000109,57,8.0
confirm_K6_i000737,58,8.0
confirm_K6_i000482,59,8.0
confirm_K6_i000420,60,8.0
confirm_K6_i000814,61,8.0
confirm_K6_i000446,62,8.0
confirm_K6_i000225,63,8.0
