outcome,condition,full_cohort_mean,full_cohort_population_sd
Shape RMSE,GRU_d8,0.031605707430132156,0.01836223070500922
Shape RMSE,GRU_d32,0.034585894411372095,0.021032192866456956
Shape RMSE,GRU_d128,0.03530778839157421,0.022812984062407997
Shape RMSE,GRU_d256,0.03499194165170532,0.02157365867068807
Shape RMSE,Transformer_d8,0.033644885712197405,0.020702760072989764
Shape RMSE,Transformer_d32,0.03505273651677941,0.02044815681637474
Shape RMSE,Transformer_d128,0.037765396164455546,0.021757872606619443
Shape RMSE,Transformer_d256,0.037482733685884034,0.02223172700264036
Terminal excess CE,GRU_d8,0.03043385234474837,0.040926798293677645
Terminal excess CE,GRU_d32,0.017847860962382327,0.03624746833335258
Terminal excess CE,GRU_d128,0.0320019702294928,0.03613772610613984
Terminal excess CE,GRU_d256,0.033397476218550506,0.03821488387393557
Terminal excess CE,Transformer_d8,0.03816331533004696,0.04343382622510816
Terminal excess CE,Transformer_d32,0.026852893284984664,0.03448763665516758
Terminal excess CE,Transformer_d128,0.037205015598618704,0.03931791413270511
Terminal excess CE,Transformer_d256,0.04312321210151705,0.0425522681782777
